"","pair_id","miRNA","mRNA","timepoint","Ambient","Heat","cluster"
"1","Cluster_1155_evm.TU.chromosome_1.1121","Cluster_1155","evm.TU.chromosome_1.1121","TP7",-0.5,-0.4,"1"
"2","Cluster_1155_evm.TU.chromosome_1.347","Cluster_1155","evm.TU.chromosome_1.347","TP7",0,-0.774596669241483,"2"
"3","Cluster_1155_evm.TU.chromosome_1.423","Cluster_1155","evm.TU.chromosome_1.423","TP7",-1,-0.948683298050514,"1"
"4","Cluster_1155_evm.TU.chromosome_10.126","Cluster_1155","evm.TU.chromosome_10.126","TP7",1,0.2,"2"
"5","Cluster_1155_evm.TU.chromosome_10.1572","Cluster_1155","evm.TU.chromosome_10.1572","TP7",-1,-0.948683298050514,"1"
"6","Cluster_1155_evm.TU.chromosome_10.33","Cluster_1155","evm.TU.chromosome_10.33","TP7",-1,-0.948683298050514,"1"
"7","Cluster_1155_evm.TU.chromosome_11.1583","Cluster_1155","evm.TU.chromosome_11.1583","TP7",-0.5,-0.8,"1"
"8","Cluster_1155_evm.TU.chromosome_11.2329","Cluster_1155","evm.TU.chromosome_11.2329","TP7",-1,-0.2,"3"
"9","Cluster_1155_evm.TU.chromosome_11.359","Cluster_1155","evm.TU.chromosome_11.359","TP7",0,-0.737864787372622,"2"
"10","Cluster_1155_evm.TU.chromosome_12.1475","Cluster_1155","evm.TU.chromosome_12.1475","TP7",0.5,-0.948683298050514,"2"
"11","Cluster_1155_evm.TU.chromosome_12.1806","Cluster_1155","evm.TU.chromosome_12.1806","TP7",-1,0,"3"
"12","Cluster_1155_evm.TU.chromosome_12.1893","Cluster_1155","evm.TU.chromosome_12.1893","TP7",-1,-0.948683298050514,"1"
"13","Cluster_1155_evm.TU.chromosome_12.1939","Cluster_1155","evm.TU.chromosome_12.1939","TP7",-0.5,0.4,"3"
"14","Cluster_1155_evm.TU.chromosome_12.2814","Cluster_1155","evm.TU.chromosome_12.2814","TP7",-0.5,0.105409255338946,"1"
"15","Cluster_1155_evm.TU.chromosome_12.3731","Cluster_1155","evm.TU.chromosome_12.3731","TP7",-0.5,-0.8,"1"
"16","Cluster_1155_evm.TU.chromosome_12.3757","Cluster_1155","evm.TU.chromosome_12.3757","TP7",-1,0.2,"3"
"17","Cluster_1155_evm.TU.chromosome_13.1892","Cluster_1155","evm.TU.chromosome_13.1892","TP7",-1,0.2,"3"
"18","Cluster_1155_evm.TU.chromosome_13.2239","Cluster_1155","evm.TU.chromosome_13.2239","TP7",-0.866025403784439,-0.737864787372622,"1"
"19","Cluster_1155_evm.TU.chromosome_13.2865","Cluster_1155","evm.TU.chromosome_13.2865","TP7",-0.866025403784439,-0.737864787372622,"1"
"20","Cluster_1155_evm.TU.chromosome_13.330","Cluster_1155","evm.TU.chromosome_13.330","TP7",-1,-0.948683298050514,"1"
"21","Cluster_1155_evm.TU.chromosome_13.3852","Cluster_1155","evm.TU.chromosome_13.3852","TP7",-1,-0.737864787372622,"1"
"22","Cluster_1155_evm.TU.chromosome_14.1638","Cluster_1155","evm.TU.chromosome_14.1638","TP7",-1,-0.737864787372622,"1"
"23","Cluster_1155_evm.TU.chromosome_14.5355","Cluster_1155","evm.TU.chromosome_14.5355","TP7",-1,-0.737864787372622,"1"
"24","Cluster_1155_evm.TU.chromosome_14.6291","Cluster_1155","evm.TU.chromosome_14.6291","TP7",-0.5,-0.948683298050514,"1"
"25","Cluster_1155_evm.TU.chromosome_14.647","Cluster_1155","evm.TU.chromosome_14.647","TP7",-0.866025403784439,-0.737864787372622,"1"
"26","Cluster_1155_evm.TU.chromosome_14.648","Cluster_1155","evm.TU.chromosome_14.648","TP7",-1,-0.4,"1"
"27","Cluster_1155_evm.TU.chromosome_14.77","Cluster_1155","evm.TU.chromosome_14.77","TP7",-0.5,-0.2,"1"
"28","Cluster_1155_evm.TU.chromosome_14.882","Cluster_1155","evm.TU.chromosome_14.882","TP7",-1,-1,"1"
"29","Cluster_1155_evm.TU.chromosome_14.883","Cluster_1155","evm.TU.chromosome_14.883","TP7",-1,-0.948683298050514,"1"
"30","Cluster_1155_evm.TU.chromosome_2.1067","Cluster_1155","evm.TU.chromosome_2.1067","TP7",0.5,-0.4,"2"
"31","Cluster_1155_evm.TU.chromosome_2.1858","Cluster_1155","evm.TU.chromosome_2.1858","TP7",-1,-0.948683298050514,"1"
"32","Cluster_1155_evm.TU.chromosome_2.2028","Cluster_1155","evm.TU.chromosome_2.2028","TP7",-0.5,-1,"1"
"33","Cluster_1155_evm.TU.chromosome_2.2074","Cluster_1155","evm.TU.chromosome_2.2074","TP7",-1,-0.4,"1"
"34","Cluster_1155_evm.TU.chromosome_2.598","Cluster_1155","evm.TU.chromosome_2.598","TP7",-1,-0.774596669241483,"1"
"35","Cluster_1155_evm.TU.chromosome_4.1268","Cluster_1155","evm.TU.chromosome_4.1268","TP7",-1,0.6,"3"
"36","Cluster_1155_evm.TU.chromosome_4.446","Cluster_1155","evm.TU.chromosome_4.446","TP7",-1,-0.737864787372622,"1"
"37","Cluster_1155_evm.TU.chromosome_5.795","Cluster_1155","evm.TU.chromosome_5.795","TP7",-1,-0.6,"1"
"38","Cluster_1155_evm.TU.chromosome_6.2244","Cluster_1155","evm.TU.chromosome_6.2244","TP7",-0.5,0.8,"3"
"39","Cluster_1155_evm.TU.chromosome_6.2264","Cluster_1155","evm.TU.chromosome_6.2264","TP7",-0.5,-0.2,"1"
"40","Cluster_1155_evm.TU.chromosome_6.2578","Cluster_1155","evm.TU.chromosome_6.2578","TP7",-1,-0.4,"1"
"41","Cluster_1155_evm.TU.chromosome_6.803","Cluster_1155","evm.TU.chromosome_6.803","TP7",-0.866025403784439,1,"3"
"42","Cluster_1155_evm.TU.chromosome_7.1023","Cluster_1155","evm.TU.chromosome_7.1023","TP7",-0.5,-0.737864787372622,"1"
"43","Cluster_1155_evm.TU.chromosome_7.2713","Cluster_1155","evm.TU.chromosome_7.2713","TP7",-0.5,0.6,"3"
"44","Cluster_1155_evm.TU.chromosome_8.1532","Cluster_1155","evm.TU.chromosome_8.1532","TP7",-1,-0.4,"1"
"45","Cluster_1155_evm.TU.chromosome_8.1545","Cluster_1155","evm.TU.chromosome_8.1545","TP7",-0.866025403784439,-0.258198889747161,"1"
"46","Cluster_1155_evm.TU.chromosome_8.728","Cluster_1155","evm.TU.chromosome_8.728","TP7",1,0.4,"2"
"47","Cluster_1192_evm.TU.chromosome_1.160","Cluster_1192","evm.TU.chromosome_1.160","TP7",0,-0.632455532033676,"2"
"48","Cluster_1192_evm.TU.chromosome_10.1064","Cluster_1192","evm.TU.chromosome_10.1064","TP7",0.866025403784439,-0.774596669241483,"2"
"49","Cluster_1192_evm.TU.chromosome_11.2254_evm.TU.chromosome_11.2253","Cluster_1192","evm.TU.chromosome_11.2254_evm.TU.chromosome_11.2253","TP7",0.866025403784439,-0.774596669241483,"2"
"50","Cluster_1192_evm.TU.chromosome_12.1596","Cluster_1192","evm.TU.chromosome_12.1596","TP7",0,-0.2,"1"
"51","Cluster_1192_evm.TU.chromosome_13.2314","Cluster_1192","evm.TU.chromosome_13.2314","TP7",0.866025403784439,0.258198889747161,"2"
"52","Cluster_1192_evm.TU.chromosome_13.2442","Cluster_1192","evm.TU.chromosome_13.2442","TP7",0.866025403784439,-0.210818510677892,"2"
"53","Cluster_1192_evm.TU.chromosome_13.3578","Cluster_1192","evm.TU.chromosome_13.3578","TP7",0,0.258198889747161,"1"
"54","Cluster_1192_evm.TU.chromosome_14.2776","Cluster_1192","evm.TU.chromosome_14.2776","TP7",0.866025403784439,-0.632455532033676,"2"
"55","Cluster_1192_evm.TU.chromosome_14.5633","Cluster_1192","evm.TU.chromosome_14.5633","TP7",0.866025403784439,0.258198889747161,"2"
"56","Cluster_1192_evm.TU.chromosome_3.2064","Cluster_1192","evm.TU.chromosome_3.2064","TP7",0.866025403784439,-0.210818510677892,"2"
"57","Cluster_1192_evm.TU.chromosome_4.346","Cluster_1192","evm.TU.chromosome_4.346","TP7",0.866025403784439,-0.210818510677892,"2"
"58","Cluster_1192_evm.TU.chromosome_4.629","Cluster_1192","evm.TU.chromosome_4.629","TP7",0,-0.632455532033676,"2"
"59","Cluster_1192_evm.TU.chromosome_4.653","Cluster_1192","evm.TU.chromosome_4.653","TP7",0.866025403784439,-0.632455532033676,"2"
"60","Cluster_1192_evm.TU.chromosome_5.2793","Cluster_1192","evm.TU.chromosome_5.2793","TP7",0,-0.210818510677892,"1"
"61","Cluster_1192_evm.TU.chromosome_7.2539","Cluster_1192","evm.TU.chromosome_7.2539","TP7",0.866025403784439,-0.774596669241483,"2"
"62","Cluster_1192_evm.TU.chromosome_8.474","Cluster_1192","evm.TU.chromosome_8.474","TP7",0,-0.632455532033676,"2"
"63","Cluster_1192_evm.TU.chromosome_9.470","Cluster_1192","evm.TU.chromosome_9.470","TP7",0,-0.774596669241483,"2"
"64","Cluster_137_evm.TU.chromosome_1.1170","Cluster_137","evm.TU.chromosome_1.1170","TP7",-0.5,-0.737864787372622,"1"
"65","Cluster_137_evm.TU.chromosome_1.1867","Cluster_137","evm.TU.chromosome_1.1867","TP7",-0.5,0.2,"1"
"66","Cluster_137_evm.TU.chromosome_10.1098","Cluster_137","evm.TU.chromosome_10.1098","TP7",-0.5,0.2,"1"
"67","Cluster_137_evm.TU.chromosome_10.1539","Cluster_137","evm.TU.chromosome_10.1539","TP7",-0.5,-0.4,"1"
"68","Cluster_137_evm.TU.chromosome_10.1583","Cluster_137","evm.TU.chromosome_10.1583","TP7",-0.5,-0.258198889747161,"1"
"69","Cluster_137_evm.TU.chromosome_10.1622","Cluster_137","evm.TU.chromosome_10.1622","TP7",-0.5,-0.948683298050514,"1"
"70","Cluster_137_evm.TU.chromosome_10.2163","Cluster_137","evm.TU.chromosome_10.2163","TP7",-0.5,0.632455532033676,"3"
"71","Cluster_137_evm.TU.chromosome_10.877","Cluster_137","evm.TU.chromosome_10.877","TP7",-1,-0.948683298050514,"1"
"72","Cluster_137_evm.TU.chromosome_11.1231","Cluster_137","evm.TU.chromosome_11.1231","TP7",0.5,-0.6,"2"
"73","Cluster_137_evm.TU.chromosome_11.136","Cluster_137","evm.TU.chromosome_11.136","TP7",-0.5,-0.774596669241483,"1"
"74","Cluster_137_evm.TU.chromosome_11.1965","Cluster_137","evm.TU.chromosome_11.1965","TP7",0.5,-0.737864787372622,"2"
"75","Cluster_137_evm.TU.chromosome_11.2242","Cluster_137","evm.TU.chromosome_11.2242","TP7",0.5,0.2,"2"
"76","Cluster_137_evm.TU.chromosome_11.2465","Cluster_137","evm.TU.chromosome_11.2465","TP7",0.5,-0.948683298050514,"2"
"77","Cluster_137_evm.TU.chromosome_11.250","Cluster_137","evm.TU.chromosome_11.250","TP7",-0.5,0.4,"3"
"78","Cluster_137_evm.TU.chromosome_11.2744","Cluster_137","evm.TU.chromosome_11.2744","TP7",-0.866025403784439,-0.948683298050514,"1"
"79","Cluster_137_evm.TU.chromosome_11.2944","Cluster_137","evm.TU.chromosome_11.2944","TP7",-0.5,-0.4,"1"
"80","Cluster_137_evm.TU.chromosome_11.330","Cluster_137","evm.TU.chromosome_11.330","TP7",0.5,-0.737864787372622,"2"
"81","Cluster_137_evm.TU.chromosome_11.331","Cluster_137","evm.TU.chromosome_11.331","TP7",0.866025403784439,0.2,"2"
"82","Cluster_137_evm.TU.chromosome_11.338","Cluster_137","evm.TU.chromosome_11.338","TP7",-0.5,-0.8,"1"
"83","Cluster_137_evm.TU.chromosome_11.396","Cluster_137","evm.TU.chromosome_11.396","TP7",-0.866025403784439,-0.258198889747161,"1"
"84","Cluster_137_evm.TU.chromosome_11.406","Cluster_137","evm.TU.chromosome_11.406","TP7",0.866025403784439,-0.258198889747161,"2"
"85","Cluster_137_evm.TU.chromosome_11.413","Cluster_137","evm.TU.chromosome_11.413","TP7",-0.5,0.4,"3"
"86","Cluster_137_evm.TU.chromosome_11.416","Cluster_137","evm.TU.chromosome_11.416","TP7",-0.5,-0.737864787372622,"1"
"87","Cluster_137_evm.TU.chromosome_11.675","Cluster_137","evm.TU.chromosome_11.675","TP7",-0.866025403784439,-0.948683298050514,"1"
"88","Cluster_137_evm.TU.chromosome_12.1523","Cluster_137","evm.TU.chromosome_12.1523","TP7",0.5,-0.4,"2"
"89","Cluster_137_evm.TU.chromosome_12.191","Cluster_137","evm.TU.chromosome_12.191","TP7",-0.5,-0.737864787372622,"1"
"90","Cluster_137_evm.TU.chromosome_12.1925","Cluster_137","evm.TU.chromosome_12.1925","TP7",0.5,0.2,"2"
"91","Cluster_137_evm.TU.chromosome_12.2046","Cluster_137","evm.TU.chromosome_12.2046","TP7",0.5,-0.2,"2"
"92","Cluster_137_evm.TU.chromosome_12.2136","Cluster_137","evm.TU.chromosome_12.2136","TP7",-0.5,-0.737864787372622,"1"
"93","Cluster_137_evm.TU.chromosome_12.2344","Cluster_137","evm.TU.chromosome_12.2344","TP7",-0.5,0.2,"1"
"94","Cluster_137_evm.TU.chromosome_12.2510","Cluster_137","evm.TU.chromosome_12.2510","TP7",-1,-0.2,"3"
"95","Cluster_137_evm.TU.chromosome_12.2512","Cluster_137","evm.TU.chromosome_12.2512","TP7",-0.5,-0.774596669241483,"1"
"96","Cluster_137_evm.TU.chromosome_12.2614","Cluster_137","evm.TU.chromosome_12.2614","TP7",-0.5,-1,"1"
"97","Cluster_137_evm.TU.chromosome_12.2617","Cluster_137","evm.TU.chromosome_12.2617","TP7",0.5,-0.948683298050514,"2"
"98","Cluster_137_evm.TU.chromosome_12.2785","Cluster_137","evm.TU.chromosome_12.2785","TP7",-0.5,0.316227766016838,"3"
"99","Cluster_137_evm.TU.chromosome_12.3135","Cluster_137","evm.TU.chromosome_12.3135","TP7",-0.5,-0.2,"1"
"100","Cluster_137_evm.TU.chromosome_12.3285","Cluster_137","evm.TU.chromosome_12.3285","TP7",-0.5,-0.737864787372622,"1"
"101","Cluster_137_evm.TU.chromosome_12.3356","Cluster_137","evm.TU.chromosome_12.3356","TP7",-0.866025403784439,-0.2,"1"
"102","Cluster_137_evm.TU.chromosome_12.3694","Cluster_137","evm.TU.chromosome_12.3694","TP7",-0.5,-1,"1"
"103","Cluster_137_evm.TU.chromosome_12.3952","Cluster_137","evm.TU.chromosome_12.3952","TP7",-0.5,0.8,"3"
"104","Cluster_137_evm.TU.chromosome_12.770","Cluster_137","evm.TU.chromosome_12.770","TP7",0.5,-0.737864787372622,"2"
"105","Cluster_137_evm.TU.chromosome_13.1526","Cluster_137","evm.TU.chromosome_13.1526","TP7",0.5,-0.737864787372622,"2"
"106","Cluster_137_evm.TU.chromosome_13.2502","Cluster_137","evm.TU.chromosome_13.2502","TP7",-0.5,-0.258198889747161,"1"
"107","Cluster_137_evm.TU.chromosome_13.2661","Cluster_137","evm.TU.chromosome_13.2661","TP7",0.5,-0.258198889747161,"2"
"108","Cluster_137_evm.TU.chromosome_13.275","Cluster_137","evm.TU.chromosome_13.275","TP7",0.5,0.8,"2"
"109","Cluster_137_evm.TU.chromosome_13.3466","Cluster_137","evm.TU.chromosome_13.3466","TP7",0.5,-0.8,"2"
"110","Cluster_137_evm.TU.chromosome_13.3579","Cluster_137","evm.TU.chromosome_13.3579","TP7",-0.866025403784439,-1,"1"
"111","Cluster_137_evm.TU.chromosome_13.3671","Cluster_137","evm.TU.chromosome_13.3671","TP7",-0.5,-0.8,"1"
"112","Cluster_137_evm.TU.chromosome_13.379","Cluster_137","evm.TU.chromosome_13.379","TP7",-0.5,0.8,"3"
"113","Cluster_137_evm.TU.chromosome_13.782","Cluster_137","evm.TU.chromosome_13.782","TP7",0.5,-0.2,"2"
"114","Cluster_137_evm.TU.chromosome_13.883","Cluster_137","evm.TU.chromosome_13.883","TP7",0.5,-0.948683298050514,"2"
"115","Cluster_137_evm.TU.chromosome_14.1019","Cluster_137","evm.TU.chromosome_14.1019","TP7",-0.5,-0.948683298050514,"1"
"116","Cluster_137_evm.TU.chromosome_14.130","Cluster_137","evm.TU.chromosome_14.130","TP7",0.5,-0.948683298050514,"2"
"117","Cluster_137_evm.TU.chromosome_14.256","Cluster_137","evm.TU.chromosome_14.256","TP7",-0.5,0.258198889747161,"1"
"118","Cluster_137_evm.TU.chromosome_14.2988","Cluster_137","evm.TU.chromosome_14.2988","TP7",-1,-0.4,"1"
"119","Cluster_137_evm.TU.chromosome_14.3801","Cluster_137","evm.TU.chromosome_14.3801","TP7",-0.5,-0.4,"1"
"120","Cluster_137_evm.TU.chromosome_14.4648","Cluster_137","evm.TU.chromosome_14.4648","TP7",0.5,-0.948683298050514,"2"
"121","Cluster_137_evm.TU.chromosome_14.467","Cluster_137","evm.TU.chromosome_14.467","TP7",-0.866025403784439,0.2,"3"
"122","Cluster_137_evm.TU.chromosome_14.5166","Cluster_137","evm.TU.chromosome_14.5166","TP7",0.5,-0.8,"2"
"123","Cluster_137_evm.TU.chromosome_14.5205","Cluster_137","evm.TU.chromosome_14.5205","TP7",-0.5,-0.948683298050514,"1"
"124","Cluster_137_evm.TU.chromosome_14.5294","Cluster_137","evm.TU.chromosome_14.5294","TP7",-0.5,-0.2,"1"
"125","Cluster_137_evm.TU.chromosome_14.5584","Cluster_137","evm.TU.chromosome_14.5584","TP7",-0.5,0.316227766016838,"3"
"126","Cluster_137_evm.TU.chromosome_14.5803","Cluster_137","evm.TU.chromosome_14.5803","TP7",0.5,-0.737864787372622,"2"
"127","Cluster_137_evm.TU.chromosome_14.6697","Cluster_137","evm.TU.chromosome_14.6697","TP7",1,0.4,"2"
"128","Cluster_137_evm.TU.chromosome_2.1034","Cluster_137","evm.TU.chromosome_2.1034","TP7",0.866025403784439,0.632455532033676,"2"
"129","Cluster_137_evm.TU.chromosome_2.1098","Cluster_137","evm.TU.chromosome_2.1098","TP7",-0.5,-0.948683298050514,"1"
"130","Cluster_137_evm.TU.chromosome_2.1183","Cluster_137","evm.TU.chromosome_2.1183","TP7",-0.5,0.632455532033676,"3"
"131","Cluster_137_evm.TU.chromosome_2.1208","Cluster_137","evm.TU.chromosome_2.1208","TP7",-0.866025403784439,-0.2,"1"
"132","Cluster_137_evm.TU.chromosome_2.1823","Cluster_137","evm.TU.chromosome_2.1823","TP7",-0.5,-0.948683298050514,"1"
"133","Cluster_137_evm.TU.chromosome_2.1987","Cluster_137","evm.TU.chromosome_2.1987","TP7",0.5,-0.948683298050514,"2"
"134","Cluster_137_evm.TU.chromosome_2.255","Cluster_137","evm.TU.chromosome_2.255","TP7",0.5,-0.948683298050514,"2"
"135","Cluster_137_evm.TU.chromosome_2.591","Cluster_137","evm.TU.chromosome_2.591","TP7",0.5,-0.4,"2"
"136","Cluster_137_evm.TU.chromosome_2.678","Cluster_137","evm.TU.chromosome_2.678","TP7",-0.5,-0.948683298050514,"1"
"137","Cluster_137_evm.TU.chromosome_3.1566","Cluster_137","evm.TU.chromosome_3.1566","TP7",0.5,-1,"2"
"138","Cluster_137_evm.TU.chromosome_3.542","Cluster_137","evm.TU.chromosome_3.542","TP7",-0.5,-0.737864787372622,"1"
"139","Cluster_137_evm.TU.chromosome_3.57","Cluster_137","evm.TU.chromosome_3.57","TP7",-0.5,-0.737864787372622,"1"
"140","Cluster_137_evm.TU.chromosome_3.733","Cluster_137","evm.TU.chromosome_3.733","TP7",-0.5,-0.737864787372622,"1"
"141","Cluster_137_evm.TU.chromosome_3.829","Cluster_137","evm.TU.chromosome_3.829","TP7",1,0.105409255338946,"2"
"142","Cluster_137_evm.TU.chromosome_3.931","Cluster_137","evm.TU.chromosome_3.931","TP7",0.5,-0.8,"2"
"143","Cluster_137_evm.TU.chromosome_3.980","Cluster_137","evm.TU.chromosome_3.980","TP7",1,-0.948683298050514,"2"
"144","Cluster_137_evm.TU.chromosome_4.1350","Cluster_137","evm.TU.chromosome_4.1350","TP7",0.5,-1,"2"
"145","Cluster_137_evm.TU.chromosome_4.2096","Cluster_137","evm.TU.chromosome_4.2096","TP7",0.5,0,"2"
"146","Cluster_137_evm.TU.chromosome_4.2151","Cluster_137","evm.TU.chromosome_4.2151","TP7",-0.5,-0.737864787372622,"1"
"147","Cluster_137_evm.TU.chromosome_4.2300","Cluster_137","evm.TU.chromosome_4.2300","TP7",0.5,-0.4,"2"
"148","Cluster_137_evm.TU.chromosome_4.831","Cluster_137","evm.TU.chromosome_4.831","TP7",0.866025403784439,0.2,"2"
"149","Cluster_137_evm.TU.chromosome_5.1015","Cluster_137","evm.TU.chromosome_5.1015","TP7",0.5,-0.948683298050514,"2"
"150","Cluster_137_evm.TU.chromosome_5.1215","Cluster_137","evm.TU.chromosome_5.1215","TP7",-0.866025403784439,-0.774596669241483,"1"
"151","Cluster_137_evm.TU.chromosome_5.134","Cluster_137","evm.TU.chromosome_5.134","TP7",0.5,-0.737864787372622,"2"
"152","Cluster_137_evm.TU.chromosome_5.138","Cluster_137","evm.TU.chromosome_5.138","TP7",-0.5,0.4,"3"
"153","Cluster_137_evm.TU.chromosome_5.1936","Cluster_137","evm.TU.chromosome_5.1936","TP7",0.866025403784439,-0.948683298050514,"2"
