#,Date-Time (EST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/30/2021 14:00:00,9.61,3635.20,,,,
2,04/30/2021 14:10:00,9.74,3477.76,,,,
3,04/30/2021 14:20:00,9.78,3315.20,,,,
4,04/30/2021 14:30:00,9.69,3148.80,,,,
5,04/30/2021 14:40:00,9.65,2960.64,,,,
6,04/30/2021 14:50:00,9.82,2812.16,,,,
7,04/30/2021 15:00:00,9.65,2664.96,,,,
8,04/30/2021 15:10:00,9.69,2450.56,,,,
9,04/30/2021 15:20:00,9.82,2268.16,,,,
10,04/30/2021 15:30:00,9.56,2051.84,,,,
11,04/30/2021 15:40:00,9.74,1861.76,,,,
12,04/30/2021 15:50:00,9.78,1668.48,,,,
13,04/30/2021 16:00:00,9.56,1461.12,,,,
14,04/30/2021 16:10:00,9.78,1244.80,,,,
15,04/30/2021 16:20:00,9.69,1051.84,,,,
16,04/30/2021 16:30:00,9.65,838.08,,,,
17,04/30/2021 16:40:00,9.78,637.28,,,,
18,04/30/2021 16:50:00,9.56,508.64,,,,
19,04/30/2021 17:00:00,9.78,436.48,,,,
20,04/30/2021 17:10:00,9.61,367.20,,,,
21,04/30/2021 17:20:00,9.69,295.28,,,,
22,04/30/2021 17:30:00,9.65,222.72,,,,
23,04/30/2021 17:40:00,9.74,146.88,,,,
24,04/30/2021 17:50:00,9.69,75.74,,,,
25,04/30/2021 18:00:00,9.65,0.00,,,,
26,04/30/2021 18:10:00,9.74,0.00,,,,
27,04/30/2021 18:20:00,9.65,0.00,,,,
28,04/30/2021 18:30:00,9.74,0.00,,,,
29,04/30/2021 18:40:00,9.61,0.00,,,,
30,04/30/2021 18:50:00,9.82,0.00,,,,
31,04/30/2021 19:00:00,9.61,0.00,,,,
32,04/30/2021 19:10:00,9.78,0.00,,,,
33,04/30/2021 19:20:00,9.56,0.00,,,,
34,04/30/2021 19:30:00,9.82,0.00,,,,
35,04/30/2021 19:40:00,9.52,0.00,,,,
36,04/30/2021 19:50:00,9.74,0.00,,,,
37,04/30/2021 20:00:00,9.65,0.00,,,,
38,04/30/2021 20:10:00,9.61,0.00,,,,
39,04/30/2021 20:20:00,9.78,0.00,,,,
40,04/30/2021 20:30:00,9.56,0.00,,,,
41,04/30/2021 20:40:00,9.69,0.00,,,,
42,04/30/2021 20:50:00,9.74,0.00,,,,
43,04/30/2021 21:00:00,9.52,0.00,,,,
44,04/30/2021 21:10:00,9.74,0.00,,,,
45,04/30/2021 21:20:00,9.56,0.00,,,,
46,04/30/2021 21:30:00,9.61,0.00,,,,
47,04/30/2021 21:40:00,9.69,0.00,,,,
48,04/30/2021 21:50:00,9.65,0.00,,,,
49,04/30/2021 22:00:00,9.52,0.00,,,,
50,04/30/2021 22:10:00,9.69,0.00,,,,
51,04/30/2021 22:20:00,9.69,0.00,,,,
52,04/30/2021 22:30:00,9.52,0.00,,,,
53,04/30/2021 22:40:00,9.65,0.00,,,,
54,04/30/2021 22:50:00,9.69,0.00,,,,
55,04/30/2021 23:00:00,9.52,0.00,,,,
56,04/30/2021 23:10:00,9.65,0.00,,,,
57,04/30/2021 23:20:00,9.74,0.00,,,,
58,04/30/2021 23:30:00,9.56,0.00,,,,
59,04/30/2021 23:40:00,9.61,0.00,,,,
60,04/30/2021 23:50:00,9.69,0.00,,,,
61,05/01/2021 00:00:00,9.56,0.00,,,,
62,05/01/2021 00:10:00,9.52,0.00,,,,
63,05/01/2021 00:20:00,9.74,0.00,,,,
64,05/01/2021 00:30:00,9.61,0.00,,,,
65,05/01/2021 00:40:00,9.52,0.00,,,,
66,05/01/2021 00:50:00,9.69,0.00,,,,
67,05/01/2021 01:00:00,9.69,0.00,,,,
68,05/01/2021 01:10:00,9.52,0.00,,,,
69,05/01/2021 01:20:00,9.56,0.00,,,,
70,05/01/2021 01:30:00,9.69,0.00,,,,
71,05/01/2021 01:40:00,9.61,0.00,,,,
72,05/01/2021 01:50:00,9.52,0.00,,,,
73,05/01/2021 02:00:00,9.61,0.00,,,,
74,05/01/2021 02:10:00,9.65,0.00,,,,
75,05/01/2021 02:20:00,9.65,0.00,,,,
76,05/01/2021 02:30:00,9.52,0.00,,,,
77,05/01/2021 02:40:00,9.56,0.00,,,,
78,05/01/2021 02:50:00,9.69,0.00,,,,
79,05/01/2021 03:00:00,9.65,0.00,,,,
80,05/01/2021 03:10:00,9.48,0.00,,,,
81,05/01/2021 03:20:00,9.65,0.00,,,,
82,05/01/2021 03:30:00,9.69,0.00,,,,
83,05/01/2021 03:40:00,9.52,0.00,,,,
84,05/01/2021 03:50:00,9.56,0.00,,,,
85,05/01/2021 04:00:00,9.69,0.00,,,,
86,05/01/2021 04:10:00,9.61,0.00,,,,
87,05/01/2021 04:20:00,9.52,0.00,,,,
88,05/01/2021 04:30:00,9.65,0.00,,,,
89,05/01/2021 04:40:00,9.65,0.00,,,,
90,05/01/2021 04:50:00,9.48,0.00,,,,
91,05/01/2021 05:00:00,9.65,0.00,,,,
92,05/01/2021 05:10:00,9.74,0.00,,,,
93,05/01/2021 05:20:00,9.52,0.00,,,,
94,05/01/2021 05:30:00,9.56,0.00,,,,
95,05/01/2021 05:40:00,9.74,0.00,,,,
96,05/01/2021 05:50:00,9.56,0.00,,,,
97,05/01/2021 06:00:00,9.61,0.00,,,,
98,05/01/2021 06:10:00,9.74,66.26,,,,
99,05/01/2021 06:20:00,9.56,136.56,,,,
100,05/01/2021 06:30:00,9.61,209.92,,,,
101,05/01/2021 06:40:00,9.74,280.40,,,,
102,05/01/2021 06:50:00,9.61,355.84,,,,
103,05/01/2021 07:00:00,9.61,418.56,,,,
104,05/01/2021 07:10:00,9.78,490.08,,,,
105,05/01/2021 07:20:00,9.56,607.84,,,,
106,05/01/2021 07:30:00,9.65,788.80,,,,
107,05/01/2021 07:40:00,9.78,1006.08,,,,
108,05/01/2021 07:50:00,9.56,1204.80,,,,
109,05/01/2021 08:00:00,9.69,1399.04,,,,
110,05/01/2021 08:10:00,9.78,1610.24,,,,
111,05/01/2021 08:20:00,9.61,1825.28,,,,
112,05/01/2021 08:30:00,9.69,2007.68,,,,
113,05/01/2021 08:40:00,9.78,2208.64,,,,
114,05/01/2021 08:50:00,9.61,2409.60,,,,
115,05/01/2021 09:00:00,9.69,2613.76,,,,
116,05/01/2021 09:10:00,9.82,2755.84,,,,
117,05/01/2021 09:20:00,9.61,2968.32,,,,
118,05/01/2021 09:30:00,9.82,3143.68,,,,
119,05/01/2021 09:40:00,9.78,3331.84,,,,
120,05/01/2021 09:50:00,9.65,3500.80,,,,
121,05/01/2021 10:00:00,9.82,3660.80,,,,
122,05/01/2021 10:10:00,9.69,3685.12,,,,
123,05/01/2021 10:20:00,9.65,3672.32,,,,
124,05/01/2021 10:30:00,9.86,3685.12,,,,
125,05/01/2021 10:40:00,9.65,3667.20,,,,
126,05/01/2021 10:50:00,9.74,3678.72,,,,
127,05/01/2021 11:00:00,9.82,3648.00,,,,
128,05/01/2021 11:10:00,9.61,3678.72,,,,
129,05/01/2021 11:20:00,9.78,3650.56,,,,
130,05/01/2021 11:30:00,9.78,3672.32,,,,
131,05/01/2021 11:40:00,9.65,3663.36,,,,
132,05/01/2021 11:50:00,9.78,3648.00,,,,
133,05/01/2021 12:00:00,9.74,3663.36,,,,
134,05/01/2021 12:10:00,9.65,3663.36,,,,
135,05/01/2021 12:20:00,9.82,3619.84,,,,
136,05/01/2021 12:30:00,9.65,3678.72,,,,
137,05/01/2021 12:40:00,9.74,3660.80,,,,
138,05/01/2021 12:50:00,9.86,3672.32,,,,
139,05/01/2021 13:00:00,9.61,3676.16,,,,
140,05/01/2021 13:10:00,9.86,3654.40,,,,
141,05/01/2021 13:20:00,9.65,3656.96,,,,
142,05/01/2021 13:30:00,9.82,3648.00,,,,
143,05/01/2021 13:40:00,10.21,29.92,,,,
144,05/01/2021 13:50:00,10.64,3669.76,,,,
145,05/01/2021 14:00:00,10.55,3622.40,,,,
146,05/01/2021 14:10:00,10.59,3496.96,,,,
147,05/01/2021 14:20:00,10.64,3303.68,,,,
148,05/01/2021 14:30:00,10.55,3141.12,,,,
149,05/01/2021 14:40:00,10.51,2932.48,,,,
150,05/01/2021 14:50:00,10.64,2767.36,,,,
151,05/01/2021 15:00:00,10.64,2574.08,,,,
152,05/01/2021 15:10:00,10.51,2379.52,,,,
153,05/01/2021 15:20:00,10.55,2224.00,,,,
154,05/01/2021 15:30:00,10.64,1985.92,,,,
155,05/01/2021 15:40:00,10.51,1806.72,,,,
156,05/01/2021 15:50:00,10.55,1613.44,,,,
157,05/01/2021 16:00:00,10.59,1420.16,,,,
