"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_8:25462523-25469320",101.300955263148,-1.91337594342238,0.441228732784127,-4.33647176907337,1.44788013123016e-05,0.00152603275194997,125,152,115,10,24,192,117,127,238,191,156,33,260,251,28,174,98,33,30
"::chromosome_14:49896866-49904182",18.0912373341739,-4.23093803984302,0.955062365088479,-4.43001231595075,9.42277067388842e-06,0.00111332736306134,8,9,17,0,5,115,9,118,11,12,5,5,6,7,0,1,6,2,0
"::chromosome_12:15013980-15031488",173.78128275756,1.72615794780711,0.553037680561512,3.12123026780833,0.00180097149464118,0.0441581451605529,231,610,55,9,95,258,1316,39,286,278,128,578,618,291,75,407,454,8,3
"::chromosome_7:3004483-3012260",67.4548177525951,-1.98611011372967,0.567858999429559,-3.49754096655122,0.000469568588113813,0.0187800385606528,69,133,425,4,48,95,71,81,74,83,79,82,59,53,16,45,52,4,12
"::chromosome_4:1332270-1333064",13.8952384824666,-2.88500631118421,0.709892994977449,-4.06400166165305,4.8238481997998e-05,0.00368240263811877,52,8,11,0,0,29,5,18,22,27,10,6,67,17,5,29,35,6,3
"::chromosome_11:21669026-21675967",128.029452495652,-3.74257168292324,0.712032121368099,-5.25618377403011,1.47075327225936e-07,4.13370806066836e-05,166,21,238,20,10,164,5,112,86,248,86,48,85,444,90,123,231,71,49
"::chromosome_2:1257505-1260075",61.4861973464054,-3.22925716869624,0.700689273788697,-4.60868645988446,4.05220872883437e-06,0.00056198204342785,55,13,237,13,9,103,47,15,100,133,81,10,70,84,60,46,129,12,11
"::chromosome_5:11497037-11500694",19.7933891463723,-3.00453645835533,0.901480299430754,-3.33289197806381,0.000859483054189617,0.0272536934277221,43,28,16,1,7,49,24,101,10,23,30,3,30,23,5,6,7,0,0
"::chromosome_12:25654210-25657736",19.9933996784127,-2.38095301466183,0.664122031227854,-3.58511373317918,0.000336931341833284,0.0146797092962453,37,3,48,0,9,65,19,10,36,49,26,8,40,23,7,90,33,8,2
"::chromosome_9:3244247-3244619",11.2896531766095,-2.15230957359053,0.683717445148482,-3.14795181673785,0.0016441879282946,0.0416093943654363,10,15,19,1,2,35,8,2,23,18,32,8,32,56,3,31,29,1,0
"::chromosome_10:24885459-24914013",182.101527082459,-1.20299141690509,0.36293089654043,-3.31465694536447,0.000917556551749081,0.0284331016024589,482,223,232,16,39,257,220,77,525,674,236,165,249,262,43,475,459,80,29
"::chromosome_2:11968042-11976379",18.4920069655077,-1.7748019422076,0.534903135771344,-3.31798754488192,0.000906685273877044,0.0282672467738137,82,17,10,1,8,39,17,23,33,34,26,8,43,32,7,29,27,10,2
"::chromosome_8:620126-620699",20.0587007914935,-3.38767482082698,0.899561755914481,-3.76591690181751,0.000165938980252774,0.00912167394928046,18,11,25,0,5,23,1,52,21,16,18,8,14,26,11,10,21,4,18
"::chromosome_9:22900033-22908799",221.840984106219,-2.25157429040041,0.532078371549517,-4.23165911413273,2.31973802195387e-05,0.00221810001583734,498,162,630,48,40,458,215,74,361,648,149,77,243,283,93,290,389,118,31
"::chromosome_6:7357603-7360620",175.335206608253,1.06963437161424,0.296674234891803,3.60541714046835,0.000311651920122478,0.0141348242500537,359,891,94,19,175,277,487,34,299,405,172,399,283,430,57,302,217,42,36
"::chromosome_7:10686749-10690296",469.991953885009,-2.46756673793818,0.601954323226814,-4.09925910110693,4.14474826364041e-05,0.0032997888536708,686,285,1267,71,76,380,407,500,935,618,369,234,417,917,41,475,672,221,249
"::chromosome_8:17198493-17205130",24.7970986441357,-3.08019816071626,0.818577323997558,-3.76286768569886,0.000167976083670047,0.00916457750611581,35,18,76,9,2,104,20,2,31,25,25,1,26,44,13,34,39,9,2
