"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_2:9160911-9165589",525.520459835446,-0.557645622847178,0.164105414699035,-3.39809398653838,0.000678571034217991,0.0202831257962978,1132,1388,597,62,298,1045,890,272,1091,951,557,836,1083,1228,212,776,953,150,95
"::chromosome_6:16063707-16067332",426.878329692979,-4.82668117736993,0.641954268646325,-7.51873055934007,5.53106386878537e-14,1.64226504704019e-10,120,41,893,136,15,1126,60,754,435,343,1093,29,564,1559,62,644,1189,9,9
"::chromosome_8:4304938-4323405",2382.59850160398,-1.29437508286999,0.317900617605602,-4.07163437623715,4.66844178852687e-05,0.00303774708220348,8239,2916,1546,198,708,3390,1815,958,11045,7568,2758,2700,4412,5499,814,6847,3511,573,418
"::chromosome_13:26393901-26396640",68.643077731713,1.11464734563484,0.354237606346408,3.14660929744662,0.00165175514298713,0.036645103203382,127,410,39,3,59,179,309,27,129,134,69,220,95,104,18,137,87,6,12
"::chromosome_1:14404683-14424575",170.584528444165,1.16390986191134,0.349491125572591,3.33029875938751,0.000867528472231855,0.0235071093853377,342,988,69,22,202,467,578,50,317,315,144,491,288,220,27,335,212,24,29
"::chromosome_12:31433747-31441059",242.657841968328,-2.25822557004513,0.560029767810606,-4.03233131494686,5.52262538444286e-05,0.0034043450250467,886,121,540,9,37,797,240,42,604,850,318,77,482,571,92,634,478,39,27
"::chromosome_8:7597782-7606042",24.101474240015,-4.57207616741384,1.14766336975287,-3.98381292625758,6.78182669746569e-05,0.00398740074638123,10,2,10,0,10,6,4,17,11,3,18,1,7,37,113,12,35,3,0
"::chromosome_9:20900361-20910912",72.9549671386126,-1.55918240925325,0.382817488513315,-4.0729132185376,4.64287271771413e-05,0.00303774708220348,133,102,64,18,18,88,91,64,136,190,71,69,138,201,47,156,132,16,3
"::chromosome_8:12936672-12947032",46.1888113941407,-3.52721058630617,0.672020642941719,-5.2486640452979,1.532061775114e-07,4.11317305729215e-05,178,5,60,7,7,132,12,8,105,122,102,7,111,100,17,103,77,0,16
"::chromosome_4:9515343-9521164",119.284576331505,0.981413703348894,0.279507884733252,3.51122010130593,0.00044605491531843,0.0153406724254784,182,440,132,7,175,177,481,52,221,242,153,318,129,173,43,178,160,27,15
"::chromosome_2:21260942-21265058",23.0975749900938,-3.11933345484479,0.650928609311863,-4.79212836895036,1.65021256207881e-06,0.000255639450377688,45,9,67,3,6,51,6,8,54,69,32,5,67,77,3,55,55,5,0
"::chromosome_4:9661209-9663150",30.0987569710844,-4.05360511827329,0.724195515527268,-5.59739052695178,2.17602168824894e-08,9.80006698892951e-06,48,8,77,10,2,36,9,18,43,44,42,5,24,116,12,39,134,1,2
