"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_14:49896866-49904182",18.0912373341739,4.57614818618051,1.13082894776328,4.04672005897257,5.1940295284734e-05,0.01303262479574,8,9,17,0,5,115,9,118,11,12,5,5,6,7,0,1,6,2,0
"::chromosome_7:3004483-3012260",67.4548177525951,2.3340769973794,0.644928912721075,3.61912290074188,0.000295603232492289,0.0368263747332177,69,133,425,4,48,95,71,81,74,83,79,82,59,53,16,45,52,4,12
"::chromosome_2:7798736-7799075",19.6379152488212,8.130562741541,1.9087074077696,4.25972189788998,2.04681411043717e-05,0.00759666528696628,46,33,6,0,4,0,0,137,2,0,48,3,8,9,4,0,11,3,0
"::chromosome_2:17867432-17869372",340.252048653961,-2.67340893263515,0.67757817653347,-3.9455357702228,7.96217441025036e-05,0.0170898960383868,448,556,181,103,311,317,268,31,271,1991,98,345,899,115,57,634,396,145,150
"::chromosome_1:1100571-1105218",41.6994777572922,6.43435683862022,1.26417670477675,5.08976064367243,3.58515762983355e-07,0.000408895121562907,18,9,11,0,5,41,39,325,37,3,46,26,59,31,2,4,21,0,0
"::chromosome_13:24111414-24115620",436.021824116206,-2.32394906190325,0.603329611144348,-3.85187303751819,0.000117217796143437,0.0224541401967239,426,3270,155,112,762,322,1276,40,257,1254,226,983,820,200,46,892,182,207,69
"::chromosome_10:868731-874899",833.768166193725,5.43938262754346,1.49794418165152,3.63123185374399,0.000282071632459641,0.0361469162447367,70,99,60,19,40,1470,132,7800,28,88,37,20,14,251,8,69,3,27,35
"::chromosome_13:37280517-37283438",385.358886820426,2.5276436956179,0.611927978552994,4.13062285793001,3.6178168581039e-05,0.0102385569255625,202,695,1543,15,227,481,892,741,531,332,508,773,179,517,38,271,365,106,71
"::chromosome_5:19053313-19064456",70.161104823313,1.37974506021177,0.390665907774372,3.53177749262074,0.000412776522199226,0.0468383040954089,72,263,104,2,66,178,201,89,85,84,114,279,94,48,20,89,102,11,9
"::chromosome_12:31554150-31564819",207.672713763679,3.26123098587409,0.86986021607666,3.74914374240871,0.000177439366256952,0.0282419147802274,234,107,63,5,20,450,47,1481,56,220,127,41,72,46,19,131,87,33,16
"::chromosome_11:5002923-5007690",22.3729987128879,-3.66590245784157,0.909983564923136,-4.02853699687557,5.61250293707958e-05,0.0135117215978477,50,7,1,1,8,22,22,0,52,123,4,7,67,60,2,143,77,2,8
"::chromosome_12:29591811-29600183",150.42773484994,-3.4068815177687,0.888666691974673,-3.83370002334441,0.00012623006591959,0.023671459203763,85,3112,19,8,140,37,403,20,61,1601,49,137,193,62,30,32,77,9,5
"::chromosome_8:5132844-5143900",74.4956211519644,-1.88815009924524,0.477785567616807,-3.95187763553288,7.75403893491996e-05,0.0168461223933658,211,239,40,26,18,52,149,13,186,142,62,136,88,111,16,194,85,34,11
"::chromosome_2:15917421-15917787",148.818563637615,-5.44612435046014,1.09233911098503,-4.98574508199111,6.17234822002706e-07,0.000610891019665456,202,12,14,141,8,11,0,9,235,416,22,2,11,3,19,425,102,7,105
"::chromosome_10:20904519-20905247",18.5363152857714,6.70643854724715,1.8291190634374,3.6664855127823,0.000245906843520339,0.0339599257156189,0,18,36,0,0,44,27,23,10,0,9,54,12,19,8,0,158,0,10
"::chromosome_6:3052812-3063168",40.8991750205631,-2.52451654143189,0.695570843690562,-3.62941685139835,0.000284062210174748,0.0361469162447367,49,36,10,20,37,53,67,5,50,126,22,37,161,73,16,90,25,15,1
"::chromosome_10:28822148-28824377",423.828128257659,-2.54596005950403,0.642173523163979,-3.96459830196692,7.35196457604287e-05,0.0163719061152755,586,2058,272,151,231,311,702,89,265,1991,148,436,457,110,89,1299,136,304,57
"::chromosome_9:23832304-23837944",99.0353786753933,-1.71906077117037,0.466120896881296,-3.68801481047555,0.00022601049817077,0.0324707824589698,261,75,51,20,22,64,60,9,181,275,94,91,238,276,30,224,195,38,44
"::chromosome_2:1951728-1962874",1416.10414377879,-1.91088638809869,0.382852933206787,-4.99117604269881,6.00127694119085e-07,0.000610891019665456,3722,6292,1023,270,1250,1422,2964,197,1825,5586,902,3065,2978,1030,274,4751,1259,375,240
"::chromosome_13:31265061-31273585",9.34679018734681,4.06655076330588,1.07744848745435,3.7742414701549,0.000160495248945177,0.02695152776576,3,12,33,0,10,66,12,23,0,2,4,13,21,7,5,4,5,0,0
"::chromosome_14:41613587-41614845",16.6130842122871,-3.7928725230333,1.01467896483287,-3.73800251556218,0.000185488091361961,0.028968960071157,12,25,0,17,3,5,17,0,18,14,15,8,29,26,5,28,23,4,1
"::chromosome_10:6350622-6399247",25.7820074416397,22.3431760794342,4.94646405014506,4.51699958858065,6.27220272646973e-06,0.00354815917000885,46,459,0,0,42,356,0,0,79,0,0,0,0,74,0,0,0,0,0
"::chromosome_12:3026429-3029497",103.279615960655,-3.17492274996493,0.853719538822213,-3.71892946756851,0.000200068902855931,0.0307260991756759,70,38,52,125,8,55,24,34,48,52,45,28,80,74,44,83,85,29,10
"::chromosome_8:26022846-26031294",962.34929669971,-1.87199438137023,0.431960475576007,-4.33371682646192,1.46612739367181e-05,0.00628005630257339,1919,3003,736,179,483,790,1346,270,1138,4902,719,2161,3086,690,242,3413,831,284,133
"::chromosome_7:466048-470082",10.5008233751093,7.24791038967975,1.98810469994385,3.64563817483277,0.000266729049658758,0.0357276542832389,2,27,0,0,0,54,9,73,5,0,0,7,3,7,2,0,0,1,1
"::chromosome_12:36228789-36237053",66.0072194810803,-1.67852378566174,0.406379003822611,-4.13043924482485,3.62070775363702e-05,0.0102385569255625,144,210,40,18,42,49,104,12,75,198,52,133,153,99,25,127,114,25,10
"::chromosome_3:8275067-8277278",42.6964918210436,5.94481248821573,1.14417086763714,5.19573837821313,2.03908858639267e-07,0.000259474022618467,19,57,56,0,58,34,32,141,101,5,81,110,2,41,11,1,81,8,9
"::chromosome_1:3390647-3394579",734.55807114295,2.16615776227192,0.519036554861267,4.17342043057239,3.00060486113953e-05,0.00928702252126984,287,4282,1021,27,1329,903,3673,1218,599,754,1059,1451,1487,878,156,227,992,24,44
"::chromosome_5:23920824-23932567",2152.20358386615,-1.1031392343373,0.302816674218166,-3.64292764652232,0.000269554625788795,0.0358366840181148,5075,5078,1688,280,680,2076,2914,1200,6277,7060,1747,2823,4548,4140,997,6987,3633,478,284
"::chromosome_5:15395824-15398915",15.1125474164403,-4.82228198469189,1.33828866094263,-3.60331976607745,0.000314178625983661,0.038600636013096,18,60,1,1,7,9,16,0,10,337,3,9,1,5,3,5,52,0,0
