"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_14:49896866-49904182",18.0912373341739,4.58381229768324,0.993852105331632,4.6121674171568,3.98491826780127e-06,0.00296121651654455,8,9,17,0,5,115,9,118,11,12,5,5,6,7,0,1,6,2,0
"::chromosome_7:3004483-3012260",67.4548177525951,2.38181793735138,0.575301678305483,4.14011991824339,3.47124311426093e-05,0.013449638911477,69,133,425,4,48,95,71,81,74,83,79,82,59,53,16,45,52,4,12
"::chromosome_12:8587015-8599512",368.13290436739,-2.93441912357533,0.795016346630485,-3.69101734324366,0.000223358905647073,0.0387225018668523,322,422,145,96,39,172,348,30,947,84,92,186,198,2248,449,1002,294,46,175
"::chromosome_4:6459137-6468511",71.402359354786,-2.07068921042976,0.488303494695219,-4.24057831435798,2.22944630946022e-05,0.0109441733410391,70,241,38,3,86,70,118,13,94,27,66,125,483,412,29,74,120,8,10
"::chromosome_9:7611582-7625697",119.292293380283,-2.42152761013659,0.613838160503912,-3.94489584705635,7.98346708936768e-05,0.0238860184689952,200,327,28,19,28,101,114,25,279,183,95,136,191,216,279,143,199,20,5
"::chromosome_14:42722777-42725930",276.808595331874,2.0554238913909,0.563769241723368,3.64586029047585,0.000266498741466357,0.0437482447274419,114,1547,797,6,153,503,717,347,227,1009,342,1165,376,124,56,342,106,36,19
"::chromosome_7:25678209-25679275",17.9026699571667,-4.29490606052199,1.113151477962,-3.85833028617566,0.000114164300888046,0.0280308563420828,19,2,3,2,0,2,0,3,6,5,5,4,1,273,8,5,117,5,2
"::chromosome_10:868731-874899",833.768166193725,6.37813708530527,1.38298647079722,4.61185790315692,3.99085783900882e-06,0.00296121651654455,70,99,60,19,40,1470,132,7800,28,88,37,20,14,251,8,69,3,27,35
"::chromosome_10:9459631-9467095",46.6713085148189,3.75887430989727,0.874769879581922,4.29698643910069,1.73135782573572e-05,0.00944608460805815,7,466,106,12,23,62,50,9,23,53,219,208,8,5,4,15,14,8,4
"::chromosome_13:37280517-37283438",385.358886820426,2.31403703318876,0.558738483978339,4.14153866172294,3.4498370669136e-05,0.013449638911477,202,695,1543,15,227,481,892,741,531,332,508,773,179,517,38,271,365,106,71
"::chromosome_5:19053313-19064456",70.161104823313,1.23028283638673,0.341375554721663,3.6038984612997,0.000313479563083574,0.049143386985023,72,263,104,2,66,178,201,89,85,84,114,279,94,48,20,89,102,11,9
"::chromosome_12:31554150-31564819",207.672713763679,4.19023248124151,0.799016681836594,5.24423654285912,1.569307652367e-07,0.0004152972166716,234,107,63,5,20,450,47,1481,56,220,127,41,72,46,19,131,87,33,16
"::chromosome_5:23451781-23499727",711.050897048706,1.6196113452729,0.41791424323608,3.87546337911718,0.00010642198486246,0.0270428468383374,1429,3408,1840,44,368,1425,2914,282,1356,1407,1210,1951,492,765,161,588,352,157,111
