#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Button Down,Button Up,Host Connected,End of File
124,02/07/2021 16:30:00,5.49,3846,,,,
125,02/07/2021 16:40:00,5.66,3844,,,,
126,02/07/2021 16:50:00,5.70,3846,,,,
127,02/07/2021 17:00:00,5.23,3846,,,,
128,02/07/2021 17:10:00,4.72,3846,,,,
129,02/07/2021 17:20:00,4.42,3853,,,,
130,02/07/2021 17:30:00,4.16,3853,,,,
131,02/07/2021 17:40:00,4.03,3846,,,,
132,02/07/2021 17:50:00,3.94,3853,,,,
133,02/07/2021 18:00:00,4.50,3850,,,,
134,02/07/2021 18:10:00,4.93,3689,,,,
135,02/07/2021 18:20:00,5.15,3516,,,,
136,02/07/2021 18:30:00,5.36,3338,,,,
137,02/07/2021 18:40:00,5.53,3180,,,,
138,02/07/2021 18:50:00,5.70,2996,,,,
139,02/07/2021 19:00:00,5.32,2824,,,,
140,02/07/2021 19:10:00,4.89,2656,,,,
141,02/07/2021 19:20:00,4.54,2492,,,,
142,02/07/2021 19:30:00,4.33,2257,,,,
143,02/07/2021 19:40:00,4.20,2056,,,,
144,02/07/2021 19:50:00,4.03,1875,,,,
145,02/07/2021 20:00:00,3.94,1693,,,,
146,02/07/2021 20:10:00,3.86,1504,,,,
147,02/07/2021 20:20:00,4.16,1294,,,,
148,02/07/2021 20:30:00,4.67,1093,,,,
149,02/07/2021 20:40:00,5.02,930,,,,
150,02/07/2021 20:50:00,5.36,763,,,,
151,02/07/2021 21:00:00,5.49,657,,,,
152,02/07/2021 21:10:00,5.62,542,,,,
153,02/07/2021 21:20:00,5.06,436,,,,
154,02/07/2021 21:30:00,4.67,331,,,,
155,02/07/2021 21:40:00,4.33,226,,,,
156,02/07/2021 21:50:00,4.12,123,,,,
157,02/07/2021 22:00:00,3.94,0,,,,
158,02/07/2021 22:10:00,4.03,0,,,,
159,02/07/2021 22:20:00,4.46,0,,,,
160,02/07/2021 22:30:00,4.84,0,,,,
161,02/07/2021 22:40:00,5.06,0,,,,
162,02/07/2021 22:50:00,5.23,0,,,,
163,02/07/2021 23:00:00,5.36,0,,,,
164,02/07/2021 23:10:00,5.49,0,,,,
165,02/07/2021 23:20:00,5.53,0,,,,
166,02/07/2021 23:30:00,5.62,0,,,,
167,02/07/2021 23:40:00,5.62,0,,,,
168,02/07/2021 23:50:00,5.57,0,,,,
169,02/08/2021 00:00:00,5.06,0,,,,
170,02/08/2021 00:10:00,4.59,0,,,,
171,02/08/2021 00:20:00,4.20,0,,,,
172,02/08/2021 00:30:00,3.94,0,,,,
173,02/08/2021 00:40:00,4.24,0,,,,
174,02/08/2021 00:50:00,4.50,0,,,,
175,02/08/2021 01:00:00,4.80,0,,,,
176,02/08/2021 01:10:00,5.02,0,,,,
177,02/08/2021 01:20:00,5.19,0,,,,
178,02/08/2021 01:30:00,5.27,0,,,,
179,02/08/2021 01:40:00,5.40,0,,,,
180,02/08/2021 01:50:00,5.45,0,,,,
181,02/08/2021 02:00:00,5.53,0,,,,
182,02/08/2021 02:10:00,5.53,0,,,,
183,02/08/2021 02:20:00,5.57,0,,,,
184,02/08/2021 02:30:00,5.57,0,,,,
185,02/08/2021 02:40:00,5.62,0,,,,
186,02/08/2021 02:50:00,5.66,0,,,,
187,02/08/2021 03:00:00,5.70,0,,,,
188,02/08/2021 03:10:00,5.70,0,,,,
189,02/08/2021 03:20:00,5.66,0,,,,
190,02/08/2021 03:30:00,5.66,0,,,,
191,02/08/2021 03:40:00,5.66,0,,,,
192,02/08/2021 03:50:00,5.66,0,,,,
193,02/08/2021 04:00:00,5.62,0,,,,
194,02/08/2021 04:10:00,5.66,0,,,,
195,02/08/2021 04:20:00,5.70,0,,,,
196,02/08/2021 04:30:00,5.66,0,,,,
197,02/08/2021 04:40:00,5.15,0,,,,
198,02/08/2021 04:50:00,4.72,0,,,,
199,02/08/2021 05:00:00,4.42,0,,,,
200,02/08/2021 05:10:00,4.20,0,,,,
201,02/08/2021 05:20:00,4.07,0,,,,
202,02/08/2021 05:30:00,3.94,0,,,,
203,02/08/2021 05:40:00,4.33,0,,,,
204,02/08/2021 05:50:00,4.80,0,,,,
205,02/08/2021 06:00:00,5.19,0,,,,
206,02/08/2021 06:10:00,5.45,103,,,,
207,02/08/2021 06:20:00,5.66,212,,,,
208,02/08/2021 06:30:00,5.32,314,,,,
209,02/08/2021 06:40:00,4.89,415,,,,
210,02/08/2021 06:50:00,4.67,528,,,,
211,02/08/2021 07:00:00,4.46,640,,,,
212,02/08/2021 07:10:00,4.33,740,,,,
213,02/08/2021 07:20:00,4.20,884,,,,
214,02/08/2021 07:30:00,4.16,1080,,,,
215,02/08/2021 07:40:00,4.03,1289,,,,
216,02/08/2021 07:50:00,3.99,1466,,,,
217,02/08/2021 08:00:00,4.37,1645,,,,
218,02/08/2021 08:10:00,4.84,1838,,,,
219,02/08/2021 08:20:00,5.15,2001,,,,
220,02/08/2021 08:30:00,5.49,2183,,,,
221,02/08/2021 08:40:00,5.66,2363,,,,
222,02/08/2021 08:50:00,5.45,2559,,,,
223,02/08/2021 09:00:00,5.02,2689,,,,
224,02/08/2021 09:10:00,4.76,2839,,,,
225,02/08/2021 09:20:00,4.46,3007,,,,
226,02/08/2021 09:30:00,4.24,3165,,,,
227,02/08/2021 09:40:00,4.12,3333,,,,
228,02/08/2021 09:50:00,4.12,3493,,,,
229,02/08/2021 10:00:00,4.63,3635,,,,
230,02/08/2021 10:10:00,5.02,3662,,,,
231,02/08/2021 10:20:00,5.27,3639,,,,
232,02/08/2021 10:30:00,5.49,3639,,,,
233,02/08/2021 10:40:00,5.70,3656,,,,
234,02/08/2021 10:50:00,5.75,3645,,,,
235,02/08/2021 11:00:00,5.40,3635,,,,
236,02/08/2021 11:10:00,4.97,3639,,,,
237,02/08/2021 11:20:00,4.59,3652,,,,
238,02/08/2021 11:30:00,4.37,3639,,,,
239,02/08/2021 11:40:00,4.80,3631,,,,
240,02/08/2021 11:50:00,5.10,3631,,,,
241,02/08/2021 12:00:00,5.32,3631,,,,
242,02/08/2021 12:10:00,5.53,3631,,,,
243,02/08/2021 12:20:00,5.70,3625,,,,
244,02/08/2021 12:30:00,5.75,3639,,,,
245,02/08/2021 12:40:00,5.45,3622,,,,
246,02/08/2021 12:50:00,4.93,3635,,,,
247,02/08/2021 13:00:00,4.63,3631,,,,
248,02/08/2021 13:10:00,4.42,3625,,,,
249,02/08/2021 13:20:00,4.59,3625,,,,
250,02/08/2021 13:30:00,4.97,3629,,,,
251,02/08/2021 13:40:00,5.27,3622,,,,
252,02/08/2021 13:50:00,5.49,3629,,,,
253,02/08/2021 14:00:00,5.62,3629,,,,
254,02/08/2021 14:10:00,5.75,3615,,,,
255,02/08/2021 14:20:00,5.32,3619,,,,
256,02/08/2021 14:30:00,4.89,3622,,,,
257,02/08/2021 14:40:00,4.59,3619,,,,
258,02/08/2021 14:50:00,4.37,3622,,,,
259,02/08/2021 15:00:00,4.67,3622,,,,
260,02/08/2021 15:10:00,5.06,3615,,,,
261,02/08/2021 15:20:00,5.40,3615,,,,
262,02/08/2021 15:30:00,5.57,3612,,,,
263,02/08/2021 15:40:00,5.66,3612,,,,
264,02/08/2021 15:50:00,5.27,3606,,,,
265,02/08/2021 16:00:00,4.93,3615,,,,
266,02/08/2021 16:10:00,4.67,3619,,,,
267,02/08/2021 16:20:00,4.50,3615,,,,
268,02/08/2021 16:30:00,4.33,3615,,,,
269,02/08/2021 16:40:00,4.76,3608,,,,
270,02/08/2021 16:50:00,5.15,3612,,,,
271,02/08/2021 17:00:00,5.45,3615,,,,
272,02/08/2021 17:10:00,5.66,3608,,,,
273,02/08/2021 17:20:00,5.45,3635,,,,
274,02/08/2021 17:30:00,5.06,3635,,,,
275,02/08/2021 17:40:00,4.80,3625,,,,
276,02/08/2021 17:50:00,4.50,3635,,,,
277,02/08/2021 18:00:00,4.42,3631,,,,
278,02/08/2021 18:10:00,4.63,3461,,,,
279,02/08/2021 18:20:00,5.02,3310,,,,
280,02/08/2021 18:30:00,5.36,3142,,,,
281,02/08/2021 18:40:00,5.62,2996,,,,
282,02/08/2021 18:50:00,5.49,2836,,,,
283,02/08/2021 19:00:00,5.10,2660,,,,
284,02/08/2021 19:10:00,4.76,2504,,,,
285,02/08/2021 19:20:00,4.63,2351,,,,
286,02/08/2021 19:30:00,4.37,2152,,,,
287,02/08/2021 19:40:00,4.33,1945,,,,
288,02/08/2021 19:50:00,4.59,1763,,,,
289,02/08/2021 20:00:00,5.06,1588,,,,
290,02/08/2021 20:10:00,5.36,1414,,,,
291,02/08/2021 20:20:00,5.66,1224,,,,
292,02/08/2021 20:30:00,5.27,1035,,,,
293,02/08/2021 20:40:00,4.89,881,,,,
294,02/08/2021 20:50:00,4.63,739,,,,
295,02/08/2021 21:00:00,4.42,633,,,,
296,02/08/2021 21:10:00,4.24,525,,,,
297,02/08/2021 21:20:00,4.76,420,,,,
298,02/08/2021 21:30:00,5.10,316,,,,
299,02/08/2021 21:40:00,5.32,216,,,,
