"","Date.Time","Probe1","Temp1","Probe2","Temp2","Probe3","Temp3","Probe4","Temp4","Probe5","Temp5","Probe6","Temp6","Probe7","Temp7","Probe8","Temp8","Probe9","Temp9","Probe10","Temp10","Probe11","Temp11","Probe12","Temp12","Probe15","Temp15","Probe16","Temp16","Probe17","Temp17","Probe18","Temp18"
"4",2021-02-17 00:00:00,"T_1","5.9","T_2","5.7","T_3","8.7","T_4","8.6","T_5","5.3","T_6","8.5","T_7","8.5","T_8","6.0","T_9","8.3","T_10","6.1","T_11","8.6","T_12","5.5","T_15","8.5","T_16","6.2","T_17","8.3","T_18","6.3"
"5",2021-02-17 00:01:00,"T_1","6.0","T_2","5.7","T_3","8.7","T_4","8.6","T_5","5.4","T_6","8.5","T_7","8.5","T_8","6.0","T_9","8.3","T_10","6.1","T_11","8.6","T_12","5.5","T_15","8.5","T_16","6.2","T_17","8.3","T_18","6.3"
"6",2021-02-17 00:02:00,"T_1","6.0","T_2","5.7","T_3","8.7","T_4","8.5","T_5","5.4","T_6","8.5","T_7","8.5","T_8","5.9","T_9","8.3","T_10","6.1","T_11","8.6","T_12","5.5","T_15","8.5","T_16","6.2","T_17","8.4","T_18","6.3"
"7",2021-02-17 00:03:00,"T_1","6.0","T_2","5.7","T_3","8.6","T_4","8.5","T_5","5.5","T_6","8.5","T_7","8.5","T_8","5.9","T_9","8.3","T_10","6.1","T_11","8.6","T_12","5.6","T_15","8.5","T_16","6.2","T_17","8.5","T_18","6.2"
"8",2021-02-17 00:04:00,"T_1","6.0","T_2","5.7","T_3","8.6","T_4","8.5","T_5","5.5","T_6","8.5","T_7","8.5","T_8","5.8","T_9","8.4","T_10","6.1","T_11","8.6","T_12","5.6","T_15","8.5","T_16","6.2","T_17","8.5","T_18","6.2"
"9",2021-02-17 00:05:00,"T_1","6.0","T_2","5.7","T_3","8.6","T_4","8.5","T_5","5.5","T_6","8.5","T_7","8.4","T_8","5.8","T_9","8.4","T_10","6.1","T_11","8.5","T_12","5.6","T_15","8.5","T_16","6.2","T_17","8.5","T_18","6.2"
"10",2021-02-17 00:06:00,"T_1","6.0","T_2","5.7","T_3","8.6","T_4","8.5","T_5","5.5","T_6","8.5","T_7","8.4","T_8","5.8","T_9","8.5","T_10","6.2","T_11","8.5","T_12","5.6","T_15","8.5","T_16","6.2","T_17","8.6","T_18","6.1"
"11",2021-02-17 00:07:00,"T_1","6.1","T_2","5.7","T_3","8.6","T_4","8.5","T_5","5.5","T_6","8.5","T_7","8.4","T_8","5.8","T_9","8.6","T_10","6.2","T_11","8.5","T_12","5.7","T_15","8.5","T_16","6.3","T_17","8.6","T_18","6.1"
"12",2021-02-17 00:08:00,"T_1","6.1","T_2","5.7","T_3","8.5","T_4","8.5","T_5","5.5","T_6","8.5","T_7","8.4","T_8","5.8","T_9","8.6","T_10","6.2","T_11","8.5","T_12","5.7","T_15","8.5","T_16","6.3","T_17","8.6","T_18","6.1"
"13",2021-02-17 00:09:00,"T_1","6.1","T_2","5.7","T_3","8.4","T_4","8.5","T_5","5.6","T_6","8.5","T_7","8.5","T_8","5.7","T_9","8.6","T_10","6.2","T_11","8.5","T_12","5.7","T_15","8.6","T_16","6.3","T_17","8.6","T_18","6.0"
