Well,562
A1,2.035
B1,1.959
C1,1.608
D1,1.708
E1,1.173
F1,1.222
G1,0.967
H1,1.048
A2,0.653
B2,0.66
C2,0.385
D2,0.4
E2,0.234
F2,0.239
G2,0.108
H2,0.108
A3,0.078
B3,0.079
C3,0.531
D3,0.495
E3,0.387
F3,0.386
G3,0.424
H3,0.419
A4,0.658
B4,0.59
C4,1.691
D4,1.566
E4,0.636
F4,0.676
G4,0.424
H4,0.45
A5,0.24
B5,0.229
C5,0.267
D5,0.267
E5,0.39
F5,0.415
G5,1.105
H5,1.156
A6,0.477
B6,0.471
C6,0.196
D6,0.178
E6,0.213
F6,0.199
G6,0.263
H6,0.252
A7,0.325
B7,0.312
C7,0.68
D7,0.676
E7,0.307
F7,0.296
G7,0.047
H7,0.045
A8,0.045
B8,0.044
C8,0.047
D8,0.044
E8,0.047
F8,0.046
G8,0.046
H8,0.045
A9,0.047
B9,0.046
C9,0.047
D9,0.045
E9,0.046
F9,0.047
G9,0.049
H9,0.046
A10,0.044
B10,0.045
C10,0.046
D10,0.044
E10,0.045
F10,0.045
G10,0.047
H10,0.045
A11,0.044
B11,0.046
C11,0.046
D11,0.044
E11,0.046
F11,0.047
G11,0.045
H11,0.047
A12,0.046
B12,0.044
C12,0.045
D12,0.045
E12,0.045
F12,0.045
G12,0.046
H12,0.045
