Well,562,
A1,1.997,
B1,1.933,
C1,1.534,
D1,1.547,
E1,1.017,
F1,1.13,
G1,0.866,
H1,0.83,
A2,0.643,
B2,0.627,
C2,0.361,
D2,0.336,
E2,0.217,
F2,0.219,
G2,0.099,
H2,0.106,
A3,0.079,
B3,0.082,
C3,1.238,
D3,1.163,
E3,0.547,
F3,0.556,
G3,0.45,
H3,0.444,
A4,0.781,
B4,0.766,
C4,0.901,
D4,0.857,
E4,0.326,
F4,0.31,
G4,0.729,
H4,0.68,
A5,1.07,
B5,0.981,
C5,1.08,
D5,0.945,
E5,0.474,
F5,0.485,
G5,1.033,
H5,1.106,
A6,0.27,
B6,0.257,
C6,1.364,
D6,1.405,
E6,1.66,
F6,1.667,
G6,0.333,
H6,0.321,
A7,0.662,
B7,0.627,
C7,0.212,
D7,0.219,
E7,0.833,
F7,0.821,
G7,0.354,
H7,0.354,
A8,0.575,
B8,0.56,
C8,0.309,
D8,0.302,
E8,0.358,
F8,0.38,
G8,1.719,
H8,1.723,
A9,0.826,
B9,0.773,
C9,0.609,
D9,0.598,
E9,0.366,
F9,0.361,
G9,1.948,
H9,1.813,
A10,1.123,
B10,1.04,
C10,0.623,
D10,0.575,
E10,0.831,
F10,0.822,
G10,0.564,
H10,0.502,
A11,0.665,
B11,0.606,
C11,0.324,
D11,0.321,
E11,0.319,
F11,0.282,
G11,0.315,
H11,0.307,
A12,0.329,
B12,0.326,
C12,0.52,
D12,0.539,
E12,0.485,
F12,0.434,
G12,0.367,
H12,0.36,
