Well,ID
A1,StandardA
B1,StandardA
C1,StandardB
D1,StandardB
E1,StandardC
F1,StandardC
G1,StandardD
H1,StandardD
A2,StandardE
B2,StandardE
C2,StandardF
D2,StandardF
E2,StandardG
F2,StandardG
G2,StandardH
H2,StandardH
A3,StandardI
B3,StandardI
C3,FLD-0003
D3,FLD-0003
E3,AST-2375
F3,AST-2375
G3,AST-2198
H3,AST-2198
A4,AST-1080
B4,AST-1080
C4,FLD-2305
D4,FLD-2305
E4,AST-2669
F4,AST-2669
G4,AST-1649
H4,AST-1649
A5,FLD-1693
B5,FLD-1693
C5,AST-2020
D5,AST-2020
E5,AST-2079
F5,AST-2079
G5,AST-2520
H5,AST-2520
A6,AST-2044
B6,AST-2044
C6,FLD-1655
D6,FLD-1655
E6,FLD-0012
F6,FLD-0012
G6,AST-1416
H6,AST-1416
A7,AST-2563
B7,AST-2563
C7,AST-1692
D7,AST-1692
E7,FLD-0009
F7,FLD-0009
G7,AST-2060
H7,AST-2060
A8,AST-2197
B8,AST-2197
C8,AST-2755
D8,AST-2755
E8,AST-2360
F8,AST-2360
G8,FLD-0031
H8,FLD-0031
A9,AST-2209
B9,AST-2209
C9,AST-1562
D9,AST-1562
E9,AST-2412
F9,AST-2412
G9,FLD-0013
H9,FLD-0013
A10,AST-1337
B10,AST-1337
C10,AST-1109
D10,AST-1109
E10,AST-1184
F10,AST-1184
G10,AST-1458
H10,AST-1458
A11,AST-2873
B11,AST-2873
C11,AST-1145
D11,AST-1145
E11,AST-1412
F11,AST-1412
G11,AST-2729
H11,AST-2729
A12,AST-1497
B12,AST-1497
C12,FLD-0033
D12,FLD-0033
E12,AST-1167
F12,AST-1167
G12,AST-1409
H12,AST-1409
