Well,562
A1,1.796
B1,2.067
C1,1.635
D1,1.632
E1,1.132
F1,1.127
G1,0.927
H1,0.927
A2,0.641
B2,0.627
C2,0.358
D2,0.357
E2,0.22
F2,0.223
G2,0.099
H2,0.1
A3,0.077
B3,0.078
C3,0.491
D3,0.476
E3,0.796
F3,0.791
G3,1.704
H3,1.7
A4,1.607
B4,1.588
C4,0.88
D4,0.865
E4,0.653
F4,0.664
G4,1.04
H4,1.035
A5,1.017
B5,0.965
C5,0.269
D5,0.256
E5,0.397
F5,0.413
G5,0.647
H5,0.66
A6,0.727
B6,0.677
C6,0.702
D6,0.666
E6,1.57
F6,1.531
G6,2.271
H6,2.291
A7,1.26
B7,1.159
C7,1.585
D7,1.579
E7,0.932
F7,0.917
G7,0.721
H7,0.696
A8,0.467
B8,0.47
C8,0.047
D8,0.044
E8,0.046
F8,0.048
G8,0.046
H8,0.045
A9,0.046
B9,0.045
C9,0.046
D9,0.044
E9,0.045
F9,0.046
G9,0.047
H9,0.047
A10,0.045
B10,0.045
C10,0.045
D10,0.044
E10,0.045
F10,0.046
G10,0.045
H10,0.045
A11,0.044
B11,0.044
C11,0.047
D11,0.045
E11,0.045
F11,0.045
G11,0.046
H11,0.045
A12,0.046
B12,0.045
C12,0.045
D12,0.045
E12,0.045
F12,0.046
G12,0.046
H12,0.045
