Well,ID,Partner 
A1,StandardA,StandardA
B1,StandardA,StandardA
C1,StandardB,StandardB
D1,StandardB,StandardB
E1,StandardC,StandardC
F1,StandardC,StandardC
G1,StandardD,StandardD
H1,StandardD,StandardD
A2,StandardE,StandardE
B2,StandardE,StandardE
C2,StandardF,StandardF
D2,StandardF,StandardF
E2,StandardG,StandardG
F2,StandardG,StandardG
G2,StandardH,StandardH
H2,StandardH,StandardH
A3,StandardI,StandardI
B3,StandardI,StandardI
C3,AST-1087_holo,Holobiont
D3,AST-1087_holo,Holobiont
E3,AST-1159_holo,Holobiont
F3,AST-1159_holo,Holobiont
G3,AST-1492_holo,Holobiont
H3,AST-1492_holo,Holobiont
A4,AST-1273_holo,Holobiont
B4,AST-1273_holo,Holobiont
C4,FLD-0029_holo,Holobiont
D4,FLD-0029_holo,Holobiont
E4,AST-2563_holo,Holobiont
F4,AST-2563_holo,Holobiont
G4,AST-1087_host,Host
H4,AST-1087_host,Host
A5,AST-1159_host,Host
B5,AST-1159_host,Host
C5,AST-1492_host,Host
D5,AST-1492_host,Host
E5,AST-1273_host,Host
F5,AST-1273_host,Host
G5,FLD-0029_host,Host
H5,FLD-0029_host,Host
A6,AST-2653_host,Host
B6,AST-2653_host,Host
C6,AST-1087_sym,Symbiont
D6,AST-1087_sym,Symbiont
E6,AST-1159_sym,Symbiont
F6,AST-1159_sym,Symbiont
G6,AST-1492_sym,Symbiont
H6,AST-1492_sym,Symbiont
A7,AST-1273_sym,Symbiont
B7,AST-1273_sym,Symbiont
C7,FLD-0029_sym,Symbiont
D7,FLD-0029_sym,Symbiont
E7,AST-2563_sym,Symbiont
F7,AST-2563_sym,Symbiont
G7,NA,NA
H7,NA,NA
A8,NA,NA
B8,NA,NA
C8,NA,NA
D8,NA,NA
E8,NA,NA
F8,NA,NA
G8,NA,NA
H8,NA,NA
A9,NA,NA
B9,NA,NA
C9,NA,NA
D9,NA,NA
E9,NA,NA
F9,NA,NA
G9,NA,NA
H9,NA,NA
A10,NA,NA
B10,NA,NA
C10,NA,NA
D10,NA,NA
E10,NA,NA
F10,NA,NA
G10,NA,NA
H10,NA,NA
A11,NA,NA
B11,NA,NA
C11,NA,NA
D11,NA,NA
E11,NA,NA
F11,NA,NA
G11,NA,NA
H11,NA,NA
A12,NA,NA
B12,NA,NA
C12,NA,NA
D12,NA,NA
E12,NA,NA
F12,NA,NA
G12,NA,NA
H12,NA,NA
