#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Host Connected,Button Down,Button Up,End of File
1,01/26/2021 15:26:21,,,Logged,,,
2,01/26/2021 18:00:00,3.69,0,,,,
3,01/26/2021 18:10:00,3.69,0,,,,
4,01/26/2021 18:20:00,3.69,0,,,,
5,01/26/2021 18:30:00,3.69,0,,,,
6,01/26/2021 18:40:00,3.73,0,,,,
7,01/26/2021 18:50:00,3.82,0,,,,
8,01/26/2021 19:00:00,3.86,0,,,,
9,01/26/2021 19:10:00,3.82,0,,,,
10,01/26/2021 19:20:00,3.82,0,,,,
11,01/26/2021 19:30:00,3.73,0,,,,
12,01/26/2021 19:40:00,3.69,0,,,,
13,01/26/2021 19:50:00,3.64,0,,,,
14,01/26/2021 20:00:00,3.69,0,,,,
15,01/26/2021 20:10:00,3.60,0,,,,
16,01/26/2021 20:20:00,3.60,0,,,,
17,01/26/2021 20:30:00,3.60,0,,,,
18,01/26/2021 20:40:00,3.69,0,,,,
19,01/26/2021 20:50:00,3.64,0,,,,
20,01/26/2021 21:00:00,3.69,0,,,,
21,01/26/2021 21:10:00,3.73,0,,,,
22,01/26/2021 21:20:00,3.73,0,,,,
23,01/26/2021 21:30:00,3.77,0,,,,
24,01/26/2021 21:40:00,3.82,0,,,,
25,01/26/2021 21:50:00,3.77,0,,,,
26,01/26/2021 22:00:00,3.73,0,,,,
27,01/26/2021 22:10:00,3.69,0,,,,
28,01/26/2021 22:20:00,3.77,0,,,,
29,01/26/2021 22:30:00,3.69,0,,,,
30,01/26/2021 22:40:00,3.69,0,,,,
31,01/26/2021 22:50:00,3.69,0,,,,
32,01/26/2021 23:00:00,3.64,0,,,,
33,01/26/2021 23:10:00,3.69,0,,,,
34,01/26/2021 23:20:00,3.64,0,,,,
35,01/26/2021 23:30:00,3.64,0,,,,
36,01/26/2021 23:40:00,3.64,0,,,,
37,01/26/2021 23:50:00,3.60,0,,,,
38,01/27/2021 00:00:00,3.60,0,,,,
39,01/27/2021 00:10:00,3.64,0,,,,
40,01/27/2021 00:20:00,3.64,0,,,,
41,01/27/2021 00:30:00,3.60,0,,,,
42,01/27/2021 00:40:00,3.56,0,,,,
43,01/27/2021 00:50:00,3.64,0,,,,
44,01/27/2021 01:00:00,3.64,0,,,,
45,01/27/2021 01:10:00,3.64,0,,,,
46,01/27/2021 01:20:00,3.64,0,,,,
47,01/27/2021 01:30:00,3.60,0,,,,
48,01/27/2021 01:40:00,3.69,0,,,,
49,01/27/2021 01:50:00,3.64,0,,,,
50,01/27/2021 02:00:00,3.69,0,,,,
51,01/27/2021 02:10:00,3.64,0,,,,
52,01/27/2021 02:20:00,3.60,0,,,,
53,01/27/2021 02:30:00,3.56,0,,,,
54,01/27/2021 02:40:00,3.52,0,,,,
55,01/27/2021 02:50:00,3.56,0,,,,
56,01/27/2021 03:00:00,3.52,0,,,,
57,01/27/2021 03:10:00,3.52,0,,,,
58,01/27/2021 03:20:00,3.60,0,,,,
59,01/27/2021 03:30:00,3.56,0,,,,
60,01/27/2021 03:40:00,3.60,0,,,,
61,01/27/2021 03:50:00,3.56,0,,,,
62,01/27/2021 04:00:00,3.56,0,,,,
63,01/27/2021 04:10:00,3.60,0,,,,
64,01/27/2021 04:20:00,3.60,0,,,,
65,01/27/2021 04:30:00,3.64,0,,,,
66,01/27/2021 04:40:00,3.60,0,,,,
67,01/27/2021 04:50:00,3.64,0,,,,
68,01/27/2021 05:00:00,3.64,0,,,,
69,01/27/2021 05:10:00,3.60,0,,,,
70,01/27/2021 05:20:00,3.64,0,,,,
71,01/27/2021 05:30:00,3.60,0,,,,
72,01/27/2021 05:40:00,3.64,0,,,,
73,01/27/2021 05:50:00,3.64,0,,,,
74,01/27/2021 06:00:00,3.73,0,,,,
75,01/27/2021 06:10:00,3.82,0,,,,
76,01/27/2021 06:20:00,3.82,0,,,,
