Well ,485,Run
C9,0.158,4
D9,0.158,4
E9,0.134,4
F9,0.128,4
G9,0.193,4
H9,0.192,4
A10,0.094,4
B10,0.1,4
C10,0.09,4
D10,0.092,4
E10,0.095,4
F10,0.094,4
G10,0.128,4
H10,0.15,4
A11,0.122,4
B11,0.128,4
C11,0.115,4
D11,0.137,4
E11,0.124,4
F11,0.124,4
G11,0.067,4
H11,0.07,4
A12,0.092,4
B12,0.099,4
C12,0.1,4
D12,0.102,4
E12,0.072,4
F12,0.084,4
G12,0.115,4
H12,0.114,4
A1,0.069,5
B1,0.069,5
C1,0.057,5
D1,0.056,5
E1,0.072,5
F1,0.072,5
G1,0.087,5
H1,0.088,5
A2,0.071,5
B2,0.08,5
C2,0.124,5
D2,0.124,5
E2,0.163,5
F2,0.161,5
G2,0.186,5
H2,0.211,5
A3,0.455,5
B3,0.458,5
C3,0.916,5
D3,0.905,5
E3,0.151,5
F3,0.155,5
G3,0.07,5
H3,0.061,5
A4,0.101,5
B4,0.103,5
C4,0.19,5
D4,0.204,5
E4,0.127,5
F4,0.125,5
G4,0.108,5
H4,0.109,5
A5,0.092,5
B5,0.092,5
C5,0.115,5
D5,0.12,5
E5,0.093,5
F5,0.107,5
G5,0.082,5
H5,0.079,5
A6,0.273,5
B6,0.271,5
C6,0.13,5
D6,0.132,5
E6,0.126,5
F6,0.12,5
G6,0.046,5
H6,0.046,5
A7,0.047,5
B7,0.046,5
C7,0.045,5
D7,0.046,5
E7,0.046,5
F7,0.046,5
G7,0.046,5
H7,0.045,5
A8,0.047,5
B8,0.046,5
C8,0.046,5
D8,0.045,5
E8,0.046,5
F8,0.046,5
G8,0.046,5
H8,0.047,5
A9,0.048,5
B9,0.047,5
C9,0.047,5
D9,0.045,5
E9,0.047,5
F9,0.046,5
G9,0.047,5
H9,0.047,5
A10,0.047,5
B10,0.047,5
C10,0.046,5
D10,0.046,5
E10,0.046,5
F10,0.047,5
G10,0.046,5
H10,0.046,5
A11,0.047,5
B11,0.046,5
C11,0.046,5
D11,0.049,5
E11,0.046,5
F11,0.046,5
G11,0.046,5
H11,0.046,5
A12,0.047,5
B12,0.046,5
C12,0.046,5
D12,0.046,5
E12,0.045,5
F12,0.046,5
G12,0.046,5
H12,0.047,5
