,kallisto.trimmed.AST-1065_R1_001.fastq.gz,kallisto.trimmed.AST-1105_R1_001.fastq.gz,kallisto.trimmed.AST-1147_R1_001.fastq.gz,kallisto.trimmed.AST-1412_R1_001.fastq.gz,kallisto.trimmed.AST-1560_R1_001.fastq.gz,kallisto.trimmed.AST-1567_R1_001.fastq.gz,kallisto.trimmed.AST-1617_R1_001.fastq.gz,kallisto.trimmed.AST-1722_R1_001.fastq.gz,kallisto.trimmed.AST-2000_R1_001.fastq.gz,kallisto.trimmed.AST-2007_R1_001.fastq.gz,kallisto.trimmed.AST-2302_R1_001.fastq.gz,kallisto.trimmed.AST-2360_R1_001.fastq.gz,kallisto.trimmed.AST-2398_R1_001.fastq.gz,kallisto.trimmed.AST-2404_R1_001.fastq.gz,kallisto.trimmed.AST-2412_R1_001.fastq.gz,kallisto.trimmed.AST-2512_R1_001.fastq.gz,kallisto.trimmed.AST-2523_R1_001.fastq.gz,kallisto.trimmed.AST-2563_R1_001.fastq.gz,kallisto.trimmed.AST-2729_R1_001.fastq.gz,kallisto.trimmed.AST-2755_R1_001.fastq.gz
::chromosome_12:20296526-20319995,769.473,0,525.709,48.3149,7.52847,100.632,219.688,461.178,40.6331,203.878,279.292,162.226,346.942,378.964,224.191,52.7782,156.033,195.15,13.1343,14.3161
::chromosome_6:29356868-29371387,360.345,0,423.115,42.166,10.0033,98.3449,304.06,370.921,20.024,345.33,232.623,227.694,392.476,421.984,316.051,52.12,308.736,227.023,4,21.0088
::chromosome_3:20940789-20941659,62,0,54,16,1,5,8,61,11,29,133,8,22,29,16,7,26,26,8,3
::chromosome_2:18191957-18194876,17,0,11.02,3,0,5,14.0067,5,0,12.0366,12,14.0109,10,52,24.0639,0,10,20.0282,0,6
::chromosome_5:20106342-20106789,0,0,2,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0
::chromosome_7:26150628-26151129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_9:7380877-7412046,30.7079,0,28.45,22.6495,0,11.1398,6.17335,31.3039,34.3554,30.0026,28.0653,18.3563,23.8639,35.6977,7.1087,12.2218,20.9296,31.2571,1.05613,2.39921
::chromosome_11:7880796-7885872,48,0,69,43,8,88,34,42,6,32,57,26,55,35,31,5,47,36,20,3
::chromosome_14:27997099-27997438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:7640514-7646905,66.4122,0,33.5323,35.8453,1.00819,4.82524,32.3987,10.0867,45.0827,31.5356,53.3509,36.3053,48.3414,90.2281,41.4079,10.7336,39.9878,35.9527,0,3.19593
