,kallisto.trimmed.AST-1065_R1_001.fastq.gz,kallisto.trimmed.AST-1105_R1_001.fastq.gz,kallisto.trimmed.AST-1147_R1_001.fastq.gz,kallisto.trimmed.AST-1412_R1_001.fastq.gz,kallisto.trimmed.AST-1560_R1_001.fastq.gz,kallisto.trimmed.AST-1567_R1_001.fastq.gz,kallisto.trimmed.AST-1617_R1_001.fastq.gz,kallisto.trimmed.AST-1722_R1_001.fastq.gz,kallisto.trimmed.AST-2000_R1_001.fastq.gz,kallisto.trimmed.AST-2007_R1_001.fastq.gz,kallisto.trimmed.AST-2302_R1_001.fastq.gz,kallisto.trimmed.AST-2360_R1_001.fastq.gz,kallisto.trimmed.AST-2398_R1_001.fastq.gz,kallisto.trimmed.AST-2404_R1_001.fastq.gz,kallisto.trimmed.AST-2412_R1_001.fastq.gz,kallisto.trimmed.AST-2512_R1_001.fastq.gz,kallisto.trimmed.AST-2523_R1_001.fastq.gz,kallisto.trimmed.AST-2563_R1_001.fastq.gz,kallisto.trimmed.AST-2729_R1_001.fastq.gz,kallisto.trimmed.AST-2755_R1_001.fastq.gz
::chromosome_8:24674136-24684862,5.86547,0,11.4019,16.0833,2.0121,0,9.04365,16.1827,31.8878,5.46224,36.1351,9.23818,19.3599,13.4665,3.01944,3.18579,12.0174,14.2849,4.03409,2.04753
::chromosome_14:12968667-12977205,158.589,0,407.006,32.8684,2.02742,81.0487,201.61,161.357,14.3613,188.208,194.081,148.393,292.367,201.77,217.04,15.0477,167.762,209.896,4.08001,30.1781
::chromosome_10:13043987-13047608,23,0,23,3,0,7,7,63,0,7,5,16,23,48,10,3,12,3,0,1
::chromosome_14:45400267-45401858,20,0,18.2112,34.6914,3,1,5.22489,24.9382,7,44.4672,17.2576,4.12292,14.9722,30.0798,6,2,4.4647,31.9332,0,0.514381
::chromosome_2:9768938-9779966,1501.97,0,2757.06,393.753,68.7056,595.479,1507.05,2348.16,271.626,1368.68,1507.82,882.737,1765.81,2525.89,1368.62,279.917,1332.83,1399.04,112.633,61.3461
::chromosome_12:35895668-35895968,1,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0
::chromosome_6:15566429-15570405,248.24,0,132.868,192.996,3.01784,22.2266,125.193,47.372,37.0985,363.919,282.434,58.5783,236.831,33.8001,154.572,8,129.967,130.054,65.8576,11.0208
::chromosome_7:7260241-7262681,709.885,0,237.425,155,12,59.0456,103.349,458.103,67.7211,630.402,382.895,217.289,339.183,240.712,574.645,46.3678,533,261.118,47.2494,53.6768
::chromosome_12:34607086-34620309,50.5999,0,102.194,123.815,8.36936,22.107,60.666,107.315,39.4938,75.9045,63.3333,38.7909,38.7068,128.465,51.6366,14.4215,66.408,50.1036,2.19999,4.12238
::chromosome_7:10081427-10081897,2.51474,0,2.97671,1.26358,0,2.44712,5.74211,0,0,4,0,0,2.25504,12.3631,3.71978,0,0,0,0,0
::chromosome_12:20977441-20982285,2.0143,0,12.0227,0,0,1.00064,22.0064,3.01572,25,10.0514,3.00081,2.00681,0,1.00381,6.00209,0,1.00425,9.04503,0,1
::chromosome_14:12213788-12239146,322.684,0,731.607,330.42,192.009,239.731,409.116,757.646,197.401,268.931,316.388,246.595,702.648,367.466,221.767,250.809,356.981,307.309,87.9646,8.82881
::chromosome_14:5063721-5065437,0,0,0,4,0,0,2,13,0,1,7,4,1,2,0,4,0,0,0,0
::chromosome_5:21131326-21131629,45,0,52,63,0,50,93,48,1,79,29,100,146,151,11,10,39,58,6,7
::chromosome_10:8028572-8029433,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0
::chromosome_14:22109403-22109739,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
::chromosome_9:6624165-6625317,37.6416,0,33.8326,0,11.3061,35.5002,44.9006,14.1651,11.4495,32.4655,11.1737,10.4905,10.5673,40.5753,7.78048,5.95378,34.3534,27.9327,3.05664,0.935364
::chromosome_12:11921416-11922103,0,0,0,0,0,1.15766,2,2,0,1.34785,0,1.39167,0,0,0,0,0,0,0,0
::chromosome_11:19411037-19423734,655.48,0,172.019,406.626,18.8231,29.1276,407.633,57.6745,32.8103,166.322,127.779,20.3017,74.1067,9.13417,213.655,63.6349,80.7097,645.962,100.867,40.7541
::chromosome_14:9231933-9241163,267.423,0,234.797,193.638,3.29694,176.498,128.904,313.856,119.115,288.829,176.687,117.479,215.752,451.799,237.216,29.4081,116.712,150.631,31.0005,23.0008
::chromosome_5:13228077-13233400,120.522,0,546.944,84.5322,6.04505,92.0721,182.69,331.318,41.06,275.989,159.18,121.029,303.28,177.019,159.843,24.4898,132.442,106.926,22.2547,0
::chromosome_11:11094925-11099433,0,0,0,0,1.26085,0,0,1.94933,4.69191,0,2.59324,0,0,0,38.7433,0,0,7.28504,1.39957,0
::chromosome_12:31849946-31857780,146.823,0,223.573,37.0941,12,30,195.519,149.014,36,120.321,151.414,99.7153,132.682,167.469,56.7538,13.7068,88.9655,74.4494,8,4.04411
::chromosome_1:598926-616393,39.9591,0,121.816,3.8338,8.79395,101.716,60.2103,111.52,19.2424,24.3175,456.039,80.3824,81.28,35.6491,51.7744,8.29863,34.1593,107.422,9.44286,3.37621
::chromosome_14:28490573-28493677,0,0,0,0,0,0,5,0,5.59035,1,3,1,0,12,0,0,0,0,1,0
::chromosome_12:31584923-31593685,48.1955,0,120.176,107.418,0,45.2419,77.0472,150.166,13.0223,108,57.5132,28.4294,112.26,116.601,74.6323,8.0956,52.7492,101,1.61919,6
::chromosome_14:2934017-2936725,0,0,0,0,0,0,0,0,0,7.46849,1.12363,2.50431,14.8963,2.7096,2.17989,0,0,0,2.26253,0
::chromosome_14:18206051-18207028,0,0,0,14,0,0,8,4,0,0,0,3,0,0,0,6,1,1,0,0
::chromosome_10:33121573-33121915,1,0,0,0,0,0,0,0,0,3.42141,0,0,0,0,12.1154,0,0,1.03736,0,0
::chromosome_14:19263019-19263595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_12:20573788-20578317,411.865,0,517.805,248,1,56.1338,256.927,219.72,130.954,355.479,174.165,216.965,348.226,271.267,238.23,38.3742,198.905,146.567,58.1832,28.1995
::chromosome_12:4948884-4957389,152.987,0,300.311,82.3706,3.00671,52.7138,145.753,200.011,24.1723,244.126,200.992,78.4415,221.877,120.927,168.002,21.428,162.692,162.477,12.7522,23.3568
::chromosome_9:21429997-21433617,78.2333,0,86.0689,76.9904,1,36,56.1401,89.7312,43,63.0488,45.0272,27.0396,64.0442,68.1749,66,23.0649,57.2272,71.0346,5,5.1134
::chromosome_4:8326912-8330800,20.2375,0,29.5176,19.1927,6,14.4673,20.7714,31.3001,22.5943,25.7187,18.6353,28.2026,1.4373,12.8437,27.1097,1.16765,9.7701,10.3423,6.70549,0
::chromosome_11:7629033-7629453,4,0,0,0,0,1,0,2.66674,0,3.49414,0,1,0,0,0,0,0,0,1,0.330451
::chromosome_3:13138140-13140820,583.639,0,4280.18,625.532,64.2814,1140.94,1526.22,2315.75,186.215,904.389,1837.75,932.189,1964.93,1265.8,443.235,283.292,921.893,904.852,144.935,112.602
::chromosome_7:9198019-9204019,76.5107,0,125.135,28.0134,4.02836,13.002,71.0803,87.8152,52.6269,105,41.4662,21.1514,42.3215,87.2643,70.6355,11.1407,76.4968,74.4588,17,1
::chromosome_14:2470052-2470574,1,0,4,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0
::chromosome_12:4781522-4802686,625.028,0,1147.62,84.2114,19.5203,294.925,628.933,767.877,109.541,688.147,514.942,329.942,674.913,591.264,427.457,95.0372,601.855,373.645,23.7076,59.4182
::chromosome_14:44210982-44212767,26.2466,0,44.0253,7.08401,1,3.05357,34.5897,23.0391,8,65.0778,62.2613,26.2863,52.045,38.6033,31.0136,1.36694,36.276,16.2182,1,4
::chromosome_14:34605071-34607595,1,0,16,4,9,1,18,30,40,5,25.5439,4,10,13,11.0359,1,16,6.20144,5.10684,2
::chromosome_9:2879990-2884433,303,0,153,118,17,27.7641,242,160,63,347.473,280,165,228,122,177,32,377,356,32,23
::chromosome_6:24541871-24551190,849.299,0,1694.1,291.879,28.5602,334.552,924.55,1151.09,133.717,1153.19,1178.99,568,957.91,861.455,1225.03,152,1195.04,876.711,70.0031,110.739
::chromosome_8:13010540-13022717,86.1814,0,45.5645,17.5757,4.4648,19.6375,57.1655,9.38807,2.45424,63.4108,81.8353,24.7136,19.7097,51.4571,56.5377,9.03281,79.2799,47.2807,9.09488,2.01713
::chromosome_11:14220691-14223895,30,0,26,0,2,37,1,39,35,18,2,5,22,3,16,0,34,41,8,5
::chromosome_14:22658208-22663387,1,0,17.0999,5.00259,0,7,7,4.0013,24,20.6936,21.002,3,12,7,5.15261,1.00044,14,31,9,0
::chromosome_6:19550254-19551503,13.2846,0,49.9927,5.29567,1,0,66.7571,12.8989,13,30.88,18.9972,30.6785,25.0255,41.4248,27.3942,2,31.2769,4.89218,0,3.8427
::chromosome_11:19510157-19511479,11.2193,0,38.9058,6.18369,4.31897,13.4803,3.15404,7.1684,2.07988,14.6224,17.3422,4.44958,27.1482,25.3455,8.95167,3.19337,21.9017,14.0329,1.02458,5.01675
::chromosome_14:25014191-25015298,2,0,4,13,23,0,11,8,2,0,3,45,0,1,4,545.967,1,25,5,0
::chromosome_2:9766936-9767461,0,0,0,0.25,0,2,0,3.34465,0,0,2.03561,0,3.40153,6.47759,0,0,0,0,0,0
::chromosome_14:20965308-20967027,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0
::chromosome_14:299479-304015,29,0,27,5,0,6,14,13,0,16,43,24,22,151,44,0,27,43,4,6
::chromosome_13:733312-738795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_3:8538337-8539384,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
::chromosome_14:44770720-44776645,57.7149,0,122.208,21.2125,4.40863,17.6015,68.946,32.5193,12.4217,187.757,49.3773,63.4664,34.2882,70.917,62.1972,30.2957,101.629,180.821,8.36426,3.16721
::chromosome_14:24699469-24700057,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_1:13493064-13499612,19.0732,0,9.35834,33.5995,0,2.01436,22.1844,30.8676,7.05906,23.0702,23.3005,5.02846,11.0906,50.5331,23.5126,2.00694,8.52011,20.2501,1.16692,1
::chromosome_1:18146719-18158383,343.731,0,553.169,75.9346,5,106.107,219.656,335.144,37.1885,457.231,310.946,202.329,260.757,316.299,268.183,58.8553,276.785,225.788,24.1953,34.868
::chromosome_6:19949687-19950906,58,0,148,79,1,67,68,112,240,51,83,157,217,103,118,14,69,53,29,14
::chromosome_2:9337526-9338890,0,0,2.08347,3.02093,12.059,0,3.50546,0,58.0343,0,0,0,0,0,0,0,0,0,1.03616,0
::chromosome_13:5754190-5758943,77.381,0,0,4.98363,0,35.4596,45.4155,0,2,0,26.5272,32.5076,31.9462,42.4413,63.0393,0,0,0,0,0.0872096
::chromosome_14:19786742-19787174,2,0,2,0,0,0,15,2,0,4,2,0,0,1,0,0,0,0,0,0
::chromosome_10:9115722-9116759,0,0,5,1,0,4,7,0,0,8,3,6,0,3,6,2,11,1,0,1
::chromosome_11:32982690-32983902,14.7411,0,72.2374,23.4529,1.3503,14.408,41.555,51.1699,29.7404,10.6064,44.1966,17.6879,8.23314,64.8278,23.3485,16.3535,5.94437,63.8936,4.16129,1.67126
::chromosome_1:2824317-2828971,436.34,0,417.45,289.635,32,100.298,499.108,333.485,146,581.134,713.651,399.761,227.906,394.493,493.49,57.4028,487.212,505.838,35.115,80.1044
::chromosome_14:58276536-58277508,1,0,8,8,0,1,2,9,4,3,13.6842,8,9,9,0,0,6,6.375,0,1
::chromosome_8:14565346-14565730,13,0,39,95,1,14,21,52,49,49,4,37,51,31,65,2,58,97,6,5
::chromosome_12:40474490-40475351,1,0,169,2,1,9,0,36,0,0,0,50,84,99,112,4,14,2,2,1
::chromosome_5:11881430-11882570,40,0,55,13,2,9,53,49,11,36,23,17,55,43,43,5,27,25,1,1
::chromosome_5:29539521-29542799,55.1038,0,42.4432,5.08685,0,5.00223,83.3886,29.0088,13.012,47.0506,18,23.008,33.3352,28.8844,35.074,12.1332,72.3402,18.1518,9.00122,5
::chromosome_13:22405818-22409797,624,0,35,4,1,8,12,18,1,12.0326,15.162,3,4,59,41,0,10,29.0985,4,17
::chromosome_4:20900415-20902674,814.458,0,558.283,48.8699,3.4,79.3005,266.543,244.903,7.22222,320.374,189.933,61.3926,210.504,344.976,240.387,69.4892,293.702,429.646,17.3276,36.8128
::chromosome_14:23981496-23993087,3,0,33.1411,3,5.84448,3.09767,24.8055,52,8,20,14,8.25478,9,4.17261,7.54153,10.2351,13,10.2592,4,4.15938
::chromosome_12:18407739-18412170,231.679,0,511.555,122.088,11.0106,100.32,248.337,353.022,83.0119,436.853,384.064,219.235,272.094,353.558,376.977,91,237.032,226.78,52.7527,82
::chromosome_10:21344451-21366075,215.615,0,571.936,150.166,35.6927,252.594,527.596,666.484,151.455,665.81,305.535,398.372,554.53,550.834,183.664,73.883,492.577,390.809,89.9143,31.7417
::chromosome_12:41470661-41483142,111.151,0,216.167,20.2592,2,79.2849,155.55,145.226,14.3765,211.519,109.875,60.14,171.571,198.599,59.2443,7.1931,77.934,97.9534,8.2603,11.478
::chromosome_14:45716172-45735292,126.321,0,191.838,53.0257,0,56.0871,137.113,189.954,68.9383,120.057,95.7478,81.7048,289.697,281.991,77.6456,24.0996,62.8723,131.095,24.2794,5.1322
::chromosome_10:15941651-15942068,0,0,0,0,0,0,1,1,0,0,0,3,0,6.52E-06,0,0,0,0,0,0
::chromosome_9:26257352-26268753,266.712,0,426.646,196.29,1.08224,123.892,507.789,391.082,65.4511,299.727,278.289,226.424,426.228,253,151.717,50.737,240.082,283.546,10.5974,29.7702
::chromosome_6:25587954-25588692,28,0,359,2,0,0,13,106,1,71,2,14,34,2,25,1,28,13,0,3
::chromosome_11:5858628-5859684,2,0,3,14,0,0,19,8,6,3,4,14,13,27,9,0,0,1,0,6
::chromosome_4:3519608-3522691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8756,0,0,0,0
::chromosome_7:1583504-1588977,786.982,0,2002.19,439.689,27.5979,300.665,663.307,1064.42,153.976,1071.09,1049.46,811.861,1287.33,940.666,712.657,176.213,1482.95,893.828,100.897,99.5912
::chromosome_4:2584377-2598040,159.43,0,899.424,70.5152,18.7069,113.557,191.738,351.36,64.6666,147.074,238.144,167.365,241.966,403.403,224.978,45.164,161.346,175.634,53.5414,17.2319
::chromosome_4:19908979-19921686,197.389,0,382.597,142.339,14.0002,91.6326,272.208,280.244,79.0087,233.605,369.717,94.7001,215.001,164.645,223.158,29.6379,144.889,129.736,47.7139,20.371
::chromosome_8:19090068-19102321,1503.27,0,2207.47,751.867,91.045,456.871,1743.21,2027.52,1106.79,1868.49,1477.14,1123.89,1736.6,1403,1482.39,206.835,1139.55,1277.39,175.243,182.438
::chromosome_6:25330964-25332328,5,0,6,0,0,0,6,1,0,9,2,7,4,15,5,0,2,4,0,0
::chromosome_11:17307944-17318589,60.093,0,353.911,57.0364,13.0141,233.8,97.2893,163.565,71.8617,134.799,81.9799,92.0793,186.684,73.2638,81.1305,27.1167,92.2889,121.262,20.0701,18.2016
::chromosome_2:15594782-15597216,299,0,420,279,14,43,213,175,134,275,196,106,282.349,453,312,78,112,314,67,36
::chromosome_9:10612244-10615908,177.626,0,362.044,11.6963,1,122.045,202.007,166.752,6.00222,349.367,225.129,116.005,245.101,99.0043,110.802,25.0421,151.067,114.047,2.00694,10.0197
::chromosome_11:32049607-32051574,0,0,32.9776,2.40018,0,3.33378,12.4634,12.223,0,1.30792,3.26102,3.46179,3.20101,0,5.83376,0,4.07258,1,0,1
::chromosome_12:20869844-20876685,106.465,0,206.226,21.5232,3.07845,47.5021,128.742,143.225,6.15321,184.662,107.329,120.222,130.446,239.986,143.711,28.4587,109.523,109.608,12.0916,19
::chromosome_5:4615878-4633418,506.171,0,571.089,388.673,48.669,147.116,597.377,433.643,227.575,343.727,394.339,312.098,323.38,481.095,488.128,116.69,409.909,370.448,80.4978,44.1842
::chromosome_13:27138221-27140946,130.216,0,221.456,185.566,39,42.8084,184.297,190.83,204,149,209.359,120.845,202.685,117.484,189.267,22,121.44,144.082,70,12
::chromosome_7:12339787-12340050,14,0,19,3,1,0,14,16,0,5,41,4,11,6,14,2,7,26,2,1
::chromosome_13:36290738-36292965,148,0,197.17,23.2105,1,22.1861,103.486,89.3023,22.3094,87.0067,107.899,77,95.6226,129.194,122.324,7,149.673,74.3395,1,7
::chromosome_2:886778-891755,17,0,1,8,0,1,2,18.0893,0,2,8,2.04912,26,2,14.2302,1,2,6,0,0
::chromosome_8:29631585-29633280,24,0,5,8.85042,0,12,12.6279,11.1567,0,5,24,10.7833,14.4029,16.2113,129.283,3,5,8.09293,0,0
::chromosome_1:2586020-2596811,314.895,0,410.842,56.0768,6.04707,96.5952,230.534,526.349,107.388,333.753,277.332,107.012,402.594,155.786,163.721,30.3016,269.625,151.002,18.265,8.90649
::chromosome_14:21248869-21250440,0,0,5.00069,4,1,2.0139,0,2.03227,12.3516,1.01903,3.27632,2.07223,2.03858,7.25143,4.65986,1.00958,0,0,3.44297,0
::chromosome_10:26497624-26498878,41.0539,0,10.2507,0,0,14.2055,1.41826,23.7918,0,9.78395,8.88215,0,8.52995,31.012,0,0,5.57923,1.07893,9.52159,0
::chromosome_11:23302732-23303194,0,0,7,0,0,0,1,3,0,0,0,0,2,0,0,0.278563,0,0,0,0
::chromosome_11:11216080-11216401,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
::chromosome_11:10329513-10330872,0,0,0,2,0,0,0,0,10,1.02385,0,0,0,1,2,1,0,0,0,0
::chromosome_4:17075344-17076466,649,0,599,163,6,74,343,438,34,542,667,244,312,538,405,71,493,427,26,39
::chromosome_8:7853528-7853918,0,0,0,0,0,1.1091,0,0.602071,0,0,0,2.04156,0,0,0,0,1.04998,0,2.19487,0
::chromosome_7:10623464-10630880,72,0,73.3353,39.069,2,9,38,65,29,69.4506,135,43,30,60,45,3,72,110,4,2
::chromosome_6:25789722-25790793,12,0,63,41,1,13,64,68,2,81,13,10,18,147,42,17,34,30,2,12
::chromosome_4:18983673-18986683,9.32203,0,0,48.2482,0,2.01351,1.02158,2.02147,0,11.2736,15.6347,0,0,11.0876,9.11379,0,16.2961,17.8778,1,0
::chromosome_14:13110449-13128005,571.059,0,200.865,101.397,13.5496,17.5016,234.683,125.026,30.0444,785.606,281.971,171.354,137.26,299.403,232.435,82.1324,318.239,115.468,29.2571,93.5341
::chromosome_14:2741082-2742000,4,0,4,0,0,0,0,1,0,0,6.85285,2,6,1,0,0,6,1,1,0
::chromosome_10:17622804-17625243,3.93975,0,80.7073,12.6324,0,6.32032,9.32571,14.0363,0,13.4609,10.7804,16.758,45.7149,31.0023,26.812,3.13385,12.3631,6.42447,0.773978,0
::chromosome_2:16076541-16079550,38.7159,0,15.7513,4.03127,0,5.05351,22.6843,13.0178,0,13.6836,22.573,16.1787,25.1561,40.8498,20.7466,0,4.77429,15.2338,0,0
::chromosome_12:29237530-29238541,16,0,3,15,0,6,29,4,10,10,6,8,0,15,11,5,6,3,5,2
::chromosome_10:16436536-16439146,2,0,8,0,1,0,3,0,5,2,2,3,11,0,0,0,3,4,0,0
::chromosome_2:7966994-7972321,64,0,53,27,1,12,41,50,0,262,31,39,118,395,31,4,76,48,0,4
::chromosome_14:17447037-17450678,0,0,4.24696,1.33869,0,0,0,4.35968,0,1.01076,0,12.5467,5.19246,1.0678,0,0,0,4.04873,0,0
::chromosome_14:29788107-29788946,5,0,1,0,0,0,0,0,0,5,2,5,3,2,0,0,4,0,0,0
::chromosome_4:19520835-19521792,0,0,1,0,0,1,2,0,0,4,0,0,0,18,5,0,1,0,0,0
::chromosome_7:5466708-5475444,111.159,0,129.193,45.1209,7.19811,89.3738,67.5177,58.0753,10.0093,84.205,117.975,79.4181,97.3387,190.155,298.423,13.1031,39.5214,158.427,14,6
::chromosome_3:2928122-2928680,12,0,58,2,0,13,4,39,4,8,27,6,10,3,6,3,1,11,0,1
::chromosome_2:2432782-2433292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:32399645-32400098,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
::chromosome_9:20594240-20604845,329.504,0,308.951,97.7203,19.3741,112.68,330.768,393.641,92.7792,299.458,272.709,207.629,269.554,229.919,330.099,52.4467,248.264,218.193,48.5438,17.0542
::chromosome_6:20770034-20773369,1,0,51,2.01093,0,2,3.01064,176.642,1,0,0,1.00881,1,2,6,0,1.00238,1.00265,0,0
::chromosome_4:19218385-19223094,1621,0,1924,533,62,229,1015,924,267,1129,1360,659,616,1355,1630,201,1156,1246,144,202
::chromosome_9:11842461-11848037,103.095,0,1590.88,110.067,12.0329,412,146.259,1215.27,293.639,134.258,99.4689,259.066,270.267,106.012,293.336,139.581,160.788,225.566,16.122,14.1282
::chromosome_5:13478458-13483713,176.238,0,378.968,44,7,90.3024,143.905,161.188,42,215.736,197.715,122.11,197.638,180,166.376,26.6547,144.496,125.659,5.11192,16
::chromosome_10:29789111-29795099,14,0,46,4,0,2,50,41,7,22,17,31,15,6,52,9,20,16,5,3
::chromosome_14:50122795-50128977,7,0,0,7,0,1.02802,1,12,0,1.10289,11,1,6,40.5497,8,5,6,40.4758,0,0
::chromosome_10:12870170-12881621,300.025,0,463.554,62.0129,7,135,296.064,357.834,68.7152,208.597,280.826,189.203,353.101,309.829,226.081,35.057,316.153,205.15,4.05728,12
::chromosome_6:25063305-25064808,0,0,5,0,0,0,4,4,0,0,0,0,0,1,1,0,0,0,0,0
::chromosome_9:30548512-30548884,13,0,21,0,0,0,8,3,0,5,11,3,6,6,3,0,21,5,0,0
::chromosome_14:30780753-30781023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:50162745-50165929,58.0183,0,99.8604,49.5905,8,15.3638,110.917,47.5364,10.3038,28.7231,31.696,41.6063,44.6319,49.1216,61.5365,17.0606,89.2792,38.0861,14.2838,4.09414
::chromosome_13:26793897-26794815,6,0,10,7,0,0,4,9,1,6,10,8,2,15,7,2,9,8,0,0
::chromosome_8:14836871-14837198,2,0,5,0,0,0,2,0,0,6,3,2,7,3,5,0,6,7,0,0
::chromosome_9:27950056-27950827,13,0,109,52,0,21,47,15,0,14,11,28,70,23,17,4,33,7,6,2
::chromosome_10:16091516-16101215,89.8496,0,198.308,49.7768,18.4906,19.8228,117.985,146.052,20.1843,103.13,119.088,61.038,63.3094,121.903,54.9804,11.4983,103.764,69.7444,21.847,6.00667
::chromosome_3:5181076-5182672,261,0,351,83,5,80,159,185,7,233,219,77,155,147,108,13,88,72,9,37
::chromosome_12:34652791-34653130,0,0,2.04306,0,0,0,2.16111,12,0,2.19158,0,0,2.28825,0,0,0,0,0,0,0
::chromosome_14:29419890-29420160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
::chromosome_6:9092935-9100134,31.2766,0,84.3812,34.3864,0,10.1904,62.3965,40.1655,6.55938,127.018,36.8771,32.2405,22.734,30.0014,27.4484,2.14292,21.7888,43.2392,6.37373,4.70019
::chromosome_2:11479048-11483803,226.977,0,138,11,7,18,99,59,19.3615,201.059,138.354,73,72,184,199,18,130,104,1,11
::chromosome_13:29290680-29291115,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
::chromosome_4:926708-934850,1355.63,0,2168.6,122.984,28.8825,396.836,1133.15,1041.31,129.21,1310.02,1113.1,763.273,1263.84,1252.26,1235.06,178.656,1239.53,890.152,38.9578,71.2618
::chromosome_14:22860529-22865145,8,0,11,57,31,0,24,2,20,30,7,9,134,0,10,15,33,11,21,0
::chromosome_8:15821518-15846504,49.4141,0,23.9154,37.1769,1.17154,3.2548,123.026,60.7492,34.1843,71.5768,53.5988,52.8554,15.968,53.3833,34.4329,39.7631,25.2523,32.4105,22.2804,1.03588
::chromosome_5:25231360-25231801,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_5:24159918-24173545,216.015,0,133.585,35.147,0,29.5913,139.603,120.981,59.7698,171.091,83.6819,91.0437,101.954,94.1687,87.3223,18.9377,88.789,56.2591,1.08271,16.1263
::chromosome_12:34004639-34015128,261.413,0,944.015,48.0697,11.7672,183.81,276.38,425.493,39.0847,217.305,243.258,174.825,560.59,288.542,177.361,24.9228,217.456,181.02,7.89159,20.7088
::chromosome_14:53819773-53847503,381.968,0,905.543,95.0368,25.88,176.841,610.788,534.261,98.1376,377.533,393.474,295.459,388.874,493.103,357.556,63.1753,383.103,245.203,26.0197,20.3633
::chromosome_5:3913723-3913984,1.7397,0,0,0,0,0,0,0,0,0,0,1,0,3.74211,0,0,0.809825,0,0,0
::chromosome_6:28987406-28988483,3,0,11,1,1,8,2,4,4,13,18,2,2,13,5,2,16,11,6,0
::chromosome_14:44542688-44546282,0,0,95,16,1,8,65,17,4,5,12,1,62,22,0,40,61,1,6,0
::chromosome_9:18091519-18092556,1,0,5,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0
::chromosome_14:45505512-45514912,261.682,0,681.85,464.992,14.0062,119.345,356.628,511.176,96.6025,474.326,479.779,245.692,471.897,145.45,626.829,78.3621,370.373,331.059,35,41.1229
::chromosome_6:8590787-8599402,172.884,0,263.221,66.9293,1.00163,61.0621,179.606,212.706,40.1718,175.45,159.301,68.1212,226.473,163.48,181.79,23.0835,159.311,165.739,15.2888,15.1081
::chromosome_11:25676370-25676871,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_10:10486974-10492633,41.7217,0,90.1392,53.0079,11.3799,18.1258,101.932,43.6694,8.84926,56.5283,35.4081,44.7231,46.9235,47.608,26.3394,23.0944,34.855,32.8395,8.46862,0
::chromosome_2:12763420-12778559,162.572,0,484.306,221.666,66.2695,228.012,241.941,453.851,439.465,272.601,195.855,160.004,319.691,300.953,190.84,78.1213,216.125,175.847,92.7001,21.6291
::chromosome_1:3596471-3604666,0,0,1.26136,0,0,1.39405,1.78014,1.39891,0,10.7614,0,4.482,3.08026,13.8118,3.4005,6.5187,0,6.57244,0,0
::chromosome_6:30140409-30153880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_6:26720926-26724943,110.299,0,172.199,31.3722,1,14.8714,32.8642,71.7414,9.18947,332.587,464.209,23.0288,38.5981,39.0336,52.2606,14.2866,21.3163,55.622,15.1936,13.6772
::chromosome_4:18562790-18563237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10366,1,0,0,0,0
::chromosome_1:1075651-1091596,455.295,0,504.378,35.2904,24.4216,98.6507,423.912,281.989,64.8857,358.732,291.359,224.639,381.972,417.639,279.446,85.3134,839.542,781.893,13.5161,39.0366
::chromosome_9:20326569-20327261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
::chromosome_6:28547727-28560007,671.869,0,651.114,131.627,8.18027,178.238,575.073,577.1,63.9032,588.78,522.757,354.502,502.152,569.646,516.738,119.82,519.928,392.459,32.7999,53.9908
::chromosome_12:33705151-33711163,119.033,0,106.005,28.0752,3.11859,44.5414,135.119,20.0278,39,68.1289,56.0292,42.0153,201.037,70.2185,66.002,14.0692,79,105.003,13,6
