Well,630,663,750
A1,0.027,0.027,0.028
B1,0.027,0.027,0.027
C1,0.029,0.034,0.027
D1,0.028,0.033,0.026
E1,0.05,0.109,0.031
F1,0.057,0.135,0.032
G1,0.057,0.123,0.034
H1,0.057,0.133,0.03
A2,0.05,0.101,0.035
B2,0.047,0.113,0.029
C2,0.031,0.044,0.028
D2,0.032,0.048,0.028
E2,0.041,0.093,0.028
F2,0.048,0.119,0.031
G2,0.042,0.094,0.028
H2,0.046,0.108,0.029
A3,0.053,0.11,0.037
B3,0.063,0.13,0.045
C3,0.047,0.107,0.029
D3,0.051,0.123,0.03
E3,0.03,0.03,0.03
F3,0.031,0.031,0.03
G3,0.035,0.059,0.029
H3,0.038,0.06,0.029
A4,0.031,0.044,0.027
B4,0.032,0.047,0.028
C4,0.029,0.033,0.027
D4,0.03,0.035,0.029
E4,0.041,0.075,0.028
F4,0.044,0.093,0.03
G4,0.037,0.055,0.029
H4,0.048,0.072,0.039
A5,0.037,0.064,0.029
B5,0.039,0.074,0.03
C5,0.039,0.08,0.027
D5,0.042,0.09,0.028
E5,0.045,0.116,0.028
F5,0.049,0.132,0.028
G5,0.034,0.054,0.027
H5,0.036,0.063,0.028
A6,0.031,0.038,0.029
B6,0.032,0.04,0.029
C6,0.028,0.029,0.028
D6,0.028,0.029,0.028
E6,0.058,0.149,0.034
F6,0.059,0.176,0.029
G6,0.031,0.045,0.027
H6,0.033,0.049,0.029
A7,0.032,0.05,0.027
B7,0.032,0.053,0.027
C7,0.03,0.043,0.027
D7,0.031,0.046,0.028
E7,0.046,0.074,0.036
F7,0.042,0.075,0.031
G7,0.038,0.051,0.034
H7,0.031,0.046,0.027
A8,0.056,0.148,0.03
B8,0.061,0.168,0.03
C8,0.041,0.08,0.029
D8,0.051,0.102,0.033
E8,0.068,0.177,0.029
F8,0.079,0.216,0.031
G8,0.028,0.03,0.028
H8,0.031,0.034,0.029
A9,0.035,0.061,0.028
B9,0.041,0.073,0.032
C9,0.031,0.038,0.028
D9,0.034,0.042,0.031
E9,0.038,0.076,0.028
F9,0.041,0.088,0.028
G9,0.033,0.053,0.028
H9,0.039,0.063,0.032
A10,0.037,0.06,0.029
B10,0.042,0.07,0.034
C10,0.034,0.053,0.028
D10,0.036,0.059,0.029
E10,0.036,0.065,0.028
F10,0.039,0.074,0.028
G10,0.04,0.078,0.029
H10,0.048,0.094,0.032
A11,0.052,0.139,0.03
B11,0.055,0.158,0.029
C11,0.036,0.07,0.028
D11,0.039,0.082,0.028
E11,0.034,0.061,0.028
F11,0.038,0.071,0.029
G11,0.032,0.046,0.028
H11,0.038,0.056,0.033
A12,0.037,0.059,0.03
B12,0.036,0.063,0.029
C12,0.033,0.052,0.036
D12,0.035,0.052,0.029
E12,0.042,0.087,0.028
F12,0.048,0.111,0.029
G12,0.039,0.074,0.029
H12,0.041,0.086,0.029
