Well,630,663,750
A1,0.028,0.027,0.027
B1,0.027,0.027,0.027
C1,0.028,0.03,0.028
D1,0.028,0.03,0.027
E1,0.045,0.103,0.028
F1,0.05,0.117,0.029
G1,0.047,0.1,0.03
H1,0.047,0.11,0.028
A2,0.039,0.051,0.034
B2,0.035,0.051,0.03
C2,0.039,0.08,0.028
D2,0.039,0.084,0.028
E2,0.032,0.045,0.028
F2,0.033,0.048,0.028
G2,0.035,0.065,0.027
H2,0.036,0.069,0.027
A3,0.061,0.144,0.036
B3,0.056,0.153,0.028
C3,0.032,0.05,0.028
D3,0.033,0.054,0.027
E3,0.034,0.057,0.028
F3,0.036,0.064,0.029
G3,0.037,0.068,0.028
H3,0.038,0.075,0.028
A4,0.039,0.083,0.028
B4,0.043,0.098,0.028
C4,0.03,0.042,0.027
D4,0.032,0.045,0.028
E4,0.03,0.04,0.027
F4,0.032,0.043,0.028
G4,0.034,0.057,0.027
H4,0.035,0.063,0.028
A5,0.03,0.036,0.028
B5,0.031,0.037,0.028
C5,0.032,0.045,0.028
D5,0.031,0.047,0.027
E5,0.035,0.062,0.027
F5,0.036,0.067,0.028
G5,0.035,0.047,0.028
H5,0.037,0.05,0.028
A6,0.043,0.095,0.028
B6,0.045,0.11,0.028
C6,0.033,0.053,0.027
D6,0.034,0.057,0.029
E6,0.046,0.093,0.032
F6,0.054,0.109,0.038
G6,0.046,0.109,0.029
H6,0.048,0.117,0.029
A7,0.035,0.063,0.028
B7,0.038,0.072,0.028
C7,0.031,0.044,0.027
D7,0.031,0.046,0.027
E7,0.03,0.043,0.027
F7,0.031,0.045,0.027
G7,0.037,0.074,0.027
H7,0.041,0.082,0.029
A8,0.038,0.062,0.029
B8,0.04,0.068,0.029
C8,0.028,0.029,0.027
D8,0.029,0.029,0.027
E8,0.028,0.03,0.027
F8,0.029,0.03,0.027
G8,0.035,0.063,0.027
H8,0.036,0.067,0.027
A9,0.056,0.162,0.028
B9,0.062,0.179,0.031
C9,0.033,0.054,0.027
D9,0.034,0.059,0.027
E9,0.048,0.119,0.028
F9,0.051,0.131,0.029
G9,0.04,0.079,0.028
H9,0.047,0.092,0.033
A10,0.037,0.064,0.029
B10,0.036,0.067,0.028
C10,0.032,0.05,0.027
D10,0.034,0.054,0.028
E10,0.039,0.07,0.028
F10,0.041,0.077,0.029
G10,0.028,0.029,0.027
H10,0.029,0.031,0.029
A11,0.036,0.049,0.029
B11,0.035,0.05,0.029
C11,0.028,0.028,0.028
D11,0.028,0.029,0.028
E11,0.044,0.104,0.028
F11,0.046,0.112,0.028
G11,0.045,0.094,0.031
H11,0.05,0.109,0.033
A12,0.043,0.097,0.029
B12,0.044,0.102,0.028
C12,0.036,0.062,0.029
D12,0.038,0.067,0.029
E12,0.03,0.032,0.029
F12,0.031,0.032,0.029
G12,0.031,0.031,0.03
H12,0.03,0.031,0.029
