Serial Number:21002980 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2021-02-06 15:00:00,8.58,"1,215", , , , 
2021-02-06 15:10:00,8.53,"1,080", , , , 
2021-02-06 15:20:00,8.53,923, , , , 
2021-02-06 15:30:00,8.58,770, , , , 
2021-02-06 15:40:00,8.49,624, , , , 
2021-02-06 15:50:00,8.62,508, , , , 
2021-02-06 16:00:00,8.45,407, , , , 
2021-02-06 16:10:00,8.62,362, , , , 
2021-02-06 16:20:00,8.36,296, , , , 
2021-02-06 16:30:00,8.62,210, , , , 
2021-02-06 16:40:00,8.41,151, , , , 
2021-02-06 16:50:00,8.58,77, , , , 
2021-02-06 17:00:00,8.45,0, , , , 
2021-02-06 17:10:00,8.45,0, , , , 
2021-02-06 17:20:00,8.58,0, , , , 
2021-02-06 17:30:00,8.41,0, , , , 
2021-02-06 17:40:00,8.62,0, , , , 
2021-02-06 17:50:00,8.41,0, , , , 
2021-02-06 18:00:00,8.62,0, , , , 
2021-02-06 18:10:00,8.36,0, , , , 
2021-02-06 18:20:00,8.53,0, , , , 
2021-02-06 18:30:00,8.45,0, , , , 
2021-02-06 18:40:00,8.45,0, , , , 
2021-02-06 18:50:00,8.58,0, , , , 
2021-02-06 19:00:00,8.36,0, , , , 
2021-02-06 19:10:00,8.58,0, , , , 
2021-02-06 19:20:00,8.41,0, , , , 
2021-02-06 19:30:00,8.62,0, , , , 
2021-02-06 19:40:00,8.45,0, , , , 
2021-02-06 19:50:00,8.53,0, , , , 
2021-02-06 20:00:00,8.58,0, , , , 
2021-02-06 20:10:00,8.49,0, , , , 
2021-02-06 20:20:00,8.58,0, , , , 
2021-02-06 20:30:00,8.36,0, , , , 
2021-02-06 20:40:00,8.62,0, , , , 
2021-02-06 20:50:00,8.36,0, , , , 
2021-02-06 21:00:00,8.58,0, , , , 
2021-02-06 21:10:00,8.45,0, , , , 
2021-02-06 21:20:00,8.53,0, , , , 
2021-02-06 21:30:00,8.45,0, , , , 
2021-02-06 21:40:00,8.53,0, , , , 
2021-02-06 21:50:00,8.53,0, , , , 
2021-02-06 22:00:00,8.41,0, , , , 
2021-02-06 22:10:00,8.58,0, , , , 
2021-02-06 22:20:00,8.41,0, , , , 
2021-02-06 22:30:00,8.66,0, , , , 
2021-02-06 22:40:00,8.45,0, , , , 
2021-02-06 22:50:00,8.62,0, , , , 
2021-02-06 23:00:00,8.41,0, , , , 
2021-02-06 23:10:00,8.62,0, , , , 
2021-02-06 23:20:00,8.41,0, , , , 
2021-02-06 23:30:00,8.66,0, , , , 
2021-02-06 23:40:00,8.41,0, , , , 
2021-02-06 23:50:00,8.62,0, , , , 
2021-02-07 00:00:00,8.45,0, , , , 
2021-02-07 00:10:00,8.66,0, , , , 
2021-02-07 00:20:00,8.45,0, , , , 
2021-02-07 00:30:00,8.66,0, , , , 
2021-02-07 00:40:00,8.53,0, , , , 
2021-02-07 00:50:00,8.58,0, , , , 
2021-02-07 01:00:00,8.58,0, , , , 
2021-02-07 01:10:00,8.58,81, , , , 
2021-02-07 01:20:00,8.58,169, , , , 
2021-02-07 01:30:00,8.53,257, , , , 
2021-02-07 01:40:00,8.53,333, , , , 
2021-02-07 01:50:00,8.58,440, , , , 
2021-02-07 02:00:00,8.58,486, , , , 
2021-02-07 02:10:00,8.49,590, , , , 
2021-02-07 02:20:00,8.62,681, , , , 
2021-02-07 02:30:00,8.45,791, , , , 
2021-02-07 02:40:00,8.58,896, , , , 
2021-02-07 02:50:00,8.49,"1,084", , , , 
2021-02-07 03:00:00,8.58,"1,226", , , , 
2021-02-07 03:10:00,8.58,"1,457", , , , 
2021-02-07 03:20:00,8.53,"1,567", , , , 
2021-02-07 03:30:00,8.53,"1,749", , , , 
2021-02-07 03:40:00,8.53,"1,880", , , , 
2021-02-07 03:50:00,8.62,"2,015", , , , 
2021-02-07 04:00:00,8.53,"2,157", , , , 
2021-02-07 04:10:00,8.62,"2,295", , , , 
2021-02-07 04:20:00,8.53,"2,465", , , , 
2021-02-07 04:30:00,8.66,"2,465", , , , 
2021-02-07 04:40:00,8.53,"2,743", , , , 
2021-02-07 04:50:00,8.66,"2,751", , , , 
2021-02-07 05:00:00,8.49,"2,962", , , , 
2021-02-07 05:10:00,8.66,"3,050", , , , 
2021-02-07 05:20:00,8.49,"3,044", , , , 
2021-02-07 05:30:00,8.66,"2,936", , , , 
2021-02-07 05:40:00,8.45,"2,988", , , , 
2021-02-07 05:50:00,8.71,"3,077", , , , 
2021-02-07 06:00:00,8.41,"3,041", , , , 
2021-02-07 06:10:00,8.66,"2,958", , , , 
2021-02-07 06:20:00,8.45,"3,080", , , , 
2021-02-07 06:30:00,8.71,"2,870", , , , 
2021-02-07 06:40:00,8.49,"3,220", , , , 
2021-02-07 06:50:00,8.58,"3,050", , , , 
2021-02-07 07:00:00,8.58,"3,053", , , , 
2021-02-07 07:10:00,8.58,"3,071", , , , 
2021-02-07 07:20:00,8.62,"3,107", , , , 
2021-02-07 07:30:00,8.49,"2,944", , , , 
2021-02-07 07:40:00,8.71,"3,071", , , , 
2021-02-07 07:50:00,8.41,"3,178", , , , 
2021-02-07 08:00:00,8.71,"3,013", , , , 
2021-02-07 08:10:00,8.45,"2,938", , , , 
2021-02-07 08:20:00,8.66,"3,127", , , , 
2021-02-07 08:30:00,8.49,"3,030", , , , 
2021-02-07 08:40:00,8.58,"3,110", , , , 
2021-02-07 08:50:00,8.62,"3,265", , , , 
2021-02-07 09:00:00,8.53,"3,116", , , , 
2021-02-07 09:10:00,8.66,"3,109", , , , 
2021-02-07 09:20:00,8.45,"3,025", , , , 
2021-02-07 09:30:00,8.62,"3,048", , , , 
2021-02-07 09:40:00,8.45,"3,101", , , , 
2021-02-07 09:50:00,8.62,"2,988", , , , 
2021-02-07 10:00:00,8.62,"3,121", , , , 
2021-02-07 10:10:00,8.49,"3,068", , , , 
2021-02-07 10:20:00,8.66,"2,921", , , , 
2021-02-07 10:30:00,8.41,"2,944", , , , 
2021-02-07 10:40:00,8.62,"3,107", , , , 
2021-02-07 10:50:00,8.49,"2,950", , , , 
2021-02-07 11:00:00,8.49,"3,030", , , , 
2021-02-07 11:10:00,8.58,"3,073", , , , 
2021-02-07 11:20:00,8.49,"3,009", , , , 
2021-02-07 11:30:00,8.71,"3,041", , , , 
2021-02-07 11:40:00,8.41,"3,000", , , , 
2021-02-07 11:50:00,8.53,"3,072", , , , 
2021-02-07 12:00:00,8.53,"3,095", , , , 
2021-02-07 12:10:00,8.53,"3,068", , , , 
2021-02-07 12:20:00,8.66,"3,080", , , , 
2021-02-07 12:30:00,8.41,"3,066", , , , 
2021-02-07 12:40:00,8.71,"3,036", , , , 
2021-02-07 12:50:00,8.41,"3,059", , , , 
2021-02-07 13:00:00,8.62,"3,049", , , , 
2021-02-07 13:10:00,8.49,"3,012", , , , 
2021-02-07 13:20:00,8.49,"2,725", , , , 
2021-02-07 13:30:00,8.62,"2,651", , , , 
2021-02-07 13:40:00,8.41,"2,523", , , , 
2021-02-07 13:50:00,8.66,"2,344", , , , 
2021-02-07 14:00:00,8.41,"2,211", , , , 
2021-02-07 14:10:00,8.62,"2,058", , , , 
2021-02-07 14:20:00,8.45,"1,890", , , , 
2021-02-07 14:30:00,8.58,"1,665", , , , 
2021-02-07 14:40:00,8.58,"1,581", , , , 
2021-02-07 14:50:00,8.49,"1,441", , , , 
2021-02-07 15:00:00,8.62,"1,272", , , , 
2021-02-07 15:10:00,8.41,"1,116", , , , 
2021-02-07 15:20:00,8.62,932, , , , 
2021-02-07 15:30:00,8.41,766, , , , 
2021-02-07 15:40:00,8.58,642, , , , 
2021-02-07 15:50:00,8.41,485, , , , 
2021-02-07 16:00:00,8.53,425, , , , 
2021-02-07 16:10:00,8.62,348, , , , 
2021-02-07 16:20:00,8.41,274, , , , 
2021-02-07 16:30:00,8.62,225, , , , 
2021-02-07 16:40:00,8.36,148, , , , 
2021-02-07 16:50:00,8.58,79, , , , 
2021-02-07 17:00:00,8.49,0, , , , 
2021-02-07 17:10:00,8.45,0, , , , 
2021-02-07 17:20:00,8.58,0, , , , 
2021-02-07 17:30:00,8.32,0, , , , 
2021-02-07 17:40:00,8.53,0, , , , 
2021-02-07 17:50:00,8.45,0, , , , 
2021-02-07 18:00:00,8.45,0, , , , 
2021-02-07 18:10:00,8.53,0, , , , 
2021-02-07 18:20:00,8.32,0, , , , 
2021-02-07 18:30:00,8.58,0, , , , 
2021-02-07 18:40:00,8.41,0, , , , 
2021-02-07 18:50:00,8.49,0, , , , 
2021-02-07 19:00:00,8.53,0, , , , 
2021-02-07 19:10:00,8.36,0, , , , 
2021-02-07 19:20:00,8.62,0, , , , 
2021-02-07 19:30:00,8.32,0, , , , 
