"","id","read_count_1065","read_count_1147","read_count_1412","read_count_1560","read_count_1567","read_count_1617","read_count_1722","read_count_2000","read_count_2007","read_count_2302","read_count_2360","read_count_2398","read_count_2404","read_count_2412","read_count_2512","read_count_2523","read_count_2563","read_count_2729"
"1500","chromosome_7_228944",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1501","chromosome_7_228955",3,15,0,0,1,7,0,2,2,9,0,3,1,1,0,1,3,0
"1502","chromosome_7_229123",0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
"1503","chromosome_7_229283",6,8,1,0,7,11,13,3,5,4,1,11,13,0,0,3,2,0
"1504","chromosome_7_229893",0,2,0,0,1,1,6,2,0,5,0,7,2,0,0,0,0,0
"1505","chromosome_7_230007",0,0,8,7,0,0,0,5,0,0,2,0,0,6,0,0,3,8
"1506","chromosome_7_230035",0,2,0,0,7,0,1,0,0,0,1,0,1,0,2,0,2,0
"1507","chromosome_7_230892",0,24,0,0,0,3,9,1,0,4,1,1,0,0,1,0,0,2
"1508","chromosome_7_231241",1,5,0,0,7,0,7,1,0,5,0,6,4,0,0,0,2,0
"1509","chromosome_7_231448",17,65,47,6,40,6,441,11,86,406,3,5,36,1,1,5,3,6
"1510","chromosome_7_231476",1,0,2,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0
"1511","chromosome_7_231859",0,0,0,0,2,0,0,1,0,0,0,5,0,0,1,0,0,0
"1512","chromosome_7_232111",3,9,4,0,2,14,4,0,2,6,0,1,21,1,0,0,4,0
"1513","chromosome_7_232112",3,9,4,0,2,14,4,0,2,6,0,1,21,1,0,0,4,0
"1514","chromosome_7_232275",0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0
"1515","chromosome_7_232276",0,3,0,0,0,0,3,0,0,2,0,13,1,0,0,0,0,0
"1516","chromosome_7_233341",45,362,27,0,13,87,94,76,133,43,3,63,122,6,0,21,29,9
"1517","chromosome_7_234329",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1518","chromosome_7_235000",3,9,2,0,0,0,19,2,2,7,0,0,18,0,5,2,0,0
"1519","chromosome_7_235049",1,0,0,0,0,0,0,5,0,0,1,38,0,0,0,1,0,0
"1520","chromosome_7_235347",0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
"1521","chromosome_7_235755",0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"1522","chromosome_7_235801",1,3,0,0,0,0,0,0,0,2,5,1,1,1,0,0,1,0
"1523","chromosome_7_237366",31,324,16,7,3,60,82,6,33,80,1,42,3,8,0,3,4,13
"1524","chromosome_7_237428",5,0,0,0,1,4,4,0,1,0,0,3,2,0,0,0,0,0
"1525","chromosome_7_237630",1,1,3,1,4,0,0,0,2,1,0,1,0,0,0,0,3,1
"1526","chromosome_7_237792",623,319,717,21,34,2,127,1163,2534,1376,860,10,200,302,478,228,32,2
"1527","chromosome_7_238007",0,68,6,0,8,1,24,21,1,12,4,31,4,2,0,5,0,1
"1528","chromosome_7_238719",0,2,0,0,9,1,46,0,0,16,0,3,0,0,0,0,1,0
"1529","chromosome_7_240751",25,8,36,30,55,4,1,12,12,20,19,5,77,87,21,7,19,36
"1530","chromosome_7_240833",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"1531","chromosome_7_240968",6,7,1,0,0,4,5,2,0,0,0,3,6,0,0,0,3,0
"1532","chromosome_7_241557",0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1533","chromosome_7_242047",0,93,0,0,1,6,35,0,0,0,0,0,2,0,0,1,1,0
"1534","chromosome_7_242207",25,191,127,4,359,15,17,38,17,6,42,40,76,6,0,6,22,13
"1535","chromosome_7_242207",16,113,54,4,196,14,6,18,13,6,25,31,30,3,0,3,12,7
"1536","chromosome_7_242207",16,131,60,4,220,14,6,18,13,6,26,32,39,3,0,3,13,7
"1537","chromosome_7_242207",25,191,127,4,359,15,17,38,17,6,42,40,76,6,0,6,22,13
"1538","chromosome_7_242207",25,191,127,4,359,15,17,38,17,6,42,40,76,6,0,6,22,13
"1539","chromosome_7_242207",25,191,127,4,359,15,17,38,17,6,42,40,76,6,0,6,22,13
"1540","chromosome_7_242809",61,4,19,9,12,3,0,16,17,22,20,4,18,18,12,64,29,22
"1541","chromosome_7_243460",0,76,0,0,4,2,12,6,3,1,0,2,5,1,0,3,1,0
"1542","chromosome_7_243568",7,151,26,0,71,64,87,44,90,19,18,93,48,3,7,23,58,12
"1543","chromosome_7_244316",3,251,7,1,12,36,17,17,28,32,4,15,8,0,0,11,11,4
"1544","chromosome_7_244503",0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
"1545","chromosome_7_244607",110,46,72,3,64,76,0,115,96,355,24,87,119,64,14,39,90,23
"1546","chromosome_7_244712",0,41,1,0,2,1,8,0,0,1,1,9,9,1,0,0,11,0
