"Plot Title: 20987161"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987161, SEN S/N: 20987161)","Coupler Detached (LGR S/N: 20987161)","Coupler Attached (LGR S/N: 20987161)","Stopped (LGR S/N: 20987161)","End Of File (LGR S/N: 20987161)"
1,01/16/21 10:10:00 AM,10.712,Logged,,,
2,01/16/21 10:20:00 AM,9.485,,,,
3,01/16/21 10:30:00 AM,9.361,,,,
4,01/16/21 10:40:00 AM,9.336,,,,
5,01/16/21 10:50:00 AM,9.312,,,,
6,01/16/21 11:00:00 AM,9.312,,,,
7,01/16/21 11:10:00 AM,9.312,,,,
8,01/16/21 11:20:00 AM,9.336,,,,
9,01/16/21 11:30:00 AM,9.361,,,,
10,01/16/21 11:40:00 AM,9.361,,,,
11,01/16/21 11:50:00 AM,9.386,,,,
12,01/16/21 12:00:00 PM,9.386,,,,
13,01/16/21 12:10:00 PM,9.386,,,,
14,01/16/21 12:20:00 PM,9.386,,,,
15,01/16/21 12:30:00 PM,9.386,,,,
16,01/16/21 12:40:00 PM,9.361,,,,
17,01/16/21 12:50:00 PM,9.361,,,,
18,01/16/21 01:00:00 PM,9.361,,,,
19,01/16/21 01:10:00 PM,9.361,,,,
20,01/16/21 01:20:00 PM,9.336,,,,
21,01/16/21 01:30:00 PM,9.336,,,,
22,01/16/21 01:40:00 PM,9.336,,,,
23,01/16/21 01:50:00 PM,9.336,,,,
24,01/16/21 02:00:00 PM,9.336,,,,
25,01/16/21 02:10:00 PM,9.312,,,,
26,01/16/21 02:20:00 PM,9.312,,,,
27,01/16/21 02:30:00 PM,9.312,,,,
28,01/16/21 02:40:00 PM,9.312,,,,
29,01/16/21 02:50:00 PM,9.312,,,,
30,01/16/21 03:00:00 PM,9.287,,,,
31,01/16/21 03:10:00 PM,9.287,,,,
32,01/16/21 03:20:00 PM,9.287,,,,
33,01/16/21 03:30:00 PM,9.287,,,,
34,01/16/21 03:40:00 PM,9.287,,,,
35,01/16/21 03:50:00 PM,9.287,,,,
36,01/16/21 04:00:00 PM,9.312,,,,
37,01/16/21 04:10:00 PM,9.336,,,,
38,01/16/21 04:20:00 PM,9.361,,,,
39,01/16/21 04:30:00 PM,9.386,,,,
40,01/16/21 04:40:00 PM,9.386,,,,
41,01/16/21 04:50:00 PM,9.435,,,,
42,01/16/21 05:00:00 PM,9.460,,,,
43,01/16/21 05:10:00 PM,9.485,,,,
44,01/16/21 05:20:00 PM,9.534,,,,
45,01/16/21 05:30:00 PM,9.558,,,,
46,01/16/21 05:40:00 PM,9.583,,,,
47,01/16/21 05:50:00 PM,9.583,,,,
