"Plot Title: 20987159"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987159, SEN S/N: 20987159)","Coupler Detached (LGR S/N: 20987159)","Coupler Attached (LGR S/N: 20987159)","Stopped (LGR S/N: 20987159)","End Of File (LGR S/N: 20987159)"
1,01/16/21 10:00:00 AM,20.460,Logged,,,
2,01/16/21 10:10:00 AM,10.810,,,,
3,01/16/21 10:20:00 AM,10.443,,,,
4,01/16/21 10:30:00 AM,10.271,,,,
5,01/16/21 10:40:00 AM,10.051,,,,
6,01/16/21 10:50:00 AM,9.854,,,,
7,01/16/21 11:00:00 AM,9.682,,,,
8,01/16/21 11:10:00 AM,9.534,,,,
9,01/16/21 11:20:00 AM,9.435,,,,
10,01/16/21 11:30:00 AM,9.336,,,,
11,01/16/21 11:40:00 AM,9.262,,,,
12,01/16/21 11:50:00 AM,9.188,,,,
13,01/16/21 12:00:00 PM,9.114,,,,
14,01/16/21 12:10:00 PM,9.064,,,,
15,01/16/21 12:20:00 PM,9.015,,,,
16,01/16/21 12:30:00 PM,8.965,,,,
17,01/16/21 12:40:00 PM,8.916,,,,
18,01/16/21 12:50:00 PM,8.891,,,,
19,01/16/21 01:00:00 PM,8.841,,,,
20,01/16/21 01:10:00 PM,8.817,,,,
21,01/16/21 01:20:00 PM,8.792,,,,
22,01/16/21 01:30:00 PM,8.792,,,,
23,01/16/21 01:40:00 PM,8.767,,,,
24,01/16/21 01:50:00 PM,8.742,,,,
25,01/16/21 02:00:00 PM,8.742,,,,
26,01/16/21 02:10:00 PM,8.717,,,,
27,01/16/21 02:20:00 PM,8.717,,,,
28,01/16/21 02:30:00 PM,8.717,,,,
29,01/16/21 02:40:00 PM,8.693,,,,
30,01/16/21 02:50:00 PM,8.693,,,,
31,01/16/21 03:00:00 PM,8.693,,,,
32,01/16/21 03:10:00 PM,8.693,,,,
33,01/16/21 03:20:00 PM,8.693,,,,
34,01/16/21 03:30:00 PM,8.693,,,,
35,01/16/21 03:40:00 PM,8.693,,,,
36,01/16/21 03:50:00 PM,8.693,,,,
