Id,Date,Delta T [min],Device,Channel,Phase [°],Amplitude [µV],Reference Amplitude [µV],User Signal Intensity,Signal LED Current,Reference LED Current,Battery [V]
9258430,19/12/20 12:28:19,0.000,Devices!A2:F2,6,23.278,46647,0,391586.6513,26.3,44.0,#N/A
9258440,19/12/20 12:28:21,0.024,Devices!A2:F2,6,23.285,46631,0,391557.7072,26.3,44.0,#N/A
9258445,19/12/20 12:28:22,0.040,Devices!A2:F2,6,23.292,46628,0,391525.325,26.3,44.0,#N/A
9258451,19/12/20 12:28:23,0.057,Devices!A2:F2,6,23.289,46628,0,391527.9581,26.3,44.0,#N/A
9258456,19/12/20 12:28:24,0.073,Devices!A2:F2,6,23.296,46624,0,391508.0545,26.3,44.0,#N/A
9258464,19/12/20 12:28:25,0.090,Devices!A2:F2,6,23.293,46620,0,391488.0609,26.3,44.0,#N/A
9258473,19/12/20 12:28:26,0.107,Devices!A2:F2,6,23.286,46618,0,391484.3218,26.3,44.0,#N/A
9258483,19/12/20 12:28:27,0.124,Devices!A2:F2,6,23.291,46618,0,391470.0578,26.3,44.0,#N/A
9258487,19/12/20 12:28:28,0.140,Devices!A2:F2,6,23.292,46608,0,391487.2708,26.3,44.0,#N/A
9258496,19/12/20 12:28:29,0.157,Devices!A2:F2,6,23.289,46606,0,391475.6013,26.3,44.0,#N/A
9258505,19/12/20 12:28:30,0.174,Devices!A2:F2,6,23.296,46613,0,391480.4389,26.3,44.0,#N/A
9258514,19/12/20 12:28:31,0.191,Devices!A2:F2,6,23.292,46613,0,391471.829,26.3,44.0,#N/A
9258518,19/12/20 12:28:32,0.207,Devices!A2:F2,6,23.298,46609,0,391483.7307,26.3,44.0,#N/A
9258527,19/12/20 12:28:33,0.223,Devices!A2:F2,6,23.297,46610,0,391469.6933,26.3,44.0,#N/A
9258535,19/12/20 12:28:34,0.240,Devices!A2:F2,6,23.297,46605,0,391460.0058,26.3,44.0,#N/A
9258546,19/12/20 12:28:35,0.257,Devices!A2:F2,6,23.3,46608,0,391457.5738,26.3,44.0,#N/A
9258555,19/12/20 12:28:36,0.274,Devices!A2:F2,6,23.295,46606,0,391466.5203,26.3,44.0,#N/A
9258560,19/12/20 12:28:37,0.290,Devices!A2:F2,6,23.295,46604,0,391472.0808,26.3,44.0,#N/A
9258568,19/12/20 12:28:38,0.307,Devices!A2:F2,6,23.306,46605,0,391477.2599,26.3,44.0,#N/A
9258579,19/12/20 12:28:39,0.324,Devices!A2:F2,6,23.298,46604,0,391478.0241,26.3,44.0,#N/A
9258582,19/12/20 12:28:40,0.340,Devices!A2:F2,6,23.294,46597,0,391457.8695,26.3,44.0,#N/A
9258592,19/12/20 12:28:41,0.357,Devices!A2:F2,6,23.303,46600,0,391453.6054,26.3,44.0,#N/A
9258603,19/12/20 12:28:42,0.374,Devices!A2:F2,6,23.298,46594,0,391450.3627,26.3,44.0,#N/A
9258605,19/12/20 12:28:43,0.390,Devices!A2:F2,6,23.301,46597,0,391433.4404,26.3,44.0,#N/A
9258613,19/12/20 12:28:44,0.407,Devices!A2:F2,6,23.305,46594,0,391436.3688,26.3,44.0,#N/A
9258624,19/12/20 12:28:45,0.424,Devices!A2:F2,6,23.303,46598,0,391425.9384,26.3,44.0,#N/A
9258636,19/12/20 12:28:46,0.440,Devices!A2:F2,6,23.293,46591,0,391439.4999,26.3,44.0,#N/A
9258637,19/12/20 12:28:47,0.457,Devices!A2:F2,6,23.299,46594,0,391432.1294,26.3,44.0,#N/A
9258646,19/12/20 12:28:48,0.474,Devices!A2:F2,6,23.299,46592,0,391429.1194,26.3,44.0,#N/A
9258659,19/12/20 12:28:49,0.491,Devices!A2:F2,6,23.297,46592,0,391435.9643,26.3,44.0,#N/A
9258661,19/12/20 12:28:50,0.507,Devices!A2:F2,6,23.305,46583,0,391442.5629,26.3,44.0,#N/A
9258675,19/12/20 12:28:51,0.524,Devices!A2:F2,6,23.304,46588,0,391419.6545,26.3,44.0,#N/A
9258684,19/12/20 12:28:52,0.540,Devices!A2:F2,6,23.3,46588,0,391418.2481,26.3,44.0,#N/A
9258685,19/12/20 12:28:53,0.557,Devices!A2:F2,6,23.297,46583,0,391425.6973,26.3,44.0,#N/A
9258694,19/12/20 12:28:54,0.573,Devices!A2:F2,6,23.298,46582,0,391419.7799,26.3,44.0,#N/A
9258702,19/12/20 12:28:55,0.590,Devices!A2:F2,6,23.308,46578,0,391413.6331,26.3,44.0,#N/A
9258715,19/12/20 12:28:56,0.607,Devices!A2:F2,6,23.301,46571,0,391419.2559,26.3,44.0,#N/A
9258724,19/12/20 12:28:57,0.624,Devices!A2:F2,6,23.3,46582,0,391415.7109,26.3,44.0,#N/A
9258726,19/12/20 12:28:58,0.640,Devices!A2:F2,6,23.298,46578,0,391407.8298,26.3,44.0,#N/A
9258734,19/12/20 12:28:59,0.657,Devices!A2:F2,6,23.301,46580,0,391411.0128,26.3,44.0,#N/A
9258747,19/12/20 12:29:00,0.674,Devices!A2:F2,6,23.294,46576,0,391404.2923,26.3,44.0,#N/A
9258749,19/12/20 12:29:01,0.690,Devices!A2:F2,6,23.3,46574,0,391387.1744,26.3,44.0,#N/A
