Date,plug_id,Channel.Position,Chamber ,Run,Temp.Cat,Chamber.Vol.L,Surface.Area.cm2,Notes
20201219,AST-1470,1,3,1,6,0.61,36,
20201219,AST-1735,2,7,1,6,0.594,36,
20201219,AST-1337,3,2,1,6,0.568,36,
20201219,AST-1409,4,5,1,6,0.615,36,
20201219,AST-1742,5,1,1,6,0.616,36,
20201219,AST-2738,6,8,1,6,0.564,36,
20201219,BK-1,7,4,1,6,0.615,NA,
20201219,BK-2,8,6,1,6,0.618,NA,
