Id,Time,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258653,12:28:49,0.542,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.042,µmol/L,10.14,°C,1030,hPa,Humid,35,0
9258663,12:28:50,0.558,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.753,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9258670,12:28:51,0.576,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.886,µmol/L,10.155,°C,1030,hPa,Humid,35,0
9258679,12:28:52,0.592,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.879,µmol/L,10.14,°C,1030,hPa,Humid,35,0
9258687,12:28:53,0.608,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.062,µmol/L,10.146,°C,1030,hPa,Humid,35,0
9258696,12:28:54,0.625,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.823,µmol/L,10.157,°C,1030,hPa,Humid,35,0
9258705,12:28:55,0.642,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.841,µmol/L,10.152,°C,1030,hPa,Humid,35,0
9258710,12:28:56,0.658,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.909,µmol/L,10.158,°C,1030,hPa,Humid,35,0
9258719,12:28:57,0.675,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.096,µmol/L,10.137,°C,1030,hPa,Humid,35,0
9258728,12:28:58,0.692,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.207,µmol/L,10.135,°C,1030,hPa,Humid,35,0
9258739,12:28:59,0.709,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.897,µmol/L,10.143,°C,1030,hPa,Humid,35,0
9258742,12:29:00,0.725,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.017,µmol/L,10.14,°C,1030,hPa,Humid,35,0
9258752,12:29:01,0.742,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.849,µmol/L,10.156,°C,1030,hPa,Humid,35,0
9258760,12:29:02,0.759,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.913,µmol/L,10.139,°C,1030,hPa,Humid,35,0
9258769,12:29:03,0.775,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.952,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9258778,12:29:04,0.792,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.115,µmol/L,10.129,°C,1030,hPa,Humid,35,0
9258782,12:29:05,0.808,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.067,µmol/L,10.143,°C,1030,hPa,Humid,35,0
9258792,12:29:06,0.825,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.985,µmol/L,10.139,°C,1030,hPa,Humid,35,0
9258801,12:29:07,0.842,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.015,µmol/L,10.138,°C,1030,hPa,Humid,35,0
9258809,12:29:08,0.859,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.045,µmol/L,10.142,°C,1030,hPa,Humid,35,0
9258814,12:29:09,0.875,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.902,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9258825,12:29:10,0.892,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.686,µmol/L,10.153,°C,1030,hPa,Humid,35,0
9258833,12:29:11,0.909,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.801,µmol/L,10.159,°C,1030,hPa,Humid,35,0
9258843,12:29:12,0.925,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.049,µmol/L,10.152,°C,1030,hPa,Humid,35,0
9258851,12:29:13,0.942,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.926,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9258856,12:29:14,0.958,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.803,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9258864,12:29:15,0.975,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.908,µmol/L,10.142,°C,1030,hPa,Humid,35,0
9258875,12:29:16,0.992,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.891,µmol/L,10.152,°C,1030,hPa,Humid,35,0
9258883,12:29:17,1.009,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.907,µmol/L,10.155,°C,1030,hPa,Humid,35,0
9258887,12:29:18,1.025,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.863,µmol/L,10.152,°C,1030,hPa,Humid,35,0
9258896,12:29:19,1.042,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.77,µmol/L,10.157,°C,1030,hPa,Humid,35,0
9258903,12:29:20,1.059,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.848,µmol/L,10.154,°C,1030,hPa,Humid,35,0
9258913,12:29:21,1.075,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.985,µmol/L,10.139,°C,1030,hPa,Humid,35,0
9258918,12:29:22,1.091,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.944,µmol/L,10.146,°C,1030,hPa,Humid,35,0
9258927,12:29:23,1.108,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.122,µmol/L,10.137,°C,1030,hPa,Humid,35,0
