Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258503,19/12/20 12:28:30,0.480,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.905,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
9258512,19/12/20 12:28:31,0.497,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.411,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258521,19/12/20 12:28:32,0.514,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.065,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258526,19/12/20 12:28:33,0.530,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.203,µmol/L,10.192,°C,1029.000,hPa,Humid,35,0
9258533,19/12/20 12:28:34,0.547,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.213,µmol/L,10.199,°C,1029.000,hPa,Humid,35,0
9258543,19/12/20 12:28:35,0.564,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.113,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258551,19/12/20 12:28:36,0.580,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.396,µmol/L,10.202,°C,1029.000,hPa,Humid,35,0
9258559,19/12/20 12:28:37,0.596,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.829,µmol/L,10.192,°C,1029.000,hPa,Humid,35,0
9258566,19/12/20 12:28:38,0.613,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.848,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258575,19/12/20 12:28:39,0.630,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.845,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258583,19/12/20 12:28:40,0.647,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.992,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258590,19/12/20 12:28:41,0.663,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.832,µmol/L,10.194,°C,1029.000,hPa,Humid,35,0
