YYYY	MM	DD	hh	WD	WSP	D GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2004	11	4	20	203	7	7.9	99	99	99	999	1014.4	9.7	11.8	999	99	99
2004	11	4	21	192	5.1	6.9	99	99	99	999	1012.9	10.2	12.2	999	99	99
2004	11	4	22	183	6.2	7.9	99	99	99	999	1011.1	10.7	12	999	99	99
2004	11	4	23	180	5.9	8.6	99	99	99	999	1009.7	10.7	12	999	99	99
2004	11	5	0	174	5.7	10	99	99	99	999	1007.1	10.7	12	999	99	99
2004	11	5	1	159	9.2	12.3	99	99	99	999	1004.7	10.9	12.2	999	99	99
2004	11	5	2	159	6.9	12	99	99	99	999	1001.9	11.3	12.3	999	99	99
2004	11	5	3	153	5.9	9.2	99	99	99	999	997.4	12.2	12.1	999	99	99
2004	11	5	4	177	8.5	16	99	99	99	999	993.3	13.6	12.5	999	99	99
2004	11	5	5	24	1.3	4.1	99	99	99	999	993.1	11.6	12.3	999	99	99
2004	11	5	6	322	3.9	7.5	99	99	99	999	992.5	11.1	12.4	999	99	99
2004	11	5	7	311	6.4	8.1	99	99	99	999	993.1	11	12.7	999	99	99
2004	11	5	8	284	4.6	8.6	99	99	99	999	993.4	9.9	12.8	999	99	99
2004	11	5	9	277	6.6	8.7	99	99	99	999	993.3	9.7	12.9	999	99	99
2004	11	5	10	280	6.3	8	99	99	99	999	993.9	9.6	12.9	999	99	99
2004	11	5	11	289	5.9	10.6	99	99	99	999	995.3	9.6	12.9	999	99	99
2004	11	5	12	275	7	10.3	99	99	99	999	996.4	9.8	12.9	999	99	99
2004	11	5	13	293	7.4	11.4	99	99	99	999	997.7	10.4	12.9	999	99	99
2004	11	5	14	275	9	13.4	99	99	99	999	998	10.4	12.7	999	99	99
2004	11	5	15	276	9.8	14	99	99	99	999	998.4	10.7	12.8	999	99	99
2004	11	5	16	302	12.1	17.5	99	99	99	999	998.7	11.4	12.7	999	99	99
2004	11	5	17	282	10.2	14.1	99	99	99	999	998.4	12.1	12.7	999	99	99
2004	11	5	19	307	10.2	19.9	99	99	99	999	1000.1	11.3	12.6	999	99	99
2004	11	5	20	314	7.8	13.2	99	99	99	999	1000.5	11.6	12.6	999	99	99
2004	11	5	21	314	7.9	16	99	99	99	999	1001.7	11.4	12.6	999	99	99
2004	11	5	22	317	11.1	15.3	99	99	99	999	1003.2	9.9	12.6	999	99	99
2004	11	5	23	299	10.6	15.9	99	99	99	999	1004.5	9.5	12.4	999	99	99
2004	11	6	0	296	9.2	14.9	99	99	99	999	1005.5	8.7	12.2	999	99	99
2004	11	6	1	297	3.2	15.3	99	99	99	999	1006.6	8.3	12.2	999	99	99
2004	11	6	2	299	7.9	10.2	99	99	99	999	1007.3	8.2	12.1	999	99	99
2004	11	6	3	286	4.7	7.6	99	99	99	999	1007.8	7.9	12	999	99	99
2004	11	6	4	265	6.3	8.8	99	99	99	999	1008.2	8	11.9	999	99	99
2004	11	6	5	281	6	9.5	99	99	99	999	1008.6	8.1	11.8	999	99	99
2004	11	6	6	269	6.7	8.9	99	99	99	999	1009.1	7.6	11.8	999	99	99
2004	11	6	7	267	8	12.7	99	99	99	999	1009.8	7.7	10.9	999	99	99
2004	11	6	8	266	7.5	10.9	99	99	99	999	1009.8	7.7	10.6	999	99	99
2004	11	6	9	267	6.1	8.2	99	99	99	999	1010.2	7.7	10.6	999	99	99
2004	11	6	10	265	5.5	7.5	99	99	99	999	1010.1	7.7	10.6	999	99	99
2004	11	6	11	263	6.3	9.2	99	99	99	999	1010.1	7.9	10.5	999	99	99
2004	11	6	12	266	6.3	11.3	99	99	99	999	1010.1	8.4	10.6	999	99	99
2004	11	6	13	264	5.9	9.1	99	99	99	999	1010.2	8.7	10.6	999	99	99
2004	11	6	14	277	6.2	8.4	99	99	99	999	1010	9.4	10.6	999	99	99
2004	11	6	15	269	5.8	7.5	99	99	99	999	1009.2	10.6	10.6	999	99	99
2004	11	6	16	249	8.7	12.4	99	99	99	999	1007.9	10.9	10.7	999	99	99
2004	11	6	17	251	10.8	14.3	99	99	99	999	1007.1	11.7	10.8	999	99	99
2004	11	6	18	250	9.2	12.6	99	99	99	999	1006.5	12.5	10.9	999	99	99
2004	11	7	7	259	4.1	6.3	99	99	99	999	1010.5	11.7	10.9	999	99	99
2004	11	7	10	239	1.6	3.1	99	99	99	999	1011.3	10.4	10.4	999	99	99
2004	11	8	0	237	6.4	9.4	99	99	99	999	1008.1	13.6	12.2	999	99	99
2004	11	8	4	254	7.6	10.8	99	99	99	999	1006.8	14.1	12.2	999	99	99
2004	11	8	5	249	6.3	10	99	99	99	999	1006	14	12.2	999	99	99
2004	11	8	9	346	6.1	12.2	99	99	99	999	1008.4	11.8	12.4	999	99	99
2004	11	8	15	345	5.4	11.5	99	99	99	999	1017	7.2	11.8	999	99	99
2004	11	8	17	1	2.9	8	99	99	99	999	1017.1	9.5	12	999	99	99
2004	11	8	18	334	4.3	9	99	99	99	999	1017.4	9.7	12	999	99	99
