"","Day","WTMP"
"307","8-10",21.3573707836553
"308","8-11",21.2373182006525
"309","8-12",21.3271060235403
"310","8-13",21.3706547524475
"311","8-14",21.247981601563
"312","8-15",21.1495324715247
"313","8-16",20.9510256752364
"314","8-17",21.1944070615806
"315","8-18",21.1771519092513
"316","8-19",21.1363517204922
"317","8-2",21.6012903622918
"318","8-20",21.0186795935467
"319","8-21",20.9602328013922
"320","8-22",20.9821994105704
"321","8-23",20.7564552147882
"322","8-24",20.7073722251587
"323","8-25",20.8508465748086
"324","8-26",21.3080706627527
"325","8-27",20.839660522072
"326","8-28",20.7698270145229
"327","8-29",20.5621967669684
"328","8-3",21.6587565491604
"329","8-30",20.3078507906474
"330","8-31",20.5896042440454
"331","8-4",21.6584922791641
"332","8-5",21.5170023588604
"333","8-6",21.4291438968338
"334","8-7",21.2120432141908
"335","8-8",21.1109617926083
"336","8-9",21.2686272065049
"337","9-1",20.7267340971096
"338","9-10",20.0694359407995
"339","9-11",19.8467285153348
"340","9-12",19.8226394291452
"341","9-13",19.7327571218214
"342","9-14",19.9160152637939
"343","9-15",19.7814255690493
"344","9-16",19.5059570355292
"345","9-17",19.3893972389432
"346","9-18",19.3581638207115
"347","9-19",19.1633491736871
"348","9-2",20.6108182058329
"349","9-20",19.0486101484297
"350","9-21",19.0409890402682
"351","9-22",19.1075795177876
"352","9-23",18.990196009341
"353","9-24",18.8155560500959
"354","9-25",18.6831154549398
"355","9-26",18.7653809343032
"356","9-27",18.8000441138307
"357","9-28",18.6862079442862
"358","9-29",18.6314398770706
"359","9-3",20.5345715550364
"360","9-30",18.3897045471317
"361","9-4",20.440560215133
"362","9-5",20.7711323315147
"363","9-6",20.4732508192941
"364","9-7",20.2735484105008
"365","9-8",20.3750251646927
"366","9-9",20.3036256519642
