PlugID,Area_cm,vol_mL,Site,Treatment,Timepoint,ExperimentalTank,mean_concentration,prot_ug,prot_ug.cm2,prot_mg.cm2
AST-2003,1.35,24,ENDV,Heat,TP0,17,666.4478081,15994.7474,11847.96103,11.84796103
AST-2007,5.155,20,FW,Heat,TP7,4,178.2693526,3565.387051,691.6366734,0.6916366734
AST-2016,2.901,7,ENDV,Ambient,TP3,2,192.0661529,1344.46307,463.4481455,0.4634481455
AST-2044,1.407,14,FW,Heat,TP6,17,67.90963466,950.7348852,675.7177578,0.6757177578
AST-2168,3.735,5.5,FW,Ambient,TP6,10,111.407606,612.741833,164.0540383,0.1640540383
AST-2197,1.216,15,FW,Ambient,TP0,1,325.7731725,4886.597588,4018.583542,4.018583542
AST-2198,2.332,13,FW,Ambient,TP0,5,203.3021342,2642.927744,1133.330937,1.133330937
AST-2208,2.144,11,FW,Ambient,TP6,18,118.9289743,1308.218717,610.1766405,0.6101766405
AST-2209,4.276,13,FW,Ambient,TP1,12,528.2438022,6867.169429,1605.979754,1.605979754
AST-2211,3.961,8,ENDV,Heat,TP7,15,384.0937602,3072.750081,775.7510935,0.7757510935
AST-2302,4.153,4.5,FW,Ambient,TP7,12,269.9027393,1214.562327,292.4542083,0.2924542083
AST-2360,3.469,21,FW,Ambient,TP5,12,176.1810374,3699.801785,1066.532656,1.066532656
AST-2375,1.995,14,FW,Ambient,TP5,2,289.6760498,4055.464697,2032.814384,2.032814384
AST-2378,6.158,10,ENDV,Ambient,TP1,8,795.7584277,7957.584277,1292.235186,1.292235186
AST-2398,0.972,4.5,FW,Heat,TP0,9,543.2902983,2444.806342,2515.232862,2.515232862
AST-2403,3.903,7,FW,Ambient,TP2,5,335.801199,2350.608393,602.2568263,0.6022568263
AST-2404,2.17,30,FW,Heat,TP5,6,183.6544434,5509.633302,2539.001522,2.539001522
AST-2512,1.299,15,FW,Heat,TP5,11,39.81903817,597.2855725,459.8041359,0.4598041359
AST-2520,9.138,23,FW,Ambient,TP1,10,526.4447479,12108.2292,1325.041497,1.325041497
AST-2523,1.03,10,FW,Ambient,TP7,8,107.1197625,1071.197625,1039.997694,1.039997694
AST-2533,2.612,3.5,FW,Ambient,TP0,8,268.4701641,939.6455743,359.7417972,0.3597417972
AST-2538,1.398,16,FW,Ambient,TP2,16,363.7037977,5819.260763,4162.561347,4.162561347
AST-2539,7.357,23,FW,Ambient,TP2,10,621.460693,14293.59594,1942.856591,1.942856591
AST-2561,3.602,9,ENDV,Heat,TP3,7,451.4837057,4063.353352,1128.082552,1.128082552
AST-2563,5.757,30.5,FW,Heat,TP5,3,349.1719009,10649.74298,1849.877189,1.849877189
