Well,ID
A1,Blank 
B1,Blank 
C1,AST-1617
D1,AST-1617
E1,FLD-0038
F1,FLD-0038
G1,FLD-0024
H1,FLD-0024
A2,AST-2731
B2,AST-2731
C2,AST-2360
D2,AST-2360
E2,AST-1585
F2,AST-1585
G2,AST-2737
H2,AST-2737
A3,AST-1826
B3,AST-1826
C3,AST-1109
D3,AST-1109
E3,FLD-0010
F3,FLD-0010
G3,AST-2870
H3,AST-2870
A4,AST-1138
B4,AST-1138
C4,AST-1416
D4,AST-1416
E4,AST-1457
F4,AST-1457
G4,AST-1148
H4,AST-1148
A5,AST-1423
B5,AST-1423
C5,AST-1742
D5,AST-1742
E5,AST-1147
F5,AST-1147
G5,AST-1087
H5,AST-1087
A6,FLD-0008
B6,FLD-0008
C6,FLD-0002
D6,FLD-0002
E6,AST-1182
F6,AST-1182
G6,AST-1696
H6,AST-1696
A7,AST-2512
B7,AST-2512
C7,AST-1578
D7,AST-1578
E7,FLD-0007
F7,FLD-0007
G7,AST-1754
H7,AST-1754
A8,AST-1041
B8,AST-1041
C8,FLD-0039
D8,FLD-0039
E8,FLD-0017
F8,FLD-0017
G8,FLD-0033
H8,FLD-0033
A9,AST-1458
B9,AST-1458
C9,FLD-0012
D9,FLD-0012
E9,AST-2755
F9,AST-2755
G9,AST-1159
H9,AST-1159
A10,AST-1473
B10,AST-1473
C10,AST-1194
D10,AST-1194
E10,AST-1337
F10,AST-1337
G10,FLD-0023
H10,FLD-0023
A11,AST-1735
B11,AST-1735
C11,AST-1091
D11,AST-1091
E11,AST-2375
F11,AST-2375
G11,AST-1189
H11,AST-1189
A12,AST-2859
B12,AST-2859
C12,AST-1255
D12,AST-1255
E12,AST-2079
F12,AST-2079
G12,AST-2003
H12,AST-2003
