PlugID,Site,Treatment,Timepoint,AirbrushDate,AirbrushTech,vol_mL,Notes
AST-1630,ENDV,Heat,TP1,3/19/22,JA,24,
AST-1754,FW,Heat,TP4,3/19/22,JA,18,
AST-1647,ENDV,Heat,TP7,3/19/22,JA,44,
AST-2007,FW,Heat,TP7,3/19/22,JA,20,
AST-2729,FW,Heat,TP7,3/19/22,JA,25,
AST-2209,FW,Ambient,TP1,3/22/22,JA,13,
AST-1138,ENDV,Ambient,TP1,3/22/22,JA,23,
AST-1185,ENDV,Heat,TP1,3/22/22,JA,6,
AST-1332,ENDV,Heat,TP1,3/22/22,JA,25,
AST-1497,FW,Ambient,TP1,3/22/22,JA,27,
AST-1649,FW,Heat,TP1,3/22/22,JA,15,
AST-1696,FW,Ambient,TP1,3/22/22,JA,10,
AST-2301,ENDV,Heat,TP1,3/22/22,JA,50,
AST-1694,FW,Heat,TP4,3/24/22,JA,20,
AST-1474,FW,Ambient,TP4,3/24/22,JA,47,
AST-2880,ENDV,Ambient,TP4,3/24/22,JA,15,
AST-1152,FW,Heat,TP4,3/24/22,JA,14,
AST-1343,ENDV,Ambient,TP4,3/24/22,JA,50,
AST-1499,ENDV,Heat,TP4,3/24/22,JA,15,
AST-1826,FW,Heat,TP4,3/24/22,JA,16,
AST-2060,FW,Ambient,TP4,3/24/22,JA,8,
AST-2669,ENDV,Heat,TP4,3/24/22,JA,28,
AST-1174,FW,Ambient,TP4,3/27/22,JA,7.5,
AST-2728,ENDV,Heat,TP4,3/27/22,JA,24,
AST-1109,FW,Ambient,TP4,3/27/22,JA,12,
AST-1194,ENDV,Ambient,TP4,3/27/22,JA,NA,Blank in notebook 
AST-1568,FW,Ambient,TP4,3/27/22,JA,13,
AST-2412,FW,Heat,TP5,4/4/22,JA,18,
FLD-0031,FW,NA,TP7,4/4/22,JA,21,
FLD-0033,FW,NA,TP7,4/4/22,JA,23,
FLD-0009,FW,NA,TP4,4/10/22,JA,35,
FLD-0010,FW,NA,TP4,4/10/22,JA,46,
FLD-0011,FW,NA,TP4,4/10/22,JA,36,
AST-1416,ENDV,Heat,TP5,4/10/22,JA,20,
AST-1617,FW,Ambient,TP5,4/10/22,JA,11,
AST-2360,FW,Ambient,TP5,4/10/22,JA,21,
AST-1739,ENDV,Ambient,TP7,4/10/22,JA,35,
AST-1091,ENDV,Ambient,TP7,4/10/22,JA,25,
AST-1105,FW,Ambient,TP7,4/10/22,JA,27,
AST-1159,ENDV,Ambient,TP7,4/10/22,JA,32,
AST-2755,FW,Heat,TP7,4/10/22,JA,10.5,
AST-1288,ENDV,Ambient,TP2,4/12/22,JA,14.5,
AST-2541,FW,Heat,TP2,4/12/22,JA,15,
AST-1562,ENDV,Heat,TP4,4/12/22,JA,48,
FLD-0013,FW,NA,TP4,4/12/22,JA,42,
FLD-0008,FW,NA,TP4,4/12/22,JA,20,
FLD-0012,FW,NA,TP4,4/12/22,JA,25,
FLD-0014,FW,NA,TP4,4/12/22,JA,20,
AST-1412,FW,Ambient,TP5,4/12/22,JA,5,
AST-1458,ENDV,Ambient,TP5,4/12/22,JA,30,
AST-1578,ENDV,Heat,TP5,4/12/22,JA,32,
AST-1692,FW,Ambient,TP5,4/12/22,JA,5.5,
AST-2563,FW,Heat,TP5,4/12/22,JA,30.5,
FLD-0032,FW,NA,TP7,4/13/22,JA/CG,24,
FLD-0039,FW,NA,TP8,4/13/22,JA/CG,26,
AST-1722,FW,Ambient,TP0,4/15/22,JA,27,
AST-2873,FW,Heat,TP0,4/15/22,JA,13,
AST-2520,FW,Ambient,TP1,4/15/22,JA,23,
AST-1184,ENDV,Heat,TP2,4/15/22,JA,23,
AST-2165,ENDV,Heat,TP2,4/15/22,JA,6,
AST-1337,FW,Ambient,TP2,4/15/22,JA,19,
AST-2538,FW,Ambient,TP2,4/15/22,JA,16,
FLD-0020,FW,NA,TP5,4/15/22,JA,42,
AST-1065,FW,Heat,TP7,4/15/22,JA,8.5,
AST-2523,FW,Ambient,TP7,4/15/22,JA,10,
AST-2198,FW,Ambient,TP0,4/17/22,JA,13,
FLD-1655,FW,NA,TP2,4/17/22,JA,29,
AST-1249,FW,Heat,TP3,4/17/22,JA,11,
AST-2044,FW,Heat,TP6,4/17/22,JA,14,
AST-2539,FW,Ambient,TP2,5/24/22,JA,23,
FLD-1693,FW,NA,TP2,5/24/22,JA,25,
AST-2020,FW,Heat,TP2,5/24/22,JA,8.5,
AST-1080,FW,Heat,TP3,5/24/22,JA,12,
AST-2000,FW,Ambient,TP5,5/24/22,JA,23,
AST-2375,FW,Ambient,TP5,5/24/22,JA,14,
AST-1074,FW,Heat,TP6,5/24/22,JA,14,
AST-1167,ENDV,Ambient,TP6,5/24/22,JA,27,
AST-1255,ENDV,Ambient,TP6,5/24/22,JA,30,
AST-2079,ENDV,Heat,TP6,5/24/22,JA,23,
AST-2197,FW,Ambient,TP0,5/25/22,JA,15,
AST-1761,FW,Heat,TP2,5/25/22,JA,12,
FLD-2305,FW,NA,TP2,5/25/22,JA,25,
FLD-2550,FW,NA,TP2,5/25/22,JA,16,
FLD-0001,FW,NA,TP3,5/25/22,JA,16,
FLD-0003,FW,NA,TP3,5/25/22,JA,39,
AST-2404,FW,Heat,TP5,5/25/22,JA,30,
AST-1145,ENDV,Ambient,TP6,5/25/22,JA,8,
FLD-0029,FW,NA,TP6,5/25/22,JA,35,
AST-1593,FW,Ambient,TP0,5/26/22,JA,8,
AST-1273,ENDV,Heat,TP2,5/26/22,JA,15,
AST-1148,ENDV,Heat,TP3,5/26/22,JA,11.5,
AST-2731,ENDV,Heat,TP3,5/26/22,JA,14.5,
AST-2208,FW,Ambient,TP6,5/26/22,JA,11,
AST-1189,ENDV,Ambient,TP6,5/26/22,JA,8.5,
AST-1450,,Collected after treatments had stopped in Sept 2021,TP8,5/26/22,JA,22,
AST-1058,ENDV,Ambient,TP1,6/27/22,CG,11,
FLD-2024,FW,NA,TP2,6/27/22,CG,19,
AST-1432,ENDV,Ambient,TP3,6/27/22,CG,11,
AST-1434,FW,Ambient,TP3,6/27/22,CG,9,
