PlugID,File Name,Site,Tank,Treatment,Timepoint,Area_cm,Mean,Min,Max,Date analyzed ,Notes
AST-1159,1159_Tank1_TP7_20210820.JPG,ENDV,1,Ambient,TP7,6.942,47.887,11,204,3/17/22,
AST-1486,1486_Tank7_TP7_20210820.JPG,ENDV,7,Heat,TP7,8.847,97.272,18,193,3/17/22,
AST-1560,1560_Tank10_TP7_20210820.JPG,FW,10,Ambient,TP7,1.149,38.163,11,189,3/17/22,
AST-1647,1647_Tank3_TP7_20210820.JPG,ENDV,3,Heat,TP7,14.396,73.734,14,195,3/17/22,
AST-1739,1739_Tank18_TP7_20210820.JPG,ENDV,18,Ambient,TP7,13.743,81.614,17,185,3/17/22,
AST-2007,2007_Tank4_TP7_20210820.JPG,FW,4,Heat,TP7,5.155,46.758,13,205,3/17/22,
AST-2211,2211_Tank15_TP7_20210820.JPG,ENDV,15,Ambient,TP7,3.961,69.091,20,180,3/17/22,
AST-2302,2302_Tank12_TP7_20210820.JPG,FW,12,Ambient,TP7,4.153,59.489,14,220,3/17/22,
AST-2523,2523_Tank8_TP7_20210820.JPG,FW,8,Ambient,TP7,1.03,57.836,7,145,3/17/22,
AST-2729,2729_Tank11_TP7_20210820.JPG,FW,11,Heat,TP7,3.795,44.26,17,180,3/17/22,
AST-2755,2755_Tank17_TP7_20210820.JPG,FW,17,Heat,TP7,1.43,38.135,15,183,3/17/22,
AST-3002,3002_Tank2_TP7_20210820.JPG,ENDV,2,Ambient,TP7,10.246,83.591,10,175,3/17/22,
AST-1562,1562_Tank7_TP5_20210625.JPG,ENDV,7,Heat,TP5,7.724,42.848,5,208,5/16/22,
AST-1578,1578_Tank4_TP5_20210625.JPG,ENDV,4,Heat,TP5,5.531,52.93,6,204,5/16/22,
FLD-0016,FLD-0016_TP5_20210626.JPG,FW,NA,Field,TP5,6.553,4/24/00,23,185,3/17/22,
FLD-0015,FLD-0015_TP5_20210626.JPG,FW,NA,Field,TP5,15.608,3/5/00,7,186,3/17/22,
FLD-0017,FLD-0017_TP5_20210626.JPG,FW,NA,Field,TP5,3.731,3/14/00,13,207,3/17/22,
FLD-0018,FLD-0018_TP5_20210626.JPG,FW,NA,Field,TP5,4.022,4/14/00,19,224,3/17/22,
FLD-0019,FLD-0019_TP5_20210626.JPG,FW,NA,Field,TP5,3.97,5/4/00,35,223,3/17/22,
FLD-0020,FLD-0020_TP5_20210626.JPG,FW,NA,Field,TP5,7.453,4/4/00,25,184,3/17/22,
FLD-0021,FLD-0021_TP5_20210626.JPG,FW,NA,Field,TP5,13.177,3/31/00,24,187,3/17/22,
FLD-0022,FLD-0022_TP5_20210626.JPG,FW,NA,Field,TP5,8.902,4/12/00,28,186,3/17/22,
FLD-0008,FLD-0008_TP4_20210603.JPG,FW,NA,Field,TP4,5.705,3/16/00,15,179,3/17/22,
FLD-0009,FLD-0009_TP4_20210603.JPG,FW,NA,Field,TP4,3.273,3/31/00,16,179,3/17/22,
FLD-0010,FLD-0010_TP4_20210603.JPG,FW,NA,Field,TP4,4.099,4/15/00,30,175,3/17/22,
FLD-0011,FLD-0011_TP4_20210603.JPG,FW,NA,Field,TP4,3.395,3/28/00,6,178,3/17/22,
FLD-0012,FLD-0012_TP4_20210603.JPG,FW,NA,Field,TP4,3.342,3/28/00,10,182,3/17/22,
FLD-0013,FLD-0013_TP4_20210603.JPG,FW,NA,Field,TP4,6.346,4/1/00,13,183,3/17/22,
FLD-0014,FLD-0014_TP4_20210603.JPG,FW,NA,Field,TP4,2.354,3/31/00,29,191,3/17/22,
FLD-1237,,FW,NA,Field,TP2,,,,,,
FLD-1241,,FW,NA,Field,TP2,,,,,,
FLD-1655,,FW,NA,Field,TP2,,,,,,
FLD-1693,,FW,NA,Field,TP2,,,,,,
FLD-2024,,FW,NA,Field,TP2,,,,,,
FLD-2305,,FW,NA,Field,TP2,,,,,,
FLD-2550,,FW,NA,Field,TP2,,,,,,
FLD-0001,FLD-0001_TP3_20210430.jpg,FW,NA,Field,TP3,3.979,4/10/00,5,180,4/12/22,
FLD-0002,FLD-0002_TP3_20210430.jpg,FW,NA,Field,TP3,3.482,4/30/00,12,183,4/12/22,
FLD-0003,FLD-0003_TP3_20210430.jpg,FW,NA,Field,TP3,6.894,3/31/00,4,247,4/12/22,
FLD-0004,FLD-0004_TP3_20210430.jpg,FW,NA,Field,TP3,5.023,4/19/00,26,189,4/12/22,
FLD-0005,FLD-0005_TP3_20210430.jpg,FW,NA,Field,TP3,3.05,4/15/00,23,172,4/12/22,
FLD-0006,FLD-0006_TP3_20210430.jpg,FW,NA,Field,TP3,5.447,4/13/00,4,185,4/12/22,
FLD-0007,FLD-0007_TP3_20210430.jpg,FW,NA,Field,TP3,4.125,3/23/00,17,177,4/12/22,
FLD-0023,FLD-0023_TP6_20210724.JPG,FW,NA,Field,TP6,5.633,2/25/00,12,190,5/8/22,
FLD-0024,FLD-0024_TP6_20210724.JPG,FW,NA,Field,TP6,5.574,3/11/00,18,161,5/8/22,
FLD-0025,FLD-0025_TP6_20210724.JPG,FW,NA,Field,TP6,4.008,2/7/00,10,155,5/8/22,
FLD-0026,FLD-0026_TP6_20210724.JPG,FW,NA,Field,TP6,4.331,4/13/00,18,187,5/8/22,
FLD-0027,FLD-0027_TP6_20210724.JPG,FW,NA,Field,TP6,7.14,3/27/00,23,159,5/8/22,Top part of coral is cut off in photo
FLD-0028,FLD-0028_TP6_20210724.JPG,FW,NA,Field,TP6,4.534,4/10/00,17,173,5/8/22,
FLD-0029,FLD-0029_TP6_20210724.JPG,FW,NA,Field,TP6,4.715,3/25/00,20,173,5/8/22,Top part of coral is cut off in photo
FLD-0030,FLD-0030_TP6_20210724.JPG,FW,NA,Field,TP6,1.998,2/23/00,15,157,5/8/22,
FLD-0031,FLD-0031_TP7_20210902.JPG,FW,NA,Field,TP7,4.374,3/8/00,11,207,5/8/22,
FLD-0032,FLD-0032_TP7_20210902.JPG,FW,NA,Field,TP7,3.841,3/4/00,18,180,5/8/22,
FLD-0033,FLD-0033_TP7_20210902.JPG,FW,NA,Field,TP7,2.706,3/20/00,24,194,5/8/22,
FLD-0034,FLD-0034_TP7_20210902.JPG,FW,NA,Field,TP7,4.077,2/19/00,12,196,5/8/22,
FLD-0035,FLD-0035_TP7_20210902.JPG,FW,NA,Field,TP7,6.973,3/2/00,15,180,5/8/22,
FLD-0036,FLD-0036_TP7_20210902.JPG,FW,NA,Field,TP7,3.151,3/14/00,30,177,5/8/22,
FLD-0037,FLD-0037_TP7_20210902.JPG,FW,NA,Field,TP7,4.603,3/2/00,21,176,5/8/22,
FLD-0038,FLD-0038_TP7_20210902.JPG,FW,NA,Field,TP7,6.682,4/13/00,32,185,5/8/22,
