"","ID","Site","Treatment","Timepoint","chla.ug.ml","chlc2.ug.ml","chla.ug.cm2","chlc2.ug.cm2"
"1","AST-2533","FW","Ambient","TP0",0.1650092,0.0261048,0.221107274119449,0.0349796324655436
"2","AST-2003","ENDV","Heat","TP0",0.33631976,0.06591024,5.97901795555555,1.1717376
"3","AST-2873","FW","Heat","TP0",0.40232344,0.0763521599999999,1.24232891211401,0.235766764845605
"4","AST-1585","FW","Heat","TP0",0.50504028,0.07513452,0.483887484259513,0.0719876320832193
"5","AST-1722","FW","Ambient","TP0",0.34614556,0.0706406399999999,5.53341037300177,1.12924646536412
"6","AST-2197","FW","Ambient","TP0",0.10549376,0.02145324,1.30132105263158,0.264637006578947
"7","AST-1618","FW","Heat","TP0",0.12495848,0.0388243200000001,0.625686237482117,0.194399313304721
"8","AST-2859","FW","Heat","TP0",0.20764996,0.04396644,0.77409118359739,0.163900987884436
"9","AST-1423","FW","Heat","TP0",0.26049028,0.05073792,0.332484189925119,0.0647607896528251
"10","AST-1593","FW","Ambient","TP0",0.20153548,0.02235552,0.689304762719111,0.0764618041898248
"11","AST-1567","FW","Heat","TP0",0.06229236,0.02732244,0.103632177858439,0.0454547549909257
"12","AST-1147","FW","Ambient","TP0",0.63371008,0.09707832,4.45284449704142,0.682133165680473
"13","AST-2398","FW","Heat","TP0",0.17464812,0.03874548,0.808556111111111,0.179377222222222
"14","AST-1345","FW","Ambient","TP0",0.67245264,0.13973076,3.96408308681672,0.823707588424436
"15","AST-2198","FW","Ambient","TP0",0.53692084,0.12781716,2.99312646655232,0.712531337907376
"16","AST-2520","FW","Ambient","TP1",0.45812756,0.09788424,1.15308972203983,0.246370925804333
"17","AST-2378","ENDV","Ambient","TP1",0.16426168,0.05774592,0.266745177005521,0.0937738226696979
"18","AST-1457","FW","Ambient","TP1",0.36208584,0.09698196,0.883362989214176,0.236602110939908
"19","AST-1138","FW","Ambient","TP1",0.11865712,0.02512368,0.953235682850157,0.201831868669228
"20","AST-2209","FW","Ambient","TP1",0.70582824,0.12913116,2.14587631431244,0.392587717492984
"21","AST-1058","ENDV","Ambient","TP1",0.22748844,0.04551696,0.699182129086337,0.139895658005029
"22","AST-1497","FW","Ambient","TP1",0.11216888,0.01933332,1.19800623417721,0.206487199367089
"23","AST-1696","FW","Ambient","TP1",0.12533224,0.02300376,0.701355567991046,0.128728371572468
"24","AST-1332","ENDV","Heat","TP1",0.26049028,0.0507379200000001,1.46507469066367,0.28536512935883
"25","AST-1649","FW","Heat","TP1",0.11865712,0.02512368,0.550527930714507,0.116565171667182
"26","AST-1630","ENDV","Heat","TP1",0.2769912,0.0533484,4.11627789473684,0.792793560371518
"27","AST-1185","ENDV","Heat","TP1",0.2504776,0.0539178000000001,0.369073084479371,0.0794466601178783
"28","AST-2301","ENDV","Heat","TP1",0.1218078,0.031974,0.780519031141868,0.204882737408689
"29","AST-1325","ENDV","Heat","TP1",0.02280228,0.01631112,0.0666003066812706,0.047641095290252
"30","AST-2539","FW","Ambient","TP2",0.5471204,0.116727,1.7104484436591,0.364920619817861
"31","AST-1037","FW","Ambient","TP2",0.28366632,0.05122848,0.757386044855821,0.136779494482022
"32","AST-1337","FW","Ambient","TP2",0.27346676,0.0623186399999999,2.19327498522583,0.49981180244829
"33","AST-2020","FW","Heat","TP2",0.24398936,0.0481274399999999,0.857696261373036,0.169182481389578
"34","AST-2403","FW","Ambient","TP2",0.35634512,0.05955048,0.639102188060466,0.106803320522675
"35","AST-1182","FW","Ambient","TP2",0.8643492,0.1494456,5.5764464516129,0.964165161290323
"36","AST-2538","FW","Ambient","TP2",0.58679736,0.11982804,6.7158496137339,1.37142248927039
"37","AST-1288","ENDV","Ambient","TP2",0.46424204,0.11949516,0.905259491662184,0.233012348036579
"38","AST-2165","ENDV","Heat","TP2",0.45794068,0.10579452,1.63064930563798,0.376716391691395
"39","AST-1496","FW","Heat","TP2",0.75105904,0.17757396,1.49390162108404,0.353205290900049
"40","AST-1473","FW","Heat","TP2",0.22062644,0.05554716,0.164554495618124,0.0414299160917397
"41","AST-1735","FW","Heat","TP2",0.78536904,0.12742296,1.76249784560144,0.285958168761221
"42","AST-1273","ENDV","Heat","TP2",0.26382784,0.04967796,1.13882520863309,0.214437237410072
"43","AST-2541","FW","Heat","TP2",0.930166,0.1677978,2.39281255359287,0.431652718230149
"44","AST-1184","ENDV","Heat","TP2",0.24676628,0.07079832,0.978218621165116,0.280655180972079
"45","AST-1761","FW","Heat","TP2",0.49131628,0.0951949199999999,1.36255959325168,0.264002551421308
"46","AST-1075","ENDV","Heat","TP3",1.10777792,0.22130388,2.31343180080321,0.462160713253012
"47","AST-1148","ENDV","Heat","TP3",0.19373908,0.0719371199999999,0.785613335684062,0.291705528913963
"48","AST-2561","ENDV","Heat","TP3",0.36227272,0.08907168,0.905178922820655,0.22255555802332
"49","AST-1080","FW","Heat","TP3",0.11531956,0.02618364,0.763705695364238,0.173401589403973
"50","AST-1689","ENDV","Heat","TP3",0.63630012,0.12765948,1.90295362990654,0.381785360747664
"51","AST-2731","ENDV","Heat","TP3",0.49446696,0.10204524,2.22940638059701,0.460092033582089
"52","AST-1249","FW","Heat","TP3",0.50058144,0.12365616,1.6501036379982,0.407616949355709
"53","AST-1443","FW","Ambient","TP3",0.93275604,0.19837896,0.997600042780749,0.212170010695187
"54","AST-2016","ENDV","Ambient","TP3",0.3201926,0.0474792,0.772612271630472,0.114565460186143
"55","AST-1077","ENDV","Ambient","TP3",0.43847596,0.08842344,1.42085534672716,0.286530913804277
"56","AST-1434","FW","Ambient","TP3",0.01631404,0.01052076,0.0743801215805471,0.0479669908814588
"57","AST-1719","ENDV","Ambient","TP3",0.71917848,0.12489132,1.46934682020802,0.255164286775632
"58","AST-1432","ENDV","Ambient","TP3",0.49428008,0.10995552,1.7398658816,0.3870434304
"59","AST-1126","ENDV","Ambient","TP3",0.5539824,0.1066968,4.15717754307949,0.800670817120622
"60","AST-2867","ENDV","Ambient","TP3",0.52394436,0.11623644,0.835515795882864,0.185358196578719
"61","AST-1109","FW","Ambient","TP4",0.56343444,0.12724776,3.29654474890297,0.744501764992687
"62","AST-1152","FW","Heat","TP4",0.21432508,0.04184652,1.25703859237537,0.245434134897361
"63","AST-1174","FW","Ambient","TP4",0.06934124,0.00938196000000004,1.14048092105263,0.15430855263158
"64","AST-1474","FW","Ambient","TP4",0.12754852,0.06940548,0.931734603668014,0.507003040099471
"65","AST-1568","FW","Ambient","TP4",0.12199468,0.02406372,1.51618627151052,0.299071089866157
"66","AST-1694","FW","Heat","TP4",0.2671654,0.0486179999999999,0.647516723218613,0.117833252544837
"67","AST-1754","FW","Heat","TP4",0.11865712,0.02512368,1.68706805687204,0.357208720379148
"68","AST-1826","FW","Heat","TP4",0.52098056,0.10147584,0.715202827970828,0.139306172458173
"69","AST-2060","FW","Ambient","TP4",0.286817,0.0580787999999999,1.50857067718606,0.305476923076923
"70","AST-2669","ENDV","Heat","TP4",0.1944866,0.0402960000000001,1.99912804698972,0.414202643171807
"71","AST-2728","ENDV","Heat","TP4",0.329084,0.0917610000000001,1.29263764320786,0.360436006546645
"72","AST-2880","ENDV","Ambient","TP4",0.54081904,0.10302636,1.55765852534562,0.296734907834101
"73","AST-1343","ENDV","Ambient","TP4",0.43495152,0.09739368,1.24620801100223,0.279048994326973
"74","AST-2563","FW","Heat","TP5",0.24398936,0.04812744,1.29263079381622,0.254974278269933
"75","AST-1087","ENDV","Ambient","TP5",0.20412552,0.0529366800000001,0.641673540506556,0.166407742051374
"76","AST-1412","FW","Ambient","TP5",0.20172236,0.0144452400000001,0.803674741035857,0.0575507569721119
"77","AST-1416","ENDV","Heat","TP5",0.03949008,0.01101132,0.381362433606953,0.106338194109126
"78","AST-1498","FW","Heat","TP5",0.23397668,0.0513073199999999,0.725284190948543,0.159043149411035
"79","AST-1617","FW","Ambient","TP5",0.04597832,0.01680168,0.683461513513514,0.249754702702703
"80","AST-1692","FW","Ambient","TP5",0.17817256,0.02977524,2.6921678021978,0.449900604395605
"81","AST-2000","FW","Ambient","TP5",0.18781148,0.04241592,0.765219493356953,0.172819514614703
"82","AST-2360","FW","Ambient","TP5",0.118844,0.0172134,0.719436148746036,0.104203343903142
"83","AST-2375","FW","Ambient","TP5",0.2475138,0.0391572,1.73693894736842,0.274787368421053
"84","AST-2404","FW","Heat","TP5",0.41233612,0.0731722799999999,5.70049935483871,1.01159834101382
"85","AST-2412","FW","Heat","TP5",0.13182048,0.0287941200000001,0.547477766497462,0.119587946469774
"86","AST-2512","FW","Heat","TP5",0.16167164,0.02716476,1.86687806004619,0.313680831408776
"87","AST-1458","ENDV","Ambient","TP5",0.24398936,0.0481274400000001,1.37329846153846,0.270886153846154
"88","AST-1074","FW","Heat","TP6",0.42549948,0.07684272,1.73319543788187,0.313004969450102
"89","AST-1117","ENDV","Heat","TP6",0.05580412,0.02153208,0.176735138558986,0.0681934441805225
"90","AST-1145","ENDV","Ambient","TP6",0.52765568,0.09935592,4.44809846153846,0.837563076923077
"91","AST-1167","ENDV","Ambient","TP6",0.20449928,0.0371161200000001,1.04296950510011,0.18929641858708
"92","AST-1189","ENDV","Ambient","TP6",0.13515804,0.0277341600000001,1.7433131107739,0.357724370257967
"93","AST-1290","ENDV","Ambient","TP6",0.46832712,0.0867940799999999,1.2057490595184,0.223458936846888
