"","colony_id","Light_Value","Run","Treatment","micromol.cm2.s","micromol.cm2.h","Date"
"1","AST-1037","0",9,"Ambient",-2.2427693120048e-05,-0.0807396952321727,2021-04-01
"2","AST-1037","320",9,"Ambient",1.0850670297022e-05,0.0390624130692793,2021-04-01
"3","AST-1041","0",31,"Heat",-4.69541228128923e-05,-0.169034842126412,2021-08-19
"4","AST-1041","358",31,"Heat",0.000136917169511174,0.492901810240226,2021-08-19
"5","AST-1058","0",6,"Ambient",-3.75078257203228e-06,-0.0135028172593162,2021-03-04
"6","AST-1058","368",6,"Ambient",5.62455045320256e-05,0.202483816315292,2021-03-04
"7","AST-1065","0",32,"Heat",-1.76312954201206e-05,-0.0634726635124342,2021-08-19
"8","AST-1065","358",32,"Heat",0.000159709378876891,0.574953763956806,2021-08-19
"9","AST-1074","0",28,"Heat",-2.78564093671533e-05,-0.100283073721752,2021-07-22
"10","AST-1074","334",28,"Heat",0.000255574023968907,0.920066486288063,2021-07-22
"11","AST-1075","0",13,"Heat",-1.02527144878069e-05,-0.036909772156105,2021-04-29
"12","AST-1075","337",13,"Heat",3.41432376503071e-05,0.122915655541105,2021-04-29
"13","AST-1077","0",15,"Ambient",-2.74933943898181e-05,-0.098976219803345,2021-04-29
"14","AST-1077","337",15,"Ambient",-1.28436656041463e-06,-0.00462371961749268,2021-04-29
"15","AST-1080","0",14,"Heat",-0.00012611950093779,-0.454030203376045,2021-04-29
"16","AST-1080","337",14,"Heat",-0.000182959101769465,-0.658652766370074,2021-04-29
"17","AST-1087","0",22,"Ambient",-9.33398718441352e-05,-0.336023538638887,2021-06-24
"18","AST-1087","361",22,"Ambient",0.000339988610506574,1.22395899782367,2021-06-24
"19","AST-1091","0",30,"Ambient",-2.91207692774395e-05,-0.104834769398782,2021-08-19
"20","AST-1091","358",30,"Ambient",0.000194391832011641,0.699810595241909,2021-08-19
"21","AST-1105","0",30,"Ambient",-5.99889759399181e-05,-0.215960313383705,2021-08-19
"22","AST-1105","358",30,"Ambient",0.000125069530836151,0.450250311010144,2021-08-19
"23","AST-1109","0",17,"Ambient",2.01213970419435e-05,0.0724370293509966,2021-05-27
"24","AST-1109","355",17,"Ambient",0.000312858236609679,1.12628965179485,2021-05-27
"25","AST-1117","0",27,"Heat",-3.04133454008682e-05,-0.109488043443126,2021-07-22
"26","AST-1117","334",27,"Heat",9.85823747462325e-05,0.354896549086437,2021-07-22
"27","AST-1126","0",16,"Ambient",4.18875675675654e-05,0.150795243243235,2021-04-29
"28","AST-1126","337",16,"Ambient",0.000264011935272974,0.950442966982708,2021-04-29
"29","AST-1138","0",5,"Ambient",-5.91734592225163e-05,-0.213024453201059,2021-03-04
"30","AST-1138","368",5,"Ambient",5.39955948298834e-05,0.19438414138758,2021-03-04
"31","AST-1145","0",26,"Ambient",-4.22757746606348e-05,-0.152192788778285,2021-07-22
