Well,630,663,750
A1,0.029,0.029,0.029
B1,0.03,0.029,0.029
C1,0.038,0.06,0.03
D1,0.041,0.075,0.03
E1,0.033,0.04,0.03
F1,0.034,0.043,0.03
G1,0.043,0.091,0.028
H1,0.051,0.11,0.032
A2,0.045,0.082,0.034
B2,0.043,0.088,0.031
C2,0.036,0.066,0.028
D2,0.039,0.072,0.028
E2,0.034,0.046,0.03
F2,0.038,0.053,0.033
G2,0.039,0.073,0.03
H2,0.048,0.094,0.036
A3,0.043,0.054,0.039
B3,0.051,0.062,0.047
C3,0.05,0.106,0.034
D3,0.055,0.122,0.035
E3,0.036,0.054,0.032
F3,0.038,0.06,0.032
G3,0.051,0.129,0.031
H3,0.059,0.15,0.034
A4,0.034,0.035,0.031
B4,0.036,0.036,0.033
C4,0.033,0.049,0.029
D4,0.035,0.054,0.03
E4,0.031,0.038,0.029
F4,0.033,0.043,0.031
G4,0.037,0.068,0.029
H4,0.041,0.078,0.031
A5,0.032,0.054,0.028
B5,0.036,0.064,0.029
C5,0.048,0.113,0.029
D5,0.054,0.137,0.03
E5,0.032,0.046,0.028
F5,0.035,0.052,0.03
G5,0.035,0.064,0.027
H5,0.039,0.076,0.029
A6,0.038,0.057,0.032
B6,0.039,0.064,0.032
C6,0.053,0.122,0.032
D6,0.059,0.149,0.035
E6,0.043,0.09,0.03
F6,0.046,0.103,0.03
G6,0.036,0.05,0.031
H6,0.036,0.053,0.031
A7,0.041,0.086,0.029
B7,0.047,0.104,0.032
C7,0.056,0.111,0.033
D7,0.065,0.137,0.037
E7,0.03,0.03,0.03
F7,0.034,0.034,0.033
G7,0.047,0.104,0.033
H7,0.055,0.127,0.032
A8,0.033,0.045,0.029
B8,0.033,0.048,0.029
C8,0.032,0.034,0.032
D8,0.032,0.032,0.029
E8,0.033,0.055,0.028
F8,0.036,0.065,0.031
G8,0.033,0.055,0.027
H8,0.035,0.064,0.028
A9,0.043,0.088,0.029
B9,0.056,0.118,0.038
C9,0.043,0.072,0.036
D9,0.043,0.078,0.033
E9,0.034,0.057,0.028
F9,0.036,0.062,0.029
G9,0.035,0.058,0.028
H9,0.037,0.068,0.029
A10,0.042,0.068,0.033
B10,0.042,0.075,0.032
C10,0.04,0.048,0.03
D10,0.036,0.053,0.032
E10,0.044,0.1,0.029
F10,0.05,0.123,0.03
G10,0.05,0.084,0.04
H10,0.067,0.108,0.052
A11,0.054,0.105,0.035
B11,0.059,0.122,0.038
C11,0.029,0.029,0.029
D11,0.031,0.031,0.031
E11,0.035,0.035,0.035
F11,0.029,0.029,0.029
G11,0.03,0.03,0.029
H11,0.029,0.029,0.029
A12,0.034,0.033,0.033
B12,0.029,0.029,0.029
C12,0.032,0.032,0.031
D12,0.029,0.029,0.029
E12,0.031,0.031,0.03
F12,0.029,0.029,0.029
G12,0.028,0.029,0.028
H12,0.029,0.029,0.029
