Measurement Name :,20210805_Run1_WildTypeTest,,Generated On :,"05/08/2021, 10:04:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"05/08/2021, 09:16:53",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"05/08/2021, 10:02:47",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,Pls. Entxer Comment.,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
05.08.21 09:16:55,0.03,208.23,214.63,211.93,213.28,207.23,213.61,211.26,210.25,206.9,209.91,209.91,215.3,206.9,212.94,210.92,209.24,210.25,209.24,211.59,215.64,206.9,210.92,211.26,212.27,,24,965,30,23.08,
05.08.21 09:17:10,0.28,207.23,213.95,211.26,211.93,206.23,212.6,210.58,209.91,205.56,208.9,209.24,214.63,206.23,212.6,210.25,208.23,209.24,208.23,210.25,214.96,205.56,210.25,210.58,211.59,,24,965,30,23.09,
05.08.21 09:17:25,0.53,206.9,213.61,210.92,212.27,205.56,212.6,209.91,208.9,205.23,208.57,209.24,213.95,205.23,211.93,209.91,207.9,208.9,207.56,209.58,214.63,204.56,209.91,209.91,210.92,,24,965,30,23.09,
05.08.21 09:17:40,0.78,206.23,213.28,210.58,210.92,205.23,211.93,209.91,208.23,204.56,208.23,208.57,213.28,205.56,211.59,209.24,207.56,207.9,207.56,209.24,213.95,204.23,209.24,209.24,210.25,,24,965,30,23.1,
05.08.21 09:17:55,1.03,205.56,212.6,210.92,210.58,204.89,211.93,209.24,207.9,204.23,208.23,207.9,212.6,204.56,210.92,208.57,207.23,207.56,207.23,208.9,213.28,204.23,209.24,209.24,210.25,,24,965,30,23.12,
05.08.21 09:18:10,1.28,205.23,212.27,210.25,210.58,203.89,211.59,208.57,207.23,203.56,206.9,207.56,212.94,204.23,210.92,208.23,206.23,206.9,206.23,208.9,212.6,203.23,208.23,208.57,209.24,,24,965,30,23.12,
05.08.21 09:18:25,1.53,204.56,211.93,209.91,210.25,203.89,211.59,208.57,206.9,203.89,206.9,207.23,212.6,204.23,211.26,208.57,206.56,206.9,206.23,208.57,212.94,203.23,207.9,207.9,209.24,,24,965,30,23.12,
05.08.21 09:18:40,1.78,203.89,211.59,209.58,209.91,203.56,210.58,207.56,206.23,203.23,206.56,206.56,212.6,203.56,210.25,207.9,205.89,206.23,205.89,208.23,212.27,202.23,207.23,207.9,208.57,,24,965,30,23.1,
05.08.21 09:18:55,2.03,203.23,211.59,209.58,208.23,202.23,210.25,207.9,206.23,202.89,206.23,206.23,211.93,203.23,209.58,207.23,204.89,205.23,204.56,207.23,211.59,201.9,207.23,207.23,208.23,,24,965,30,23.1,
05.08.21 09:19:10,2.28,203.56,211.26,209.24,208.9,202.89,210.92,207.9,205.89,202.89,206.23,206.23,211.93,202.89,210.25,207.56,205.23,205.23,205.23,207.9,211.93,202.23,206.9,206.9,208.23,,24,965,30,23.09,
05.08.21 09:19:25,2.53,203.23,210.92,208.9,208.57,201.9,210.58,207.23,205.23,202.23,205.56,205.56,210.92,202.56,209.24,206.23,204.23,204.89,204.56,206.9,210.92,201.56,206.23,206.56,207.9,,24,965,30,23.09,
05.08.21 09:19:40,2.78,202.23,210.92,208.9,208.57,201.56,210.58,206.9,204.89,201.9,205.56,205.56,211.59,201.9,208.9,206.56,203.89,204.89,204.56,206.9,211.26,200.9,206.23,206.56,207.9,,24,965,30,23.08,
05.08.21 09:19:55,3.03,202.23,210.92,208.57,207.9,201.23,209.91,206.9,204.56,201.23,204.56,205.23,211.26,201.9,208.9,206.23,204.23,204.23,204.23,206.56,210.92,200.9,205.56,206.23,207.56,,24,965,30,23.08,
05.08.21 09:20:10,3.28,202.23,210.58,208.57,207.56,201.23,209.58,206.56,204.23,201.56,204.89,205.23,210.92,201.56,208.9,205.56,204.23,204.23,203.89,206.56,210.92,200.57,205.89,205.89,207.23,,24,965,30,23.08,
05.08.21 09:20:25,3.53,201.9,210.92,208.57,207.9,200.57,209.58,206.56,204.56,200.9,204.56,204.89,210.92,201.23,208.9,205.56,204.23,203.56,203.56,206.56,210.58,200.57,205.23,205.89,207.23,,24,965,30,23.07,
05.08.21 09:20:40,3.78,201.56,210.92,208.23,207.23,200.24,209.24,206.56,204.23,201.23,204.56,204.89,211.26,201.23,208.9,205.23,203.89,203.56,203.89,205.89,210.58,200.24,205.23,205.56,207.23,,24,965,30,23.07,
05.08.21 09:20:55,4.03,201.23,210.25,207.9,206.9,200.24,209.24,206.23,203.56,200.9,203.89,204.56,210.25,200.57,208.23,204.89,202.89,202.89,202.89,205.89,209.91,199.58,204.56,205.23,206.9,,24,965,30,23.03,
05.08.21 09:21:10,4.28,201.9,210.58,208.23,207.23,199.91,209.24,206.23,203.89,200.57,203.89,204.23,210.92,200.9,208.57,205.23,203.23,202.89,202.89,206.23,210.58,199.91,204.56,205.56,206.9,,24,965,30,23.03,
05.08.21 09:21:25,4.53,200.9,209.91,208.23,206.9,199.24,208.57,205.56,203.23,200.24,203.23,203.89,209.91,199.91,207.9,204.56,202.56,202.56,202.89,205.89,209.91,198.91,203.89,204.56,206.9,,24,965,30,23.03,
05.08.21 09:21:40,4.78,200.9,210.25,207.9,206.56,198.91,209.24,205.56,202.89,199.24,203.23,204.23,210.58,199.91,207.9,204.56,202.23,201.56,202.56,205.56,209.91,199.24,204.23,204.56,206.23,,24,965,30,23.03,
05.08.21 09:21:55,5.03,200.57,210.25,207.9,206.56,198.58,208.9,205.23,202.89,199.91,202.89,203.89,209.91,199.91,207.56,203.89,202.23,201.9,202.23,205.23,209.58,198.91,203.89,204.23,205.89,,24,965,30,23.02,
05.08.21 09:22:10,5.28,200.57,210.25,207.9,206.9,198.58,208.9,204.89,202.23,199.58,203.23,203.89,209.91,199.91,207.56,204.23,202.23,201.56,201.9,205.56,209.91,199.24,203.89,204.23,206.56,,24,965,30,23.03,
05.08.21 09:22:25,5.53,199.91,209.91,207.9,205.89,198.25,208.57,204.89,202.56,199.58,202.56,203.56,209.91,199.58,207.9,203.89,201.9,200.9,201.56,205.23,209.58,198.25,203.56,203.89,206.23,,24,965,30,23.02,
05.08.21 09:22:40,5.78,199.58,210.25,207.9,206.23,198.25,208.9,204.89,201.9,198.91,202.56,203.23,209.58,199.24,207.56,203.23,201.56,200.9,201.9,204.89,209.58,197.92,203.56,203.89,206.23,,24,965,30,22.98,
05.08.21 09:22:55,6.03,199.91,210.25,207.23,206.23,197.59,208.57,204.89,202.23,199.24,202.56,203.23,209.91,199.24,207.56,203.23,201.56,200.57,201.23,204.89,209.24,198.25,203.56,203.56,206.23,,24,965,30,23,
05.08.21 09:23:10,6.28,199.91,210.58,207.9,206.23,197.59,208.57,204.89,201.9,199.24,201.9,203.56,209.91,199.24,207.56,203.56,201.23,200.9,201.56,204.56,209.58,198.25,203.56,203.89,206.23,,24,965,30,22.98,
05.08.21 09:23:25,6.53,199.91,209.58,207.9,205.89,197.26,208.23,204.89,201.23,198.91,202.23,202.56,209.58,198.58,207.23,203.23,201.23,200.57,201.56,204.89,208.9,197.59,203.23,203.56,205.89,,24,965,30,22.98,
05.08.21 09:23:40,6.78,199.91,210.25,207.9,205.89,197.59,208.57,204.56,201.56,198.91,201.9,203.23,209.58,198.91,207.56,203.23,201.23,200.9,201.23,204.56,208.9,197.92,202.89,203.56,205.89,,24,965,30,22.98,
05.08.21 09:23:55,7.03,199.91,210.25,207.56,205.89,197.26,208.57,204.89,201.23,198.58,201.9,203.23,209.58,198.91,207.56,202.56,200.9,200.57,201.23,204.56,209.24,197.26,202.89,203.23,205.89,,24,965,30,22.98,
05.08.21 09:24:10,7.28,199.91,210.25,207.56,205.89,197.26,208.57,204.23,201.23,198.58,201.9,202.89,209.58,197.92,207.23,202.89,200.57,200.24,201.23,204.23,208.9,197.26,202.56,202.89,205.89,,24,965,30,22.98,
05.08.21 09:24:25,7.53,199.58,209.58,206.9,206.23,196.6,208.23,204.56,200.9,198.25,201.23,201.9,209.24,197.59,206.9,202.56,200.57,200.24,200.9,204.56,208.57,197.26,202.23,203.23,205.56,,24,965,30,22.96,
05.08.21 09:24:40,7.78,199.24,209.91,207.56,205.56,196.27,208.57,204.23,200.9,197.92,201.23,202.56,209.24,197.59,207.23,202.23,200.57,199.91,200.9,204.23,208.9,197.26,202.23,202.89,206.23,,24,965,30,22.96,
05.08.21 09:24:55,8.03,199.24,209.58,207.56,205.56,196.27,207.56,204.23,200.24,197.59,200.9,202.23,209.24,197.59,207.23,202.23,200.24,199.91,200.57,204.23,208.9,196.27,202.56,202.89,205.56,,24,965,30,22.94,
05.08.21 09:25:10,8.28,199.58,209.58,207.56,204.56,195.94,208.23,204.23,200.57,197.26,201.23,201.56,208.9,197.59,206.9,202.23,199.91,199.58,200.24,203.89,208.57,196.6,201.9,202.23,205.23,,24,965,30,22.96,
05.08.21 09:25:25,8.53,199.24,209.58,207.23,205.23,195.94,207.23,203.89,200.24,197.26,200.57,201.9,208.9,196.93,206.56,202.23,199.58,199.24,199.91,203.89,208.23,196.6,202.23,202.23,205.23,,24,965,30,22.94,
05.08.21 09:25:40,8.78,199.24,209.58,207.23,204.23,195.61,207.9,203.89,199.91,197.26,200.57,201.56,208.9,196.6,206.56,202.23,199.91,199.91,199.91,203.89,208.23,195.94,201.9,202.23,205.56,,24,965,30,22.94,
05.08.21 09:25:55,9.03,199.58,209.58,206.9,204.89,195.61,207.56,203.56,199.91,197.26,199.91,201.9,208.57,196.6,206.9,201.56,199.24,199.24,200.24,203.89,208.57,195.94,201.9,202.23,205.23,,24,965,30,22.91,
05.08.21 09:26:10,9.28,199.24,209.58,207.23,204.89,195.28,207.56,203.56,199.24,196.93,199.91,201.9,208.57,196.6,206.56,201.9,198.91,199.24,199.58,203.56,207.9,195.61,201.9,202.23,205.23,,24,965,30,22.93,
