Measurement Name :,20210805_Run2_WildTypeTest,,Generated On :,"05/08/2021, 10:53:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"05/08/2021, 10:20:11",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"05/08/2021, 10:53:35",,,,,,O2_cal0 [°],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
05.08.21 10:20:13,0.03,211.93,209.24,226.2,224.83,215.3,207.56,223.46,229.64,200.57,211.26,225.52,226.89,196.93,207.23,221.41,223.46,207.9,204.89,224.49,224.83,210.25,206.23,225.86,225.17,,24,965,30,22.96,
05.08.21 10:20:28,0.28,210.58,208.57,225.86,224.83,215.3,207.56,223.8,228.61,199.91,209.91,224.49,226.89,196.6,206.23,221.07,223.46,206.9,204.56,223.8,225.52,209.91,205.89,225.52,224.15,,24,965,30,22.98,
05.08.21 10:20:43,0.53,209.24,207.9,225.52,224.15,212.27,206.56,222.78,227.58,198.58,209.24,224.83,225.86,193.97,205.23,220.39,222.44,205.89,202.89,223.46,224.49,208.57,204.56,225.52,223.46,,24,965,30,22.98,
05.08.21 10:20:58,0.78,209.91,207.56,225.86,224.15,212.94,206.23,222.78,228.26,197.92,209.24,224.83,225.86,193.97,204.56,220.05,222.1,204.56,202.89,223.12,224.83,208.57,203.89,224.49,224.15,,24,965,30,22.98,
05.08.21 10:21:13,1.03,208.23,207.23,225.86,223.46,211.93,203.89,221.75,227.92,196.6,209.58,224.49,225.52,193.31,203.89,220.73,222.44,204.89,201.9,223.8,224.15,208.57,202.89,224.49,223.46,,24,965,30,23,
05.08.21 10:21:28,1.28,207.23,205.89,225.52,222.78,211.59,203.89,221.75,227.58,195.94,208.57,223.8,225.17,191.67,203.56,220.73,222.1,203.56,200.9,222.44,223.8,207.23,201.9,224.49,222.78,,24,965,30,23,
05.08.21 10:21:43,1.53,206.9,206.23,224.49,222.78,210.92,204.23,222.78,227.23,195.61,208.57,223.8,224.15,191.01,202.89,220.39,222.1,204.23,200.57,223.46,224.49,206.9,201.9,225.17,223.8,,24,965,30,23,
05.08.21 10:21:58,1.78,206.56,203.89,224.83,222.78,210.92,202.89,221.75,226.2,193.64,208.23,223.8,224.49,190.03,201.9,219.71,222.1,202.23,199.24,222.78,223.12,206.56,200.57,223.8,223.12,,24,965,30,23.01,
05.08.21 10:22:13,2.03,206.56,204.89,225.52,222.78,210.58,202.23,222.1,226.89,193.97,207.56,224.15,224.83,189.05,202.23,218.69,222.1,201.9,199.24,222.78,223.46,206.56,200.24,223.46,222.1,,24,965,30,23,
05.08.21 10:22:28,2.28,206.23,204.56,224.83,223.12,210.25,202.23,222.1,226.89,194.62,208.57,223.46,225.17,189.05,201.56,220.39,222.1,202.23,198.58,222.44,223.8,206.56,200.57,224.15,222.44,,24,965,30,22.98,
05.08.21 10:22:43,2.53,205.89,204.56,224.49,221.75,209.91,201.9,221.41,226.55,193.64,208.23,222.78,224.15,187.75,201.23,219.71,221.75,201.23,197.92,222.1,223.46,206.23,199.24,224.15,222.1,,24,965,30,22.98,
05.08.21 10:22:58,2.78,205.56,203.89,224.49,221.75,209.24,201.23,221.41,226.89,192.65,206.9,222.44,223.46,187.1,200.57,220.05,220.73,201.23,196.93,222.44,222.44,206.56,198.58,224.15,222.78,,24,965,30,22.98,
05.08.21 10:23:13,3.03,205.56,203.56,224.83,223.12,209.91,201.23,222.1,226.55,192.33,206.9,224.15,224.15,187.1,200.24,220.39,221.41,201.56,197.59,223.12,223.12,206.56,198.91,223.8,221.75,,24,965,30,22.98,
05.08.21 10:23:28,3.28,204.89,203.89,224.83,222.44,209.91,201.23,221.75,226.89,192.65,206.56,223.8,223.46,186.45,199.91,219.37,221.41,200.57,196.93,223.12,222.44,206.23,197.59,223.46,222.1,,24,965,30,22.98,
05.08.21 10:23:43,3.53,203.89,203.89,224.15,221.75,209.24,200.57,221.75,226.2,190.69,206.56,222.78,224.15,185.47,199.58,219.71,220.39,200.24,195.94,222.1,223.12,205.89,197.92,223.46,222.44,,24,965,30,22.98,
05.08.21 10:23:58,3.78,203.89,203.23,224.83,221.75,208.57,200.24,221.07,226.89,191.34,205.56,223.12,223.46,184.82,199.58,219.37,220.73,199.91,196.27,222.1,223.12,205.56,197.26,222.78,221.41,,24,965,30,22.98,
05.08.21 10:24:13,4.03,203.89,202.23,224.49,221.41,209.58,199.58,220.73,226.2,190.03,205.56,222.78,224.15,183.85,198.91,218.69,221.07,199.24,195.28,221.75,222.44,205.23,196.93,223.12,221.41,,24,965,30,22.98,
05.08.21 10:24:28,4.28,203.23,201.56,224.83,221.41,209.91,198.58,221.75,226.89,190.69,205.23,222.1,223.46,183.85,197.92,219.37,220.73,198.91,194.95,222.1,222.44,205.56,196.27,223.8,222.1,,24,965,30,22.98,
05.08.21 10:24:43,4.53,203.56,201.9,224.49,222.1,209.24,198.91,220.39,226.2,189.38,205.89,223.12,224.15,183.52,197.26,219.37,219.71,198.58,194.62,222.1,223.12,204.23,195.61,223.12,221.07,,24,965,30,22.96,
05.08.21 10:24:58,4.78,203.23,200.9,225.17,221.41,208.23,197.92,221.07,226.55,188.73,205.56,223.46,223.12,181.9,197.59,219.03,220.73,198.58,194.3,221.75,222.78,204.23,193.97,223.8,221.41,,24,965,30,22.96,
05.08.21 10:25:13,5.03,202.89,200.57,224.83,221.41,208.57,198.58,221.07,225.52,189.38,205.56,222.44,222.44,181.9,196.6,219.03,220.73,198.91,194.3,221.07,222.44,204.23,194.95,223.12,222.44,,24,965,30,22.96,
05.08.21 10:25:28,5.28,202.56,201.23,225.17,220.73,209.24,197.59,221.41,225.86,188.4,204.89,222.44,222.44,181.9,196.27,219.71,220.39,198.58,192.98,221.75,222.78,204.56,194.62,223.46,221.41,,24,965,30,22.94,
05.08.21 10:25:43,5.53,202.56,200.24,224.15,221.75,208.9,196.93,220.73,226.55,188.4,204.23,222.44,223.46,180.94,196.6,219.37,220.73,198.25,193.31,221.75,222.44,204.23,193.64,223.12,221.07,,24,965,30,22.94,
05.08.21 10:25:58,5.78,202.56,201.23,224.49,221.41,209.24,197.26,221.41,226.2,188.73,205.23,223.12,223.12,180.94,196.93,219.03,220.73,197.59,193.31,222.1,223.12,204.89,192.98,223.46,221.75,,24,965,30,22.94,
