"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_13.3309",66.5587881122846,-2.53794525236249,0.591788711552975,-4.28860031091569,1.79802592956175e-05,0.0110852384980049,359,32,142,0,16,148,11,35,253,100,59,18,82,68,4,45,39,26,52
"evm.TU.chromosome_10.880",27.1174800332877,-41.3952048273466,4.56369787376722,-9.07054015676457,1.18428443364089e-19,1.60630419156882e-15,219,0,87,3,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_11.2705",21.0195572984504,19.5665228470327,4.57627403450167,4.27564492412731,1.90584774034492e-05,0.0114888737005192,0,0,0,0,0,49,5,148,0,0,0,0,0,32,0,0,0,0,0
"evm.TU.chromosome_10.2122",19.2819598986153,6.84111473910826,1.77961595014353,3.8441522950817,0.000120969867350886,0.0497204483579924,0,64,9,2,0,150,38,3,0,0,28,117,54,1,25,3,65,0,0
"evm.TU.chromosome_8.1210",22.8221897883227,-21.840916029882,4.56946722086674,-4.77975111193362,1.75512332405641e-06,0.00148785095036495,108,178,0,0,0,0,0,0,65,164,0,0,0,0,0,395,0,0,0
"evm.TU.chromosome_14.193",8.72561214293757,20.6726079262921,3.37627783025632,6.12289893356397,9.18879837643715e-10,1.78046095398293e-06,0,0,14,0,0,0,194,0,0,36,0,0,25,23,0,0,34,0,0
"evm.TU.chromosome_10.973",57.0793111846922,-3.69099457964949,0.904880020506744,-4.07898781717215,4.5232206943541e-05,0.0235964245722584,60,620,45,0,99,54,162,10,70,268,45,408,2,11,0,66,8,1,21
"evm.TU.chromosome_12.2527",2462.61878564773,-1.92564483175893,0.488488256153202,-3.94204938911573,8.07883348538158e-05,0.0365257526596577,9475,4952,6438,224,955,6312,4053,1354,8376,3077,6878,1496,1347,2938,372,2113,639,298,813
"evm.TU.chromosome_12.3447",32.3444415283662,6.97873495059704,1.56252516920328,4.46631842362926,7.95771414712384e-06,0.00526509540656167,0,168,0,0,104,82,209,0,0,8,56,105,82,76,13,75,46,0,0
"evm.TU.chromosome_14.6968",117.244236770318,6.54622758437234,1.49391942511219,4.38191476349586,1.17640835125993e-05,0.00759819746300672,13,66,351,0,14,438,70,14,6,802,40,90,1843,91,12,0,130,0,0
"evm.TU.chromosome_5.2075",19.3918675959249,6.71620206178883,1.69631005625014,3.9593009762824,7.51694567745706e-05,0.0345613873546403,0,21,40,0,65,76,13,0,0,0,51,18,22,48,21,30,47,0,0
"evm.TU.chromosome_10.212",63.7301667880094,24.9112327386813,4.56240721435076,5.46010725660888,4.75847022062583e-08,6.33644234875167e-05,0,0,0,6,0,0,306,0,0,0,0,0,0,988,164,0,0,0,0
"evm.TU.chromosome_4.938",7.96442637746095,19.4261578913029,4.09980843439673,4.7383086800643,2.15509361959964e-06,0.00167687635147702,0,334,0,0,0,0,0,0,0,50,0,0,0,0,3,0,20,0,0
"evm.TU.chromosome_3.624",21.873906045033,-20.5370139507104,3.76500534013403,-5.45471044404398,4.90527110715468e-08,6.33644234875167e-05,16,132,0,0,0,101,283,0,0,0,0,10,0,0,0,282,0,6,0
"evm.TU.chromosome_14.1589",25.2867475479921,-23.2321135757577,3.92048258807734,-5.92583006143409,3.10723794431435e-09,5.61933624769435e-06,20,80,0,0,13,0,0,94,4,11,0,0,0,0,0,0,0,44,0
"evm.TU.chromosome_5.1762",50.0909387610883,7.81538991011279,1.98721353155259,3.93283851283294,8.39486373586686e-05,0.0373323718955509,0,0,127,0,75,7,0,11,0,23,276,394,62,175,31,0,92,0,0
"evm.TU.chromosome_7.2351",43.388524156721,8.17540564305659,1.99116703104155,4.1058361833061,4.02854914263332e-05,0.0214279318808263,0,82,36,0,18,37,120,25,0,0,139,155,0,577,0,131,44,0,0
"evm.TU.chromosome_10.1015",70.6233581829409,24.1307588782564,3.65383187240358,6.6042335063388,3.99579291018658e-11,9.85398857042104e-08,0,0,9,0,0,316,0,0,0,11,377,438,0,462,0,249,442,0,0
"evm.TU.chromosome_6.450",19.7868660736893,7.24994518769668,1.87186390537208,3.87311554375827,0.000107452853215711,0.0462678341140095,0,107,16,0,5,0,2,0,0,125,31,87,109,13,42,17,5,0,0
"evm.TU.chromosome_8.1927",45.9691678590173,6.90352080663143,1.59083304977716,4.33956335493435,1.42766104123963e-05,0.00900654908504822,0,172,35,0,64,101,154,128,0,89,56,93,65,92,0,0,92,0,0
"evm.TU.chromosome_8.1065",1044.85466590426,-2.65765708471001,0.591412992042817,-4.49374146403196,6.99825851024736e-06,0.00474604396518701,2110,2436,677,86,197,735,1315,113,6555,7969,1078,407,1011,617,82,1203,599,526,484
"evm.TU.chromosome_3.611",29.5176259150496,-22.9573449353884,4.5655828248241,-5.02834924175817,4.94720237819865e-07,0.000497047255234796,0,124,0,18,0,187,96,0,0,0,0,0,0,0,0,40,0,40,0
"evm.TU.chromosome_1.1293",38.3984389373374,-19.1220117016392,4.62169097260748,-4.13744921825678,3.51188140159613e-05,0.0198472514127288,0,0,628,0,0,0,7,27,18,0,0,5,0,0,0,0,0,0,0
"evm.TU.chromosome_12.3461",385.73977808715,1.85435227068228,0.44939381869292,4.12634129253431,3.68580157538138e-05,0.0204050488439532,300,869,822,41,272,709,554,129,268,274,974,1104,869,883,284,573,716,26,40
"evm.TU.chromosome_12.3756",8.56216619078008,18.8928565089474,3.819374277137,4.9465842146032,7.55270607479695e-07,0.000731722348896489,0,0,100,0,0,0,22,0,0,0,0,67,0,0,0,8,21,0,0
"evm.TU.chromosome_4.2170",630.190166213592,2.45760719103999,0.452072273584305,5.43631479885855,5.43938199577942e-08,6.7070052454322e-05,208,925,2226,28,353,4421,1919,414,238,637,1222,1036,695,1377,144,369,1108,10,26
"evm.TU.chromosome_14.3881",29.8134795151851,-6.66120076423465,1.64199002403146,-4.05678516114239,4.97528078305776e-05,0.0254649890192467,154,0,58,4,44,12,61,2,18,18,82,11,4,0,0,43,0,41,0
"evm.TU.chromosome_7.846",15.9448235755821,28.6463113370443,4.56483572922231,6.27543093252222,3.48667232177988e-10,7.27561231330175e-07,0,0,0,15,0,0,0,0,0,0,0,0,0,171,0,99,0,0,0
"evm.TU.chromosome_10.1148",70.6933615126654,5.06120263952647,1.04629021926729,4.83728371567,1.31625485624118e-06,0.00115180791887918,15,38,39,9,10,69,48,78,18,54,162,103,70,821,68,55,16,0,0
"evm.TU.chromosome_1.1260",183.07830018877,3.20052082772301,0.802918718598195,3.98610812475608,6.71659134648246e-05,0.0314139609406948,145,1842,120,36,185,196,203,18,80,440,209,387,349,522,47,285,827,0,0
"evm.TU.chromosome_1.1261",20.7094647111269,5.66168999272891,1.24860158229992,4.53442481011444,5.77606732161807e-06,0.00401762508291111,0,175,14,0,9,55,142,5,2,4,45,21,39,28,15,59,80,0,0
"evm.TU.chromosome_9.558",16.1046337114597,-7.59894008886442,1.81369012101241,-4.18976759085101,2.79240309723261e-05,0.016467286699702,18,38,0,0,0,17,87,3,23,6,98,32,0,0,0,38,0,12,9
"evm.TU.chromosome_11.403",38.9075299240235,-30.7477644245313,4.62576004917505,-6.6470729345364,2.98978902680582e-11,8.11040069301615e-08,12,0,0,0,0,241,0,255,0,5,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.6523",185.52258083632,-2.58961670745736,0.645309704048917,-4.01298274488842,5.99562976002425e-05,0.0285339383333645,756,427,98,0,124,418,379,177,271,360,128,345,160,118,22,149,80,178,50
"evm.TU.chromosome_3.1557",28.0195723105893,-22.2505972625929,2.10848110650469,-10.5529033169657,4.9251239415512e-26,1.33603837162459e-21,0,236,28,0,67,137,142,0,153,0,81,140,0,0,0,0,0,0,0
"evm.TU.chromosome_12.255",13.4602845109717,22.5186073866863,3.12470441712354,7.20663601436449,5.73510354191063e-13,1.94470192226762e-09,0,124,0,0,40,59,10,0,0,0,8,0,247,0,0,0,0,0,0
"evm.TU.chromosome_13.392",21.6409947535784,-22.2823476427259,4.56781006857345,-4.87812481434561,1.07099148504641e-06,0.000968426200495134,227,0,49,0,0,181,0,0,0,275,4,65,0,0,0,0,0,0,0
