"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_10.771",14,147,78,6,30,232,162,52,60,47,96,296,74,95,27,36,130,0,0
"evm.TU.chromosome_11.1878",934,507,1713,44,41,524,109,148,919,198,561,281,665,945,128,1077,890,186,59
"evm.TU.chromosome_8.383",183,109,306,12,7,297,119,39,141,398,113,21,130,159,82,216,233,34,0
"evm.TU.chromosome_8.384",3098,952,901,79,449,2484,1103,851,1459,1352,843,446,973,1103,400,1368,1329,235,50
"evm.TU.chromosome_8.964",371,119,41,4,55,300,299,20,176,383,30,140,41,343,925,348,419,0,11
"evm.TU.chromosome_6.1096",32,213,5,0,71,63,131,10,14,61,84,59,59,73,28,73,56,0,4
"evm.TU.chromosome_13.1609",199,46,49,0,12,268,167,44,148,77,95,34,192,374,18,52,71,98,14
"evm.TU.chromosome_5.1573",1195,2239,616,43,783,1286,2054,381,1305,737,866,1636,1709,1031,298,923,794,162,65
"evm.TU.chromosome_3.1277",157,81,148,28,20,214,65,44,223,128,189,124,239,197,35,127,87,22,10
"evm.TU.chromosome_3.1274",54,294,53,0,71,130,282,26,112,91,111,204,83,53,24,82,114,0,0
"evm.TU.chromosome_5.2174",54,164,109,3,80,72,238,96,0,154,32,115,66,123,31,99,65,0,0
"evm.TU.chromosome_12.1199",1026,4953,732,48,1299,2329,3142,203,1888,1378,1505,4695,1278,1389,207,1593,1125,157,89
"evm.TU.chromosome_7.2847",70,422,56,2,81,167,278,19,99,113,111,264,86,99,15,105,93,4,10
"evm.TU.chromosome_10.1787",182,47,273,19,25,220,66,33,244,613,61,111,207,107,57,137,282,44,48
"evm.TU.chromosome_4.871",137,91,58,7,0,203,56,33,139,123,84,29,362,363,22,260,114,25,0
"evm.TU.chromosome_7.729",5642,17970,2643,188,6014,8088,9662,950,6617,7948,5391,13451,5954,4929,1348,5931,5019,567,616
"evm.TU.chromosome_7.2698",142,543,173,3,145,391,828,117,136,228,225,880,266,163,121,183,213,21,22
"evm.TU.chromosome_5.974",4537,1602,5046,346,556,5325,1359,397,2825,7714,1039,1732,1968,1404,557,4516,2456,690,468
"evm.TU.chromosome_5.1771",177,403,194,0,65,385,545,156,208,163,218,326,105,114,19,172,116,38,31
"evm.TU.chromosome_14.7108",200,52,288,51,21,777,38,31,458,1016,55,63,458,88,33,288,191,45,15
"evm.TU.chromosome_11.1309",2292,2087,640,52,224,1183,1441,243,4594,2528,561,908,829,1887,199,1645,1309,214,235
"evm.TU.chromosome_11.1077",188,1443,308,11,226,164,648,141,245,297,246,709,137,104,73,206,49,35,44
"evm.TU.chromosome_12.835",618,190,72,33,50,95,48,33,371,108,53,14,276,2681,55,412,317,22,65
"evm.TU.chromosome_12.833",812,368,152,62,71,175,257,52,1699,95,14,79,285,4688,208,1459,458,92,192
