"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"Ser_4434",53.6554344675624,6.45011458789965,1.2663894366304,5.09331047885403,3.51864769227279e-07,0.00190948213640414,44,223,116,0,2,215,322,8,41,1,58,199,105,236,51,2,4,4,4
"evm.TU.chromosome_2.1776",580.248589280411,-2.33976885079233,0.563896136417419,-4.14929044497006,3.33507435321465e-05,0.0259487665876342,458,3273,445,185,275,1146,1500,72,588,3248,162,1294,792,436,102,1414,303,113,124
"evm.TU.chromosome_14.909",426.202862004928,-1.98803313178274,0.47334172642478,-4.19999552289346,2.66920258255633e-05,0.0241418251914792,615,970,325,148,255,297,694,44,831,2169,178,677,1075,280,94,1517,287,112,72
"evm.TU.chromosome_10.3111",35.0389143370741,7.78690083432935,1.4675149410349,5.30618163849016,1.1194541096973e-07,0.000809999678639979,124,24,95,0,13,56,69,0,113,0,35,35,51,69,19,0,182,15,6
"evm.TU.chromosome_8.1515",123.26177409806,9.3046666192627,1.93024294140254,4.82046400465104,1.43224698795894e-06,0.00460904097573683,176,770,121,0,90,537,624,32,481,0,4,13,579,23,126,0,0,54,0
"evm.TU.chromosome_12.378",99.1265399923506,2.36406427727089,0.49117617888434,4.81306785406539,1.48630795734822e-06,0.00460904097573683,250,73,109,0,26,197,51,67,200,98,108,116,337,444,57,67,234,31,26
"evm.TU.chromosome_11.1802",61.9296758623055,8.32014469806083,1.92819653587871,4.31498788803144,1.59611654197041e-05,0.0164985246555009,126,110,64,0,49,105,16,19,0,0,50,242,406,98,0,0,122,81,0
"evm.TU.chromosome_4.1757",28.9911502756999,5.28370678491014,1.33500206502099,3.95782667559173,7.56348071052655e-05,0.0423178967687651,78,73,10,0,19,139,93,4,0,6,51,93,75,124,12,0,159,0,2
"evm.TU.chromosome_5.1067",24.968367555574,6.44324287336489,1.44982342588937,4.44415696305388,8.82371700471833e-06,0.0127690950014281,32,82,53,0,18,39,80,16,71,0,109,71,55,41,0,0,60,4,0
"evm.TU.chromosome_9.2248",298.163213096042,-2.86322725776706,0.724771461116981,-3.95052428437842,7.79801847676143e-05,0.0423178967687651,318,881,280,143,334,332,601,184,476,325,414,341,108,178,33,216,114,144,37
"evm.TU.chromosome_12.4108",654.667706009242,-2.17685078147328,0.524736689884297,-4.14846307383855,3.34714822155875e-05,0.0259487665876342,854,3181,537,90,618,411,2172,183,526,3354,188,1803,660,249,160,2604,419,164,171
"evm.TU.chromosome_11.2803",19.212986076028,7.1341036015714,1.60113657898705,4.45564962739453,8.36395362960771e-06,0.0127690950014281,36,62,9,0,0,68,76,11,54,0,27,65,33,70,15,0,79,0,0
"evm.TU.chromosome_10.766",118.511213285943,2.33047256508522,0.582690510901024,3.9995032036502,6.34755886043666e-05,0.0393675600524282,177,255,77,0,124,229,296,27,245,139,94,168,301,598,42,94,535,38,9
"evm.TU.chromosome_10.805",5090.61103074431,-2.91179115719775,0.636549810126817,-4.57433355705132,4.77738217304858e-06,0.0103702634830366,10649,19862,3648,1547,4086,5408,9608,296,4390,24092,3835,6847,5057,1824,594,12354,1378,3561,751
"evm.TU.chromosome_5.847",67.6589246973116,-3.70119640404065,0.82481740097417,-4.48729185352935,7.21342287693988e-06,0.0127690950014281,64,158,45,59,72,41,66,8,93,199,29,45,7,20,8,98,64,7,8
"evm.TU.chromosome_9.2382",3748.37066899807,-2.50740684367193,0.626463335117694,-4.00247979907852,6.26820212472184e-05,0.0393675600524282,8440,5880,2760,1634,922,4834,2890,796,4185,15420,2156,4474,6802,1939,630,9560,1056,2552,416
"evm.TU.chromosome_9.1175",343.637737252016,-2.4302730664879,0.546096085593931,-4.4502664102504,8.57638321257453e-06,0.0127690950014281,648,570,348,83,94,734,734,72,330,1958,263,559,175,286,44,768,286,90,171
"evm.TU.chromosome_10.973",57.0820247476645,-4.12452533278356,0.951469501913669,-4.33490019857493,1.4582626645486e-05,0.0158272538296783,60,620,45,0,99,54,162,10,70,268,45,408,2,11,0,66,8,1,21
"evm.TU.chromosome_1.1891",13451.991806864,-5.41430389811951,1.01858721314473,-5.31550350156437,1.06362804301171e-07,0.000809999678639979,3087,9708,3845,19702,2070,6313,6077,1073,2348,3019,4298,3642,2370,2771,577,3083,3483,2080,1516
"evm.TU.chromosome_2.769",43.8724776272451,7.0867762257037,1.61470339819539,4.38890277534806,1.13923982783012e-05,0.0137385994126158,55,191,50,0,45,85,162,67,121,0,0,205,58,85,5,0,81,14,0
"evm.TU.chromosome_2.201",1390.49075300408,-1.65883574405691,0.417503528328621,-3.97322568912813,7.09058063992736e-05,0.0423178967687651,3482,5815,1191,290,1159,1460,3047,177,1639,5467,801,2942,2782,1013,225,4433,1309,444,270
"evm.TU.chromosome_2.205",1013.02302603544,-2.91904449731698,0.699796735348059,-4.17127481434324,3.02900294621322e-05,0.0252886795974809,4007,2985,821,422,289,227,721,242,1024,4933,242,867,1147,635,108,2948,382,617,105
"evm.TU.chromosome_14.6479",25.3879814233614,21.6991122739545,2.06560474497399,10.5049682553027,8.19503655044397e-26,1.77889658400487e-21,0,40,0,0,62,60,99,20,216,0,5,77,144,27,4,0,35,0,0
"evm.TU.chromosome_4.244",54.4260044136671,8.91136510470985,2.13572835461662,4.17251804774092,3.01251728776997e-05,0.0252886795974809,168,311,49,0,0,126,3,0,0,0,4,132,204,326,14,0,296,0,33
"evm.TU.chromosome_10.2451",13.0451678780719,7.17678414918499,1.83494718673199,3.91116659982281,9.18513843657969e-05,0.0486297073275208,30,26,0,0,0,16,29,0,46,0,13,45,94,40,17,0,55,0,0
"evm.TU.chromosome_5.379",420.119133917526,-4.72949758237481,1.19664549449273,-3.9522963184512,7.74048065969657e-05,0.0423178967687651,12,1457,295,311,51,148,50,186,388,3549,25,81,47,94,31,326,152,221,11
"evm.TU.chromosome_1.1665",199.594657150337,4.00015385432662,0.947491717092577,4.22183516981159,2.4232129077148e-05,0.0228698619946805,176,138,155,6,232,540,35,46,480,43,674,450,946,1027,180,13,131,7,13
"evm.TU.chromosome_14.6626",1788.48469942763,-4.58320114505195,1.05526727432843,-4.34316618789179,1.40443811026786e-05,0.0158272538296783,1930,816,336,2141,376,410,9184,93,449,2139,232,379,473,454,179,478,507,111,316
"evm.TU.chromosome_14.6623",3161.31189346354,-1.97724125763116,0.446718982613965,-4.42614111910216,9.59337770338374e-06,0.0130152156129594,10689,6473,3091,879,2264,2997,3505,904,3549,13143,1930,4090,2670,2955,663,6247,2460,1290,1050
"evm.TU.chromosome_10.813",1038.94266153424,-3.00306027688497,0.603355949196697,-4.97726140080863,6.44902027880399e-07,0.00279977766383997,1736,1574,653,330,239,293,1265,89,1548,10451,193,210,1135,531,128,4557,962,368,232
"evm.TU.chromosome_5.2520",317.586733463157,-3.1085135861176,0.759907602251078,-4.09064677983118,4.30171861407287e-05,0.031028135152128,294,227,241,291,21,229,124,90,340,1411,68,194,353,265,46,188,207,87,23
"evm.TU.chromosome_2.324",465.434028380015,5.80458036963609,1.32132946530811,4.39298488532725,1.1180490315308e-05,0.0137385994126158,41,4221,24,0,107,119,1067,60,19,100,15,140,63,318,42,56,9805,25,22
"evm.TU.chromosome_2.1076",1136.81287876771,-2.76713902133626,0.588536284574147,-4.70173053703648,2.57965789702393e-06,0.00622184821896648,3487,5796,1225,304,507,1095,2000,125,1164,5843,401,797,1593,579,126,6263,589,246,170
"evm.TU.chromosome_12.924",1917.81221068491,-2.34945980586775,0.575316922257036,-4.08376620776345,4.43116132913792e-05,0.031028135152128,5716,5859,1760,481,905,1443,2738,173,1029,9177,947,3025,3032,1099,282,7966,1089,895,485
"evm.TU.chromosome_12.925",11109.169438792,-2.124389052145,0.525612793169438,-4.04173771976698,5.30565573423242e-05,0.0359905840696822,30268,37221,10132,3199,10016,6372,24682,1775,12101,34111,5095,19642,15999,4425,2044,33274,7288,5485,2059
