"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_10.771",14,147,78,6,30,232,162,52,60,47,96,296,74,95,27,36,130,0,0
"evm.TU.chromosome_11.1878",934,507,1713,44,41,524,109,148,919,198,561,281,665,945,128,1077,890,186,59
"evm.TU.chromosome_6.1096",32,213,5,0,71,63,131,10,14,61,84,59,59,73,28,73,56,0,4
"evm.TU.chromosome_13.1609",199,46,49,0,12,268,167,44,148,77,95,34,192,374,18,52,71,98,14
"evm.TU.chromosome_3.1274",54,294,53,0,71,130,282,26,112,91,111,204,83,53,24,82,114,0,0
"evm.TU.chromosome_5.2174",54,164,109,3,80,72,238,96,0,154,32,115,66,123,31,99,65,0,0
"evm.TU.chromosome_12.1199",1026,4953,732,48,1299,2329,3142,203,1888,1378,1505,4695,1278,1389,207,1593,1125,157,89
"evm.TU.chromosome_7.2847",70,422,56,2,81,167,278,19,99,113,111,264,86,99,15,105,93,4,10
"evm.TU.chromosome_10.1787",182,47,273,19,25,220,66,33,244,613,61,111,207,107,57,137,282,44,48
"evm.TU.chromosome_7.729",5642,17970,2643,188,6014,8088,9662,950,6617,7948,5391,13451,5954,4929,1348,5931,5019,567,616
"evm.TU.chromosome_7.2698",142,543,173,3,145,391,828,117,136,228,225,880,266,163,121,183,213,21,22
"evm.TU.chromosome_5.974",4537,1602,5046,346,556,5325,1359,397,2825,7714,1039,1732,1968,1404,557,4516,2456,690,468
"evm.TU.chromosome_14.7108",200,52,288,51,21,777,38,31,458,1016,55,63,458,88,33,288,191,45,15
"evm.TU.chromosome_11.1309",2292,2087,640,52,224,1183,1441,243,4594,2528,561,908,829,1887,199,1645,1309,214,235
"evm.TU.chromosome_12.835",618,190,72,33,50,95,48,33,371,108,53,14,276,2681,55,412,317,22,65
"evm.TU.chromosome_12.833",812,368,152,62,71,175,257,52,1699,95,14,79,285,4688,208,1459,458,92,192
"evm.TU.chromosome_1.732",896,285,1021,105,27,966,15,524,2716,898,960,642,1037,980,195,1170,569,328,157
"evm.TU.chromosome_12.1425",299,81,159,0,21,258,113,84,130,200,133,112,203,212,35,208,157,24,80
"evm.TU.chromosome_14.5490",3416,1976,1532,57,403,1697,1054,210,3799,1307,1844,1520,4038,3202,561,2620,2816,223,391
"evm.TU.chromosome_14.5491",365,46,152,2,0,33,33,7,133,199,58,25,27,239,28,85,124,57,22
"evm.TU.chromosome_1.479",12,78,64,5,30,32,365,44,16,16,87,86,46,101,32,168,197,0,5
"evm.TU.chromosome_11.2286",194,793,41,0,183,355,750,43,275,286,156,627,138,156,19,218,193,4,12
"evm.TU.chromosome_14.6778",992,3936,1036,54,1147,2582,3288,285,1117,1421,1758,3621,1428,1089,349,1391,1261,163,80
"evm.TU.chromosome_8.2310",36,10,38,3,13,59,4,4,144,16,36,10,8,86,6,9,82,12,8
