"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_5.1573",1195,2239,616,43,783,1286,2054,381,1305,737,866,1636,1709,1031,298,923,794,162,65
"evm.TU.chromosome_3.1277",157,81,148,28,20,214,65,44,223,128,189,124,239,197,35,127,87,22,10
"evm.TU.chromosome_12.1199",1026,4953,732,48,1299,2329,3142,203,1888,1378,1505,4695,1278,1389,207,1593,1125,157,89
"evm.TU.chromosome_7.2847",70,422,56,2,81,167,278,19,99,113,111,264,86,99,15,105,93,4,10
"evm.TU.chromosome_10.1787",182,47,273,19,25,220,66,33,244,613,61,111,207,107,57,137,282,44,48
"evm.TU.chromosome_7.729",5642,17970,2643,188,6014,8088,9662,950,6617,7948,5391,13451,5954,4929,1348,5931,5019,567,616
"evm.TU.chromosome_7.2698",142,543,173,3,145,391,828,117,136,228,225,880,266,163,121,183,213,21,22
"evm.TU.chromosome_5.974",4537,1602,5046,346,556,5325,1359,397,2825,7714,1039,1732,1968,1404,557,4516,2456,690,468
"evm.TU.chromosome_14.7108",200,52,288,51,21,777,38,31,458,1016,55,63,458,88,33,288,191,45,15
"evm.TU.chromosome_1.732",896,285,1021,105,27,966,15,524,2716,898,960,642,1037,980,195,1170,569,328,157
"evm.TU.chromosome_14.6778",992,3936,1036,54,1147,2582,3288,285,1117,1421,1758,3621,1428,1089,349,1391,1261,163,80
"evm.TU.chromosome_12.3636",5028,3776,6508,826,1210,3068,4203,1296,5946,12874,2598,2038,2957,2960,709,4184,8117,1569,472
"evm.TU.chromosome_13.1876",3202,1878,914,155,379,1728,931,532,1998,1979,1102,1156,2484,1838,518,2286,1402,155,141
"evm.TU.chromosome_1.889",303,153,115,37,13,83,106,15,151,151,61,74,195,138,73,105,151,29,11
"evm.TU.chromosome_14.6570",337,182,144,40,16,190,151,46,290,372,151,198,422,159,70,234,373,19,37
"evm.TU.chromosome_7.215",822,3128,105,15,505,1487,1207,109,975,557,389,992,2215,1592,108,281,546,98,113
"evm.TU.chromosome_10.830",1246,1111,367,88,399,501,710,205,875,1993,392,692,1179,980,132,1419,479,230,147
"evm.TU.chromosome_12.2838",127,789,134,9,71,135,534,70,57,117,82,906,114,54,18,108,60,2,16
"evm.TU.chromosome_12.1802",688,337,200,55,113,427,199,64,553,398,288,191,435,503,81,501,345,84,93
"evm.TU.chromosome_11.372",2702,3480,1054,255,667,1603,1187,244,2167,5437,518,1214,2785,358,230,5796,881,631,457
"evm.TU.chromosome_9.1009",54,9,62,8,15,171,9,4,130,314,73,61,62,99,6,133,204,13,15
"evm.TU.chromosome_10.2560",534,117,360,16,13,139,80,174,343,526,166,152,262,149,41,462,926,43,27
