"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_12.2527",2463.51486178654,2.31750893217944,0.492526028982695,4.70535321141549,2.53426797009942e-06,0.0030715327797605,9475,4952,6438,224,955,6312,4053,1354,8376,3077,6878,1496,1347,2938,372,2113,639,298,813
"evm.TU.chromosome_6.1006",448.871026775089,7.2557358471302,1.76419704595817,4.11276952523717,3.90940632806444e-05,0.0203065734412033,0,20,88,0,6,4541,71,2443,21,29,9,13,6,52,8,0,0,20,15
"evm.TU.chromosome_14.5792",616.134146048214,2.57789291444196,0.637374552035345,4.04454948226268,5.24238356372382e-05,0.0231046141063028,321,2505,1861,15,361,1216,1749,830,442,2183,808,2448,726,108,123,620,170,79,32
"evm.TU.chromosome_12.335",53.5085804902286,-4.56699276909601,1.12352590892056,-4.06487534718609,4.80581400516389e-05,0.0230243199928724,191,3,0,0,5,29,21,0,60,35,11,0,250,354,49,285,215,11,9
"evm.TU.chromosome_11.369",147.588015417881,2.85474236628993,0.719124715808702,3.96974586401135,7.19493307489193e-05,0.0282819207138455,344,168,512,35,14,207,111,196,465,137,187,49,123,55,7,489,99,3,26
"evm.TU.chromosome_1.977",69.1227588575284,4.75329764835934,1.15022611813163,4.1324897543453,3.58854767850084e-05,0.0193303101615245,68,46,18,26,29,115,28,278,18,42,64,30,19,4,4,6,12,17,0
"evm.TU.chromosome_4.1315",355.424653743979,2.54324841576592,0.606475438270778,4.19348955502203,2.74695730838622e-05,0.0159806988372677,219,1046,260,19,265,692,1161,913,414,317,379,1191,189,200,65,349,245,80,23
"evm.TU.chromosome_11.544",47.0453543604823,-5.58518250025691,1.4697053163339,-3.80020568625881,0.000144576035832119,0.041229683630242,40,100,0,0,8,0,43,0,66,161,9,143,102,364,0,291,194,0,19
"evm.TU.chromosome_11.2404",51.9149283230534,-5.82306040321789,1.49103256496792,-3.9053878097848,9.40743957552313e-05,0.0333711710210752,184,15,0,7,49,9,16,0,216,116,0,440,24,453,14,63,0,3,5
"evm.TU.chromosome_14.5944",962.616868395096,-2.22108436091545,0.593630594176131,-3.74152609839454,0.000182906178792452,0.0483670448064986,5130,474,349,90,53,578,500,21,2710,2489,847,201,4031,4176,282,1523,2216,175,467
