"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_2.205",1013.32523633295,-2.66645130193864,0.696550709479561,-3.8280792276142,0.000129147187909648,0.0417786037539182,4007,2985,821,422,289,227,721,242,1024,4933,242,867,1147,635,108,2948,382,617,105
"evm.TU.chromosome_14.1691",227.421063037867,-3.51168915473867,0.661586544483491,-5.30798152414102,1.10845874662164e-07,0.000275230306786154,510,238,69,124,49,100,212,45,549,1320,36,86,107,170,110,554,223,93,13
"evm.TU.chromosome_6.1797",61.2136399403503,-3.99855921291244,0.962595111181447,-4.15393675540777,3.26803536094081e-05,0.016229063602432,146,132,9,41,18,45,180,0,82,122,10,95,92,50,15,76,50,0,29
"evm.TU.chromosome_6.1006",448.853411364045,8.62087211484133,1.98912904149292,4.33399338856921,1.46428573934417e-05,0.0104608901827121,0,20,88,0,6,4541,71,2443,21,29,9,13,6,52,8,0,0,20,15
"evm.TU.chromosome_11.1343",1221.59446784734,3.24665461279196,0.723493966462125,4.48746605126239,7.20752925894248e-06,0.00661719286368854,259,8680,1507,37,1681,1070,3511,2759,579,392,1654,2499,1375,2568,107,434,1633,35,112
"evm.TU.chromosome_6.1867",149.421326436259,3.34400575089673,0.729480798244033,4.58409016240899,4.55967469723528e-06,0.00528344706084309,98,583,343,0,78,663,582,44,98,118,460,327,189,144,61,31,370,7,38
"evm.TU.chromosome_8.2405",1986.77592135352,-1.95015130046948,0.490872629136239,-3.97282550445124,7.10250804701251e-05,0.0280565209920738,4450,6741,1453,308,1054,1537,2849,337,2409,10734,1570,4668,7120,1405,504,7916,1606,518,278
"evm.TU.chromosome_4.2068",289.295111178407,-3.44146861775244,0.885616550972514,-3.88595788320949,0.000101927178249864,0.0357800361126637,21,640,99,44,23,56,294,84,150,4674,58,105,378,390,87,731,592,77,40
"evm.TU.chromosome_14.6626",1790.27285605972,-5.01411904708927,1.04648947847093,-4.79137072110424,1.65645737567843e-06,0.00287908856466668,1930,816,336,2141,376,410,9184,93,449,2139,232,379,473,454,179,478,507,111,316
"evm.TU.chromosome_8.1451",43.4846838782335,2.93842707564481,0.781837956888309,3.75835817352698,0.000171031938113981,0.0487328871534279,123,20,43,0,19,219,80,80,59,18,78,111,80,21,8,42,43,7,9
