PlugID,mean_concentration,Area_cm,vol_mL,Site,Treatment,Timepoint,ExperimentalTank,Carb.mg.cm2,carb_ug,carb_ug.cm2,carb_mg.cm2
AST-1037,0.03322172245,5.618,15,FW,Ambient,TP2,8,0.8870164414,0.002214781497,0.0003942295295,3.94E-07
AST-1058,0.01981627373,3.579,11,ENDV,Ambient,TP1,5,0.6090500446,0.00180147943,0.0005033471443,5.03E-07
AST-1077,0.05822720709,1.543,5,ENDV,Ambient,TP3,5,1.886818117,0.01164544142,0.007547272468,7.55E-06
AST-1087,0.0244122232,11.134,35,ENDV,Ambient,TP5,10,0.7674041781,0.0006974920914,6.26E-05,6.26E-08
AST-1091,0.003302114179,3.335,25,ENDV,Ambient,TP7,16,0.2475347961,0.0001320845672,3.96E-05,3.96E-08
AST-1105,0.01144125372,3.973,27,FW,Ambient,TP7,5,0.7775329738,0.0004237501378,0.0001066574724,1.07E-07
AST-1109,0.08981281046,2.051,12,FW,Ambient,TP4,5,5.254771943,0.007484400872,0.003649147183,3.65E-06
AST-1126,0.0405149888,1.799,13.5,ENDV,Ambient,TP3,16,3.040313223,0.003001110282,0.001668210273,1.67E-06
AST-1138,0.06749507821,2.863,23,ENDV,Ambient,TP1,2,5.422238208,0.002934568618,0.001024997771,1.02E-06
AST-1145,0.03054015583,0.949,8,ENDV,Ambient,TP6,8,2.574512609,0.003817519479,0.004022675952,4.02E-06
AST-1147,0.01550950416,1.352,9.5,FW,Ambient,TP0,2,1.089795041,0.001632579386,0.001207529131,1.21E-06
AST-1167,0.05572555306,5.294,27,ENDV,Ambient,TP6,5,2.842066363,0.002063909373,0.0003898582117,3.90E-07
AST-1174,0.04180258878,0.456,7.5,FW,Ambient,TP4,1,6.875425785,0.005573678503,0.01222297917,1.22E-05
AST-1182,0.1104674515,2.015,13,FW,Ambient,TP2,1,7.126932354,0.008497496268,0.004217119736,4.22E-06
AST-1189,0.01863518974,0.659,8.5,ENDV,Ambient,TP6,2,2.403628419,0.002192375264,0.003326821342,3.33E-06
AST-1194,0.02980003335,3.402,10,ENDV,Ambient,TP4,18,0.8759563008,0.002980003335,0.0008759563008,8.76E-07
AST-1255,0.07012861957,5.825,30,ENDV,Ambient,TP6,16,3.611774398,0.002337620652,0.0004013082665,4.01E-07
AST-1288,0.1488653831,7.436,14.5,ENDV,Ambient,TP2,12,2.902834932,0.01026657815,0.001380658707,1.38E-06
AST-1290,0.03686835563,6.603,17,ENDV,Ambient,TP6,1,0.9492080049,0.002168726802,0.0003284456765,3.28E-07
AST-1337,0.1091109282,2.369,19,FW,Ambient,TP2,2,8.750982002,0.005742680433,0.002424094737,2.42E-06
AST-1343,0.05716585972,17.451,50,ENDV,Ambient,TP4,10,1.637896387,0.001143317194,6.55E-05,6.55E-08
AST-1345,0.05145488833,1.866,11,FW,Ambient,TP0,12,3.033246365,0.004677717121,0.002506815178,2.51E-06
AST-1412,0.06148677967,1.255,5,FW,Ambient,TP5,18,2.449672497,0.01229735593,0.009798689987,9.80E-06
AST-1432,0.1270550948,3.125,11,ENDV,Ambient,TP3,12,4.472339335,0.01155046316,0.003696148211,3.70E-06
AST-1434,0.0609543526,1.974,9,FW,Ambient,TP3,8,2.779073827,0.006772705845,0.003430955342,3.43E-06
AST-1443,0.1883344211,6.545,7,FW,Ambient,TP3,1,2.014271883,0.02690491729,0.004110758945,4.11E-06
AST-1457,0.1212618663,3.894,9.5,FW,Ambient,TP1,16,2.958366024,0.01276440698,0.003277967894,3.28E-06
AST-1458,0.02975431769,5.33,30,ENDV,Ambient,TP5,1,1.674727075,0.0009918105897,0.0001860807861,1.86E-07
AST-1474,0.03450214909,6.434,47,FW,Ambient,TP4,12,2.52036215,0.0007340882785,0.000114095163,1.14E-07
AST-1497,0.04612350873,2.528,27,FW,Ambient,TP1,1,4.926165885,0.001708278101,0.0006757429197,6.76E-07
AST-1568,0.01686734675,1.046,13,FW,Ambient,TP4,16,2.096324166,0.001297488212,0.0012404285,1.24E-06
AST-1593,0.02671019793,2.339,8,FW,Ambient,TP0,8,0.9135595702,0.003338774742,0.001427436828,1.43E-06
AST-1617,0.04564340651,0.74,11,FW,Ambient,TP5,8,6.784830698,0.004149400592,0.005607298097,5.61E-06
AST-1692,0.04516330429,0.364,5.5,FW,Ambient,TP5,16,6.824125649,0.008211509872,0.02255909305,2.26E-05
AST-1696,0.03518041072,1.787,10,FW,Ambient,TP1,18,1.968685547,0.003518041072,0.001968685547,1.97E-06
AST-1719,0.09365164366,2.692,5.5,ENDV,Ambient,TP3,10,1.913387965,0.01702757157,0.006325249471,6.33E-06
AST-1722,0.07112827703,1.689,27,FW,Ambient,TP0,18,11.37041729,0.002634380631,0.001559728023,1.56E-06
AST-1739,0.02975431769,13.743,35,ENDV,Ambient,TP7,18,0.7577684051,0.0008501233626,6.19E-05,6.19E-08
AST-2000,0.04583823437,5.645,23,FW,Ambient,TP5,5,1.867633996,0.001992966712,0.0003530499046,3.53E-07
AST-2016,0.1615247158,2.901,7,ENDV,Ambient,TP3,2,3.897528475,0.0230749594,0.007954139745,7.95E-06
AST-2020,0.1162184324,2.418,8.5,FW,Ambient,TP2,18,4.085428765,0.01367275675,0.005654572685,5.65E-06
AST-2060,0.04535433515,1.521,8,FW,Ambient,TP4,2,2.385500862,0.005669291893,0.003727345098,3.73E-06
AST-2197,0.04467607352,1.216,15,FW,Ambient,TP0,1,5.511028806,0.002978404901,0.002449346136,2.45E-06
AST-2198,0.07058891304,2.332,13,FW,Ambient,TP0,5,3.935059475,0.005429916388,0.002328437559,2.33E-06
AST-2208,0.009092391623,2.144,11,FW,Ambient,TP6,18,0.4664939732,0.0008265810566,0.0003855322092,3.86E-07
AST-2209,0.08501178829,4.276,13,FW,Ambient,TP1,12,2.584549223,0.00653936833,0.001529319067,1.53E-06
AST-2302,0.08896311529,4.153,4.5,FW,Ambient,TP7,12,0.9639634453,0.01976958118,0.00476031331,4.76E-06
AST-2360,0.05332504198,3.469,21,FW,Ambient,TP5,12,3.22809421,0.002539287713,0.000731994152,7.32E-07
AST-2375,0.071088824,1.995,14,FW,Ambient,TP5,2,4.988689404,0.005077773143,0.002545249696,2.55E-06
