#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Host Connected,Button Down,Button Up,End of File
109,01/27/2021 11:50:00,4.37,112,,,,
110,01/27/2021 12:00:00,4.37,121,,,,
111,01/27/2021 12:10:00,4.33,141,,,,
112,01/27/2021 12:20:00,4.37,158,,,,
113,01/27/2021 12:30:00,4.33,156,,,,
114,01/27/2021 12:40:00,4.33,173,,,,
115,01/27/2021 12:50:00,4.33,158,,,,
116,01/27/2021 13:00:00,4.29,106,,,,
117,01/27/2021 13:10:00,4.24,115,,,,
118,01/27/2021 13:20:00,4.29,122,,,,
119,01/27/2021 13:30:00,4.24,114,,,,
120,01/27/2021 13:40:00,4.24,121,,,,
121,01/27/2021 13:50:00,4.24,126,,,,
122,01/27/2021 14:00:00,4.24,123,,,,
123,01/27/2021 14:10:00,4.20,107,,,,
124,01/27/2021 14:20:00,4.20,105,,,,
125,01/27/2021 14:30:00,4.16,67,,,,
126,01/27/2021 14:40:00,4.20,63,,,,
127,01/27/2021 14:50:00,4.16,49,,,,
128,01/27/2021 15:00:00,4.20,48,,,,
129,01/27/2021 15:10:00,4.16,39,,,,
130,01/27/2021 15:20:00,4.16,34,,,,
131,01/27/2021 15:30:00,4.12,30,,,,
132,01/27/2021 15:40:00,4.12,25,,,,
133,01/27/2021 15:50:00,4.07,23,,,,
134,01/27/2021 16:00:00,4.03,14,,,,
135,01/27/2021 16:10:00,4.07,12,,,,
136,01/27/2021 16:20:00,4.03,11,,,,
137,01/27/2021 16:30:00,4.03,7,,,,
138,01/27/2021 16:40:00,4.03,4,,,,
139,01/27/2021 16:50:00,3.99,2,,,,
140,01/27/2021 17:00:00,3.99,0,,,,
141,01/27/2021 17:10:00,3.99,0,,,,
142,01/27/2021 17:20:00,3.99,0,,,,
143,01/27/2021 17:30:00,3.94,0,,,,
144,01/27/2021 17:40:00,3.94,0,,,,
145,01/27/2021 17:50:00,3.94,0,,,,
146,01/27/2021 18:00:00,3.94,0,,,,
147,01/27/2021 18:10:00,3.99,0,,,,
148,01/27/2021 18:20:00,3.94,0,,,,
149,01/27/2021 18:30:00,3.94,0,,,,
150,01/27/2021 18:40:00,3.94,0,,,,
151,01/27/2021 18:50:00,3.99,0,,,,
