#miRNA	read_count	precursor	total	seq	seq(norm)
chromosome_10_44336	1318.00	chromosome_10_44336	1318.00	1318.00	18198.64
chromosome_10_45025	3.00	chromosome_10_45025	3.00	3.00	41.42
chromosome_10_46063	97.00	chromosome_10_46063	97.00	97.00	1339.35
chromosome_10_46346	57.00	chromosome_10_46346	57.00	57.00	787.04
chromosome_10_46352	1328.00	chromosome_10_46352	1328.00	1328.00	18336.72
chromosome_10_46376	57.00	chromosome_10_46376	57.00	57.00	787.04
chromosome_10_46380	1328.00	chromosome_10_46380	1328.00	1328.00	18336.72
chromosome_10_46382	57.00	chromosome_10_46382	57.00	57.00	787.04
chromosome_10_46388	1328.00	chromosome_10_46388	1328.00	1328.00	18336.72
chromosome_10_46580	57.00	chromosome_10_46580	57.00	57.00	787.04
chromosome_10_47183	9.00	chromosome_10_47183	9.00	9.00	124.27
chromosome_10_47216	32.00	chromosome_10_47216	32.00	32.00	441.85
chromosome_10_47372	8.00	chromosome_10_47372	8.00	8.00	110.46
chromosome_10_47634	3.00	chromosome_10_47634	3.00	3.00	41.42
chromosome_10_47760	1640.00	chromosome_10_47760	1640.00	1640.00	22644.74
chromosome_10_47768	13.00	chromosome_10_47768	13.00	13.00	179.50
chromosome_10_49098	1.00	chromosome_10_49098	1.00	1.00	13.81
chromosome_10_49513	94.00	chromosome_10_49513	94.00	94.00	1297.93
chromosome_10_50002	63.00	chromosome_10_50002	63.00	63.00	869.89
chromosome_11_50041	12.00	chromosome_11_50041	12.00	12.00	165.69
chromosome_11_50301	17.00	chromosome_11_50301	17.00	17.00	234.73
chromosome_11_50332	56.00	chromosome_11_50332	56.00	56.00	773.24
chromosome_11_50334	6.00	chromosome_11_50334	6.00	6.00	82.85
chromosome_11_50389	84.00	chromosome_11_50389	84.00	84.00	1159.85
chromosome_11_50631	7.00	chromosome_11_50631	7.00	7.00	96.65
chromosome_11_51004	112.00	chromosome_11_51004	112.00	112.00	1546.47
chromosome_11_51538	3.00	chromosome_11_51538	3.00	3.00	41.42
chromosome_11_51807	30.00	chromosome_11_51807	30.00	30.00	414.23
chromosome_11_51809	30.00	chromosome_11_51809	30.00	30.00	414.23
chromosome_11_51894	39.00	chromosome_11_51894	39.00	39.00	538.50
chromosome_11_52009	4.00	chromosome_11_52009	4.00	4.00	55.23
chromosome_11_52037	4.00	chromosome_11_52037	4.00	4.00	55.23
chromosome_11_52764	59.00	chromosome_11_52764	59.00	59.00	814.66
chromosome_11_52867	12.00	chromosome_11_52867	12.00	12.00	165.69
chromosome_11_53171	17.00	chromosome_11_53171	17.00	17.00	234.73
chromosome_11_53271	77.00	chromosome_11_53271	77.00	77.00	1063.20
chromosome_11_53365	7.00	chromosome_11_53365	7.00	7.00	96.65
chromosome_11_53869	7.00	chromosome_11_53869	7.00	7.00	96.65
chromosome_11_53924	6.00	chromosome_11_53924	6.00	6.00	82.85
chromosome_11_54464	4.00	chromosome_11_54464	4.00	4.00	55.23
chromosome_11_54784	39.00	chromosome_11_54784	39.00	39.00	538.50
chromosome_11_54894	7.00	chromosome_11_54894	7.00	7.00	96.65
chromosome_11_55545	29.00	chromosome_11_55545	29.00	29.00	400.43
chromosome_12_55890	4.00	chromosome_12_55890	4.00	4.00	55.23
chromosome_12_56380	40.00	chromosome_12_56380	40.00	40.00	552.31
chromosome_12_56385	4.00	chromosome_12_56385	4.00	4.00	55.23
chromosome_12_56606	167.00	chromosome_12_56606	167.00	167.00	2305.90
chromosome_12_57427	12.00	chromosome_12_57427	12.00	12.00	165.69
chromosome_12_57430	4.00	chromosome_12_57430	4.00	4.00	55.23
chromosome_12_57483	25.00	chromosome_12_57483	25.00	25.00	345.19
chromosome_12_57554	4.00	chromosome_12_57554	4.00	4.00	55.23
chromosome_12_57684	59.00	chromosome_12_57684	59.00	59.00	814.66
chromosome_12_57685	95.00	chromosome_12_57685	95.00	95.00	1311.74
chromosome_12_57687	95.00	chromosome_12_57687	95.00	95.00	1311.74
chromosome_12_57748	288.00	chromosome_12_57748	288.00	288.00	3976.64
chromosome_12_58177	27.00	chromosome_12_58177	27.00	27.00	372.81
chromosome_12_58553	25.00	chromosome_12_58553	25.00	25.00	345.19
chromosome_12_58629	16.00	chromosome_12_58629	16.00	16.00	220.92
chromosome_12_59002	7.00	chromosome_12_59002	7.00	7.00	96.65
chromosome_12_59276	26.00	chromosome_12_59276	26.00	26.00	359.00
chromosome_12_59290	11.00	chromosome_12_59290	11.00	11.00	151.89
chromosome_12_59393	25.00	chromosome_12_59393	25.00	25.00	345.19
chromosome_12_59656	15.00	chromosome_12_59656	15.00	15.00	207.12
chromosome_12_60348	39.00	chromosome_12_60348	39.00	39.00	538.50
chromosome_12_60878	5.00	chromosome_12_60878	5.00	5.00	69.04
chromosome_12_61349	15.00	chromosome_12_61349	15.00	15.00	207.12
chromosome_12_61354	4.00	chromosome_12_61354	4.00	4.00	55.23
chromosome_12_61583	88.00	chromosome_12_61583	88.00	88.00	1215.08
chromosome_12_61632	268.00	chromosome_12_61632	268.00	268.00	3700.48
chromosome_12_62475	20.00	chromosome_12_62475	20.00	20.00	276.16
chromosome_12_62553	14.00	chromosome_12_62553	14.00	14.00	193.31
chromosome_12_62633	2.00	chromosome_12_62633	2.00	2.00	27.62
chromosome_12_63218	30.00	chromosome_12_63218	30.00	30.00	414.23
chromosome_12_63240	14.00	chromosome_12_63240	14.00	14.00	193.31
chromosome_12_63331	26.00	chromosome_12_63331	26.00	26.00	359.00
chromosome_12_63573	55.00	chromosome_12_63573	55.00	55.00	759.43
chromosome_13_63883	3.00	chromosome_13_63883	3.00	3.00	41.42
chromosome_13_64145	21.00	chromosome_13_64145	21.00	21.00	289.96
chromosome_13_64300	9.00	chromosome_13_64300	9.00	9.00	124.27
chromosome_13_64835	10.00	chromosome_13_64835	10.00	10.00	138.08
chromosome_13_65163	20.00	chromosome_13_65163	20.00	20.00	276.16
chromosome_13_65915	10.00	chromosome_13_65915	10.00	10.00	138.08
chromosome_13_66810	28.00	chromosome_13_66810	28.00	28.00	386.62
chromosome_13_67178	7.00	chromosome_13_67178	7.00	7.00	96.65
chromosome_13_67310	337.00	chromosome_13_67310	337.00	337.00	4653.22
chromosome_13_67737	3.00	chromosome_13_67737	3.00	3.00	41.42
chromosome_13_68268	158.00	chromosome_13_68268	158.00	158.00	2181.63
chromosome_13_68558	9.00	chromosome_13_68558	9.00	9.00	124.27
